family,source_context,target_context,transfer_id,metric,n_labels,D_cross,D_within_source,D_within_target,D_adj,ci_lower_90,ci_upper_90,stable_inversion,same_context_floor,same_context_floor_ci_lower_90,same_context_floor_ci_upper_90,minimum_strict_support,measurement_resampling,target_outcomes_used_for_fit_or_tuning
source_only_mlp,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,absolute_effect_rank_agreement,234,0.4254240673489601,0.33325630020908986,0.31919347541665133,0.1004742764388687,0.0584832728073071,0.1432293386156047,0.2889203148057058,0.3249497909100913,0.289309819889219,0.359278823227321,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,delta_cosine,234,0.397274054510106,0.2524094249416137,0.26881503490945546,0.137166785884597,0.0960139943509042,0.1793872198378635,0.3091671031953902,0.260107268625509,0.2317092182972011,0.2909467737793918,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,systema_centroid_accuracy,234,0.1250285251824951,0.07286110805424106,0.08213687441155249,0.047866801474634,0.0281867869850702,0.0713567459007373,0.0686535179967459,0.077161723707861,0.0659701588349657,0.0903126260958878,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,absolute_effect_rank_agreement,237,0.4053132956089537,0.3061217192304942,0.3094948628096021,0.0987216396695988,0.057641421726382,0.1396959701065579,0.2724181650530198,0.3065916559393549,0.2759578595437317,0.341111081313023,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,delta_cosine,237,0.3622330866051634,0.23467901499439792,0.22251066771555933,0.1342690409783308,0.0956509690338268,0.1767530215261388,0.2688349514563107,0.2279640456268326,0.2041402953586497,0.2544393191732818,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,systema_centroid_accuracy,237,0.0931609007366087,0.07001597177525087,0.0689122505900021,0.0242994976042337,0.0152321122076807,0.0346496638775656,0.0358117195004803,0.068861403132375,0.0585881069870557,0.0823012765500965,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,absolute_effect_rank_agreement,234,0.4789703239059462,0.32953058704131666,0.3577491654744873,0.1363035563625692,0.0780024577234877,0.1834589706907302,0.4433064145492745,0.342666767543377,0.3042258171013535,0.3818706210337111,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,delta_cosine,234,0.3994128700341146,0.2525537092060697,0.26033283200665175,0.1439789534499835,0.1047824731301126,0.1843852023036572,0.3224388478047267,0.2554339165841311,0.2284348519863541,0.2847987968159641,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,systema_centroid_accuracy,234,0.1211847602802538,0.0775454556570436,0.07492143844075172,0.0451525897802721,0.0268559022046146,0.0673047118594328,0.0637428061123238,0.0760321704999816,0.0658069219764498,0.0883134331095704,8,full_size_nonparametric,0
source_only_mlp,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,absolute_effect_rank_agreement,235,0.4368611383887979,0.32499727223131475,0.34261138388797957,0.1040321058374249,0.0508624295326422,0.1536824877250409,0.3320904797414865,0.3328290325513729,0.2996067466812148,0.3732760501909438,8,full_size_nonparametric,0
