family,source_context,target_context,transfer_id,metric,n_labels,D_cross,D_within_source,D_within_target,D_adj,ci_lower_90,ci_upper_90,stable_inversion,same_context_floor,same_context_floor_ci_lower_90,same_context_floor_ci_upper_90,minimum_strict_support,measurement_resampling,target_outcomes_used_for_fit_or_tuning
source_only_latent_mlp,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,absolute_effect_rank_agreement,234,0.4217921206118631,0.32830417079344115,0.325475954660504,0.0961944994681046,0.0551488390007703,0.1420921829720112,0.2764673277083205,0.3255976211437585,0.2905836176222442,0.3599670775099959,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,delta_cosine,234,0.3971643740141594,0.2514495677585806,0.271163933824878,0.1362930926965261,0.0955751806610175,0.1778195040534096,0.3063120118218281,0.2608712813176332,0.2316124683613953,0.2903529767800153,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,systema_centroid_accuracy,234,0.1249715481823851,0.07271682378978514,0.08220657104777272,0.0478543569568247,0.0282363082792267,0.0708690987124463,0.0685366919623346,0.0771171912255603,0.0657161329371629,0.0902401782766589,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,absolute_effect_rank_agreement,237,0.4088968390188085,0.3084233235595604,0.3230887506257598,0.0940194968890796,0.0457868483158121,0.1408326181792176,0.2790562865920816,0.3148773421297289,0.2819486161767861,0.3496844382464421,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,delta_cosine,237,0.3642344722162626,0.2350079858876254,0.22408281484659942,0.1353109847672173,0.0970097618536794,0.1779683365515268,0.2732623182061384,0.2289234874490453,0.2047839340627905,0.255622899234785,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,systema_centroid_accuracy,237,0.0929965583208181,0.06968580895849717,0.06873942167870505,0.0243383662304226,0.0152855252806979,0.0346856450690123,0.0365193348949733,0.0686581920903954,0.0582305299291997,0.0817246835443037,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,absolute_effect_rank_agreement,234,0.484271541762958,0.32556276976877835,0.35320910213614076,0.1459472965041634,0.097461116613477,0.1929693518212831,0.4656039720389364,0.3383242452587945,0.3008115989875646,0.377689281390998,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,delta_cosine,234,0.3992226257290635,0.2515400511108665,0.2589694679823435,0.1449643079857672,0.1055688529400975,0.1846960859836396,0.3227023674144526,0.2542583177432962,0.2271711419243608,0.2839326326987271,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,systema_centroid_accuracy,234,0.1210250816184292,0.07772519961361159,0.07497401660491786,0.0448526924911045,0.0265642768056931,0.0667831334140346,0.0635386506960694,0.0761723891273247,0.0660260995561424,0.0883867979898022,8,full_size_nonparametric,0
source_only_latent_mlp,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,absolute_effect_rank_agreement,235,0.4480043917075831,0.32284051645753775,0.34945747711705155,0.1126478450627386,0.0612447717766866,0.160094562647754,0.3585268910694323,0.3353565466448445,0.3006278414257137,0.384580378250591,8,full_size_nonparametric,0
