family,source_context,target_context,transfer_id,metric,n_labels,D_cross,D_within_source,D_within_target,D_adj,ci_lower_90,ci_upper_90,stable_inversion,same_context_floor,same_context_floor_ci_lower_90,same_context_floor_ci_upper_90,minimum_strict_support,measurement_resampling,target_outcomes_used_for_fit_or_tuning,inference_pvalue,detected_calibrated,inference_method
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,absolute_effect_rank_agreement,221,0.4486432229535171,0.34705745235157,0.3254709995886466,0.11474633209927329,0.11143350397264004,0.11805916022590654,0.3683259880066469,0.3347224290415467,0.2935787741670094,0.3737222336487042,8,full_size_nonparametric,0,4.974157264071184e-32,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,delta_cosine,221,0.4069374023035788,0.2760770601947072,0.2543617167146579,0.1438440970793912,0.14013768727814807,0.1475505068806343,0.3222385861561119,0.2639326306046894,0.2341217605923488,0.2949218428630193,8,full_size_nonparametric,0,1.8813158984091535e-33,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,systema_centroid_accuracy,221,0.4056334430275606,0.2822199369258192,0.2543603455368161,0.13891265597147948,0.13510644175048794,0.142718870192471,0.3054547582816341,0.2672674310983134,0.2353460510078157,0.2978830728095433,8,full_size_nonparametric,0,1.1045727818887793e-32,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,absolute_effect_rank_agreement,224,0.4203920864029468,0.3223961669869741,0.3140187913730514,0.10363682468503095,0.09828388190579898,0.10898976746426292,0.323162182012419,0.3171982703395259,0.2803971812940423,0.3572429532351057,8,full_size_nonparametric,0,8.171478410132617e-25,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,delta_cosine,224,0.3552657250960923,0.2572442878496689,0.2222920670510356,0.11786982169549434,0.11317998438569324,0.12255965900529545,0.2408147620872802,0.238664798206278,0.2108824471492633,0.2680192985265855,8,full_size_nonparametric,0,4.908396606785049e-28,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,systema_centroid_accuracy,224,0.3690139483904548,0.2666279628443305,0.24351243860773,0.11593162769592141,0.11160603869749461,0.12025721669434822,0.2485141365328,0.2541550988949391,0.2219515735105701,0.2895855020819987,8,full_size_nonparametric,0,7.816531430378415e-29,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,absolute_effect_rank_agreement,221,0.4503498303167421,0.3322994652406417,0.3450390785684903,0.11323563691210752,0.11016880947021584,0.11630246435399919,0.3673140344448516,0.3374036918963389,0.2997074249280131,0.3753270259152612,8,full_size_nonparametric,0,7.905534662670702e-33,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,delta_cosine,221,0.4001551110654052,0.2532510626628273,0.2747483888660359,0.13850267379679143,0.1344694457885745,0.14253590180500836,0.3098352002815084,0.2629434389140271,0.2335026737967914,0.2937062937062937,8,full_size_nonparametric,0,6.370052294262743e-32,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,systema_centroid_accuracy,221,0.4016732671740025,0.254308240778829,0.2835019882078705,0.13451323186617306,0.13039828832440262,0.1386281754079435,0.2964794536677264,0.2681012340600576,0.2380897778691896,0.2987705676676264,8,full_size_nonparametric,0,2.6274634671951145e-31,True,seed_block_empirical_variance_student_t_90pct
official_gears,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,absolute_effect_rank_agreement,222,0.4326284395254984,0.3305300775889011,0.3366515837104072,0.10147772206595736,0.09641989116196512,0.1065355529699496,0.3308006191079217,0.3322116403734051,0.2930949614773144,0.3691482206188088,8,full_size_nonparametric,0,2.979858521922931e-25,True,seed_block_empirical_variance_student_t_90pct
