family,source_context,target_context,transfer_id,metric,n_labels,D_cross,D_within_source,D_within_target,D_adj,ci_lower_90,ci_upper_90,stable_inversion,same_context_floor,same_context_floor_ci_lower_90,same_context_floor_ci_upper_90,minimum_strict_support,measurement_resampling,target_outcomes_used_for_fit_or_tuning
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,absolute_effect_rank_agreement,234.0,0.2847871134587873,0.23219373219373216,0.22243375762689063,0.058339569348153,0.0332269542569971,0.0834823557463042,0.1202018731499005,0.2264475441106342,0.1985950625435604,0.2541730860936869,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,delta_cosine,234.0,0.3591701423278676,0.23788317865571082,0.22602619126224271,0.127843989582187,0.0934796962693958,0.1645225780418913,0.2641255605381166,0.2313261527456806,0.2051098639081471,0.2594814937089615,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,systema_centroid_accuracy,234.0,0.1269926543413668,0.07595832874802828,0.08386094909700056,0.0474177946517002,0.0278048310773632,0.0705772440482741,0.0685448621155527,0.0795748596896665,0.068320586185393,0.0931188327647555,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,absolute_effect_rank_agreement,237.0,0.2786213705928628,0.21695511216000377,0.22727001835562227,0.0573937280984052,0.028408603304012,0.0849983015089751,0.1262994496448563,0.2212276424944575,0.1980972430808839,0.2458167953944075,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,delta_cosine,237.0,0.3153157137238074,0.2163341200028606,0.1877219957567522,0.1139888972323535,0.0816343953371951,0.1500263713080168,0.2171507607192254,0.2013268164914538,0.1791255453050132,0.2247076807552027,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,systema_centroid_accuracy,237.0,0.0969033871486805,0.07273713318553478,0.07115783451333757,0.0255232201601945,0.0153212829864836,0.0364288332260602,0.0387516354960363,0.071380166988486,0.0606790388328684,0.0848195129800471,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,absolute_effect_rank_agreement,234.0,0.3459032959172444,0.24794394923150284,0.2732939608476089,0.0860169839697736,0.0548026484721763,0.1229265250724478,0.2024728714524207,0.2598863119474707,0.2283110487509629,0.2916992223322695,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,delta_cosine,234.0,0.374313909981292,0.23018108897937223,0.2577797341745839,0.1313577454972305,0.091263618355893,0.1727596199699203,0.2851801323834066,0.2429561644840615,0.2149737720553171,0.2766071494075786,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control->frangieh_melanoma_coculture,systema_centroid_accuracy,234.0,0.1239194912145555,0.07996771945269796,0.07760414756122905,0.0452794926818531,0.0265654231319467,0.0674344759913429,0.0642803225934607,0.0786399985327024,0.0678074905542716,0.0915236051502145,8,full_size_nonparametric,0.0
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control->frangieh_melanoma_ifng,absolute_effect_rank_agreement,235.0,0.3282960992907801,0.24686185367036428,0.2648530035764078,0.073299618112384,0.0356382978723404,0.1118589743589743,0.1753938714118187,0.2549964811783961,0.2219421713038734,0.2943994362611384,8,full_size_nonparametric,0.0
