baseline,estimator,n_features,accuracy,precision,recall,f1,brier,roc_auc,average_precision,base_risk,coverage_at_0p2,selective_risk_at_0p2,false_transportability_rate_at_0p2,abstention_gain_at_0p2,coverage_at_0p4,selective_risk_at_0p4,false_transportability_rate_at_0p4,abstention_gain_at_0p4,coverage_at_0p6,selective_risk_at_0p6,false_transportability_rate_at_0p6,abstention_gain_at_0p6,coverage_at_0p8,selective_risk_at_0p8,false_transportability_rate_at_0p8,abstention_gain_at_0p8,mean_selective_risk,mean_abstention_gain,mean_false_transportability_rate,area_under_selective_risk_curve,false_transportability_gain_vs_naive
full_PTL_random_forest,random_forest,31,0.8512554253032085,0.9131932074575466,0.7236965932618107,0.8074762429778968,0.10464227392933902,0.9292637927142501,0.9264196042796368,0.8346408793816295,0.2000162252058573,0.9858797422468886,0.0,-0.15123886286525912,0.40001216890439295,0.7937240106436905,0.14911524615930638,0.04091686873793898,0.6000081126029286,0.8071300400505937,0.32994186046511625,0.027510839331035708,0.8000040563014643,0.8154001108955601,0.4651540119153251,0.01924076848606937,0.8505334759591833,-0.01589259657755382,0.23605277963493693,0.5002886486394187,0.47335929868107945
calibrated_logistic_deployment,logistic_regression,14,0.8132478805824849,0.8775548589341693,0.6586203651421043,0.7524864254609968,0.1331230419714352,0.8733220774135269,0.8781419027297189,0.8346408793816295,0.2000162252058573,0.9902017887982129,0.0036503751774487935,-0.1555609094165834,0.40001216890439295,0.8094101719319964,0.21391269076712469,0.025230707449633072,0.6000081126029286,0.818088645848979,0.36982828555976205,0.01655223353265045,0.8000040563014643,0.8332218750085921,0.4828241855748511,0.0014190043730373247,0.8627306203969451,-0.028089741015315695,0.26755388426979665,0.507831830132999,0.44185819404621973
support_only,logistic_regression,7,0.6508538514582404,0.6220596238737377,0.48404856013551667,0.5444441504141417,0.22708645726748602,0.6814446634479273,0.6333627285745012,0.8346408793816295,0.2000162252058573,0.657452418994734,0.27894950314337863,0.1771884603868955,0.40001216890439295,0.7706978044912788,0.41768493636870657,0.06394307489035067,0.6000081126029286,0.8226093233983035,0.48404542996214167,0.012031555983325948,0.8000040563014643,0.8456844265203688,0.5189504373177842,-0.01104354713873934,0.7741109933511713,0.06052988603045817,0.4249075766980028,0.46896559860729703,0.2845045016180136
support_plus_novelty,logistic_regression,14,0.6547681823713138,0.6248524203069658,0.4980707698099002,0.5543045664013406,0.2268178097752798,0.6663108519799499,0.6231674570673708,0.8346408793816295,0.2000162252058573,0.6640965369047428,0.2749949300344758,0.17054434247688666,0.40001216890439295,0.7673211444413902,0.4154033362064595,0.06731973494023924,0.6000081126029286,0.8126753715652927,0.49344240129799893,0.02196550781633677,0.8000040563014643,0.829900874673959,0.5337305108378755,0.004740004707670442,0.7684984818963462,0.06614239748528328,0.42939279459420243,0.4653896053650811,0.28001928372181395
split_family_only,logistic_regression,1,0.6615827688313796,0.6405268989289671,0.489648033126294,0.5550162675342685,0.22870162373147987,0.6507548298835522,0.5601991601345117,0.8346408793816295,0.2000162252058573,0.6722996545195667,0.2839180693571284,0.1623412248620627,0.40001216890439295,0.744653268657656,0.40429954875019014,0.08998761072397343,0.6000081126029286,0.771982076782759,0.5260613845321795,0.06265880259887047,0.8000040563014643,0.8073223655036706,0.5388515654709088,0.027318513877958805,0.7490643413659132,0.0855765380157163,0.4382826420276017,0.451280118263751,0.2711294362884147
novelty_only,logistic_regression,7,0.6544031152395245,0.6240574929311969,0.4984942593638246,0.5542534268075756,0.22777563785655183,0.6488418491757936,0.5892121946261722,0.8346408793816295,0.2000162252058573,0.6629829079670604,0.28087609004258773,0.17165797141456907,0.40001216890439295,0.7681659150669008,0.4242762257263094,0.06647496431472866,0.6000081126029286,0.7881007117217882,0.5304218496484586,0.04654016765984126,0.8000040563014643,0.8257891762464068,0.5367473697553555,0.008851703135222655,0.761259677750539,0.07338120163109041,0.4430803837931778,0.4601212016382948,0.26633169452283856
conformal_style_confidence_proxy,confidence_quantile,1,0.3544801849673468,0.27581821265050027,0.30613589309241485,0.29018733273862624,0.520151835971277,0.26406007593298564,0.3763579471725563,0.8346408793816295,0.2000162252058573,0.7697234895127366,0.6553437436625431,0.06491738986889284,0.40001216890439295,0.8165196504009954,0.7576433605435279,0.018121228980634063,0.6000081126029286,0.7759086317805441,0.7158261222282315,0.05873224760108531,0.8000040563014643,0.7936792101142759,0.7088350868297629,0.04096166926735356,0.788957745452138,0.045683133929491415,0.7094120783160164,0.4748162962135064,0.0
naive_confidence,confidence,1,0.3541759623575224,0.27486076272267335,0.3042066629023151,0.28879011904496016,0.5162040489513245,0.2665253042212385,0.40328693081633316,0.8346408793816295,0.2000162252058573,0.7697234895127366,0.6553437436625431,0.06491738986889284,0.40001216890439295,0.8165196504009954,0.7576433605435279,0.018121228980634063,0.6000081126029286,0.7759086317805441,0.7158261222282315,0.05873224760108531,0.8000040563014643,0.7936792101142759,0.7088350868297629,0.04096166926735356,0.788957745452138,0.045683133929491415,0.7094120783160164,0.4748162962135064,0.0
