threshold_multiplier,ablation,estimator,transportable_rate,accuracy,roc_auc,average_precision,mean_false_transportability_rate,mean_selective_risk,coverage_at_0p8,false_transportability_rate_at_0p8
0.6,naive_confidence,naive_confidence,0.5743602779189968,0.354358495923417,0.3015324843694045,0.4942432890806946,0.5884282511939521,0.788957745452138,0.8000040563014643,0.5817720877170744
0.6,full_PTL,logistic_regression,0.5743602779189968,0.7633553725712895,0.8626568038722702,0.8939305527762917,0.18779384930776127,0.845918048260505,0.8000040563014643,0.36458359741412094
0.6,full_PTL,random_forest,0.5743602779189968,0.8152760313146473,0.919413178349161,0.9373909997567277,0.15631803665914784,0.8254681773894238,0.8000040563014643,0.34549372544048673
0.6,no_context_distance,logistic_regression,0.5743602779189968,0.7630105869468219,0.8625674849323844,0.8939186981258271,0.1882607288945234,0.8461739759543024,0.8000040563014643,0.3644061351248574
0.6,no_context_distance,random_forest,0.5743602779189968,0.816046728592869,0.9208001684102656,0.9382263161940861,0.15574551343920423,0.8273422045762259,0.8000040563014643,0.3434402332361516
0.7,naive_confidence,naive_confidence,0.5284302095689996,0.35235062669857625,0.2854955111896558,0.4483769724626338,0.6496532039284315,0.788957745452138,0.8000040563014643,0.6443655723158829
0.7,full_PTL,logistic_regression,0.5284302095689996,0.7896807690747576,0.8730056785122893,0.8874690257272164,0.2210106915597464,0.8491546556766235,0.8000040563014643,0.417695525415135
0.7,full_PTL,random_forest,0.5284302095689996,0.8317851782744493,0.9271106576010786,0.9336364909422561,0.19142568699592666,0.831456155788628,0.8000040563014643,0.40248447204968946
0.7,no_context_distance,logistic_regression,0.5284302095689996,0.7893765464649333,0.872646367768467,0.8872061110379797,0.22122194476470736,0.8495911399894855,0.8000040563014643,0.4177969324375713
0.7,no_context_distance,random_forest,0.5284302095689996,0.8327586906258874,0.9281137236122395,0.9343721794162451,0.19095246154414044,0.832433709101536,0.8000040563014643,0.40172391938141716
0.8,naive_confidence,naive_confidence,0.4772185505281591,0.3541759623575224,0.2665253042212385,0.40328693081633316,0.7094120783160164,0.788957745452138,0.8000040563014643,0.7088350868297629
0.8,full_PTL,logistic_regression,0.4772185505281591,0.8191700807203991,0.8874966025029489,0.8856355972528764,0.2594879119158951,0.8579336361825483,0.8000040563014643,0.4757256940043098
0.8,full_PTL,random_forest,0.4772185505281591,0.8544599034600251,0.9336932979446175,0.9302510185968321,0.2335958129412794,0.8467040792463243,0.8000040563014643,0.4646723285587527
0.8,no_context_distance,logistic_regression,0.4772185505281591,0.8194540218229018,0.8872390847725296,0.8854938557784486,0.25969705907964047,0.8580850990250256,0.8000040563014643,0.47600456331600965
0.8,no_context_distance,random_forest,0.4772185505281591,0.8552306007382469,0.9355821509889285,0.9318072374317214,0.23244866431683675,0.8475220324960725,0.8000040563014643,0.46398783115730763
0.9,naive_confidence,naive_confidence,0.42772976331695195,0.3504847280249868,0.23845757879478563,0.3573376807931135,0.770151137647798,0.788957745452138,0.8000040563014643,0.7713271644061351
0.9,full_PTL,logistic_regression,0.42772976331695195,0.8361659838559202,0.9058521865410678,0.8889719177712118,0.29845737250324367,0.8671303932010729,0.8000040563014643,0.5308911142096591
0.9,full_PTL,random_forest,0.42772976331695195,0.882529509593153,0.9481327368649217,0.9359297875963442,0.27516805684150814,0.8562232466687755,0.8000040563014643,0.5250095069083534
0.9,no_context_distance,logistic_regression,0.42772976331695195,0.8368961181194986,0.9055472662526105,0.8887987742191094,0.2984151149001312,0.8671971102458145,0.8000040563014643,0.5306375966535682
0.9,no_context_distance,random_forest,0.42772976331695195,0.8839492151056667,0.9484991144154181,0.9365316099540689,0.27495891032064257,0.8578763051304178,0.8000040563014643,0.5250348586639625
