n_items,depth,resolution,noise_scale,inversion_fraction,law,trials,truth_draws,quantization_scale,truth_source_pair_tie_rate,truth_target_pair_tie_rate,truth_pair_tie_rate,truth_stable_population_coverage,realized_pair_tie_rate,stable_coverage,stable_tie_rate,d_adj_mean,d_adj_sd,d_adj_truth,d_adj_mae_to_truth,d_adj_bias_to_truth,d_adj_rmse_to_truth,d_adj_negative_fraction,kendall_mean,kendall_sd,kendall_truth,kendall_mae_to_truth,kendall_bias_to_truth,kendall_rmse_to_truth,kendall_negative_fraction,spearman_mean,spearman_sd,spearman_truth,spearman_mae_to_truth,spearman_bias_to_truth,spearman_rmse_to_truth,spearman_negative_fraction,top10_jaccard_mean,top10_jaccard_sd,top10_jaccard_truth,top10_jaccard_mae_to_truth,top10_jaccard_bias_to_truth,top10_jaccard_rmse_to_truth,top10_jaccard_negative_fraction,stable_inversion_mean,stable_inversion_sd,stable_inversion_truth,stable_inversion_mae_to_truth,stable_inversion_bias_to_truth,stable_inversion_rmse_to_truth,stable_inversion_negative_fraction,floor_adjusted_kendall_mean,floor_adjusted_kendall_sd,floor_adjusted_spearman_mean,floor_adjusted_spearman_sd,floor_adjusted_jaccard_mean,floor_adjusted_jaccard_sd,d_adj_empirical_90pct_low,d_adj_empirical_90pct_high,d_adj_truth_inside_empirical_90pct
100,5,0.0,0.25,0.0,gaussian_heteroscedastic,500,1024,0.9919700610288033,0.0,0.0,0.0,1.0,0.0,0.9628561616161616,0.0,-7.590551984488027e-06,0.0001851724228892,2.1569030453460384e-05,0.0001486884131391,-2.915958243794841e-05,0.0001872712732754,0.512,0.0061313131313131,0.0010032255222818,0.0004040404040404,0.0057272727272727,0.0057272727272727,0.0058143014557402,0.0,0.0002549654965496,5.378579384490903e-05,1.2001200120012002e-05,0.0002429642964296,0.0002429642964296,0.0002488348350529,0.0,0.5073684210526316,0.025288459010637,0.5263157894736843,0.0189473684210526,-0.0189473684210526,0.031578947368421,0.0,1.216754014252278e-05,4.908508567019783e-05,0.001010101010101,0.0009979334699584,-0.0009979334699584,0.0009991374967477,0.0,-0.002170505050505,0.0012482628949071,-0.000128706870687,7.085785873900485e-05,-0.0002105263157894,0.0295212598379206,-0.0003214085297418,0.0003077109478624,True
100,5,0.0,0.25,0.05,gaussian_heteroscedastic,500,1024,1.039519500228982,0.0,0.0,0.0,1.0,0.0,0.942540202020202,0.0,0.0313016263646566,0.0009054147736635,0.0311490345964528,0.0007436428597921,0.0001525917682038,0.0009172898169428,0.0,0.051170909090909,0.0013068079629802,0.0523232323232323,0.0013979797979797,-0.0011523232323232,0.001741315706515,0.0,0.0078735553555355,0.0003122209834136,0.0081248124812481,0.0003172397239723,-0.0002512571257125,0.000400521062892,0.0,0.5589473684210527,0.0257884081584737,0.5263157894736843,0.0328421052631578,0.0326315789473683,0.041575616122382,0.0,0.0259785566812579,0.0013289940153554,0.0523232323232323,0.0263446756419743,-0.0263446756419743,0.0263781088655631,0.0,0.0417723232323232,0.0016385138145724,0.0073821182118211,0.0003238671308079,0.047,0.0313925430499275,0.0298499132741557,0.0327196969696969,True
100,5,0.0,0.25,0.1,gaussian_heteroscedastic,500,1024,1.0630879204837986,0.0,0.0,0.0,1.0,0.0,0.9403341414141414,0.0,0.0716525818794,0.0009679674427882,0.0716996135133685,0.0007825475140725,-4.703163396848753e-05,0.0009681420468872,0.0,0.0934953535353535,0.0012622119682242,0.0935353535353535,0.0010113131313131,-4.000000000000492e-05,0.0012615834077154,0.0,0.0229721212121212,0.0005241068841989,0.0228322832283228,0.0004393879387938,0.0001398379837983,0.0005419347854912,0.0,0.5498947368421052,0.0280415070000444,0.5263157894736843,0.023578947368421,0.023578947368421,0.0366158465914233,0.0,0.0678773641255289,0.0014179110683453,0.0935353535353535,0.0256579894098246,-0.0256579894098246,0.0256970595868245,0.0,0.0842161616161616,0.0015078683003587,0.0224648184818481,0.0005256371517067,0.0555263157894737,0.0301027445816676,0.0701214289358228,0.0732563896541169,True
100,5,0.0,0.25,0.2,gaussian_heteroscedastic,500,1024,1.0592962038463256,0.0,0.0,0.0,0.9997979797979798,0.0,0.9349765656565656,0.0,0.1497887654320987,0.0010588433974628,0.1498144292349767,0.0008571991942014,-2.566380287796388e-05,0.0010580953040478,0.0,0.1729975757575757,0.0013726092243536,0.1731313131313131,0.0011058585858585,-0.0001337373737373,0.0013777422312426,0.0,0.0787163876387638,0.0009130903123736,0.0783438343834383,0.0007828742874287,0.0003725532553255,0.0009853234894018,0.0,0.6806315789473685,0.0148431382750142,0.6842105263157895,0.0044210526315789,-0.003578947368421,0.0152540807854625,0.0,0.1507138922418482,0.0014936436008402,0.1731662962214588,0.0224524039796106,-0.0224524039796106,0.0225019322220905,0.0,0.1633719191919191,0.0016305333922991,0.0782229582958295,0.0009109827145338,0.184578947368421,0.0253460717046417,0.1480627614529129,0.151486009080706,True
100,5,0.0,0.25,0.4,gaussian_heteroscedastic,500,1024,1.0844714099498385,0.0,0.0,0.0,1.0,0.0,0.939738585858586,0.0,0.3735216891133558,0.0010098242394515,0.3736880229217837,0.0008259871722936,-0.0001663338084279,0.0010224345653492,0.0,0.3950634343434343,0.0013159995643873,0.3951515151515151,0.0010569696969697,-8.808080808080809e-05,0.001317630210838,0.0,0.3454509810981098,0.0016320603923709,0.3466486648664866,0.0016593459345934,-0.0011976837683768,0.002023052221553,0.0,0.9543157894736845,0.0178331456484458,0.9473684210526316,0.0069473684210526,0.0069473684210526,0.0191220022364051,0.0,0.3883353168382369,0.0012056654076654,0.3945454545454545,0.0062101377072176,-0.0062101377072176,0.0063258621673015,0.0,0.3860717171717172,0.0016146993825443,0.3449963276327633,0.0016354712947031,0.4605263157894738,0.0204385168950917,0.3718793873074175,0.3752362514029181,True
100,5,0.0,0.5,0.0,gaussian_heteroscedastic,500,1024,1.080361431769324,0.0,0.0,0.0,0.9997979797979798,0.0,0.9255624242424242,0.0,7.545148454313755e-07,0.0003421253996781,4.267201279148911e-05,0.000280533270126,-4.191749794605773e-05,0.0003443439648966,0.508,0.0110371717171717,0.001418328940691,0.0012121212121212,0.0098250505050505,0.0098250505050505,0.0099266938653726,0.0,0.0005773657365736,0.000107916307415,3.6003600360036005e-05,0.0005413621362136,0.0005413621362136,0.000551992391318,0.0,0.4845263157894737,0.0213071316769003,0.4736842105263158,0.0108421052631579,0.0108421052631579,0.0238880120377057,0.0,1.91992328546514e-05,6.33915126508335e-05,0.0024247322691452,0.0024055330362906,-0.0024055330362906,0.0024063664799016,0.0,-0.004810101010101,0.0019492185095714,-0.0004437443744374,0.0001772434898118,-0.0102631578947368,0.0246253267847492,-0.0005487067646158,0.0005704264870931,True
100,5,0.0,0.5,0.05,gaussian_heteroscedastic,500,1024,1.1250937845803366,0.0,0.0,0.0,0.9995959595959596,0.0,0.9035858585858588,0.0,0.0182132812978267,0.0011183789183027,0.0183739026387532,0.0008949975531213,-0.0001606213409264,0.0011287466842721,0.0,0.0459797979797979,0.0019109333197223,0.045050505050505,0.0016783838383838,0.0009292929292929,0.0021231929183553,0.0,0.0070896369636963,0.0004776152145166,0.007044704470447,0.0003808940894089,4.493249324932491e-05,0.0004792483588924,0.0,0.579263157894737,0.0040686463830184,0.5789473684210527,0.0003157894736842,0.0003157894736842,0.0040768245749551,0.0,0.0105412620042794,0.0014411649544428,0.0450687146321746,0.0345274526278951,-0.0345274526278951,0.034557456322545,0.0,0.0287165656565656,0.0023526302265636,0.0058558955895589,0.0005062332817305,0.0803157894736842,0.0191646299870196,0.0163360754004693,0.0200703117028874,True
100,5,0.0,0.5,0.1,gaussian_heteroscedastic,500,1024,1.039916000898251,0.0,0.0,0.0,1.0,0.0,0.8850367676767676,0.0,0.0616167926742169,0.0014956625104712,0.0622471620578958,0.0013299574545463,-0.0006303693836789,0.0016216959926011,0.0,0.0944286868686868,0.0020455077475643,0.0923232323232323,0.0023890909090909,0.0021054545454545,0.0029340539504975,0.0,0.0261539273927392,0.0009513947792683,0.0251125112511251,0.0011662766276627,0.0010414161416141,0.0014099252824109,0.0,0.6410526315789475,0.0284495163869666,0.631578947368421,0.0170526315789473,0.0094736842105263,0.0299584199384372,0.0,0.0552751374069554,0.002083876270609,0.0923232323232323,0.0370480949162769,-0.0370480949162769,0.0371065384016893,0.0,0.0758149494949495,0.0025807218823446,0.0247867386738673,0.0009771754309908,0.1363157894736841,0.034942832740156,0.0592577160493827,0.0641602897663504,True
100,5,0.0,0.5,0.2,gaussian_heteroscedastic,500,1024,0.9677757244198034,0.0,0.0,0.0,0.9997979797979798,0.0,0.8629911111111112,0.0,0.1756539766350372,0.0018499958830179,0.1760617689652876,0.0015009271388447,-0.0004077923302503,0.001892599900206,0.0,0.2209612121212121,0.0023810741595535,0.2208080808080808,0.001930101010101,0.0001531313131313,0.0023836158088183,0.0,0.1284162736273627,0.0024145723144986,0.1284428442844284,0.0019466666666666,-2.6570657065717345e-05,0.0024123028712905,0.0,0.7364210526315789,0.0110431096949457,0.736842105263158,0.0023157894736842,-0.0004210526315789,0.0110400931386331,0.0,0.1817893846614993,0.002513890841192,0.2210547585370782,0.0392653738755788,-0.0392653738755788,0.0393456044998179,0.0,0.198890707070707,0.002909618986716,0.1264193759375937,0.0024223020773316,0.2432105263157895,0.0210644281895175,0.1728461636567697,0.1788914906642179,True
100,5,0.0,0.5,0.4,gaussian_heteroscedastic,500,1024,0.965419053818751,0.0,0.0,0.0,1.0,0.0,0.8598751515151515,0.0,0.400928751147842,0.0020459576292316,0.4009422225181502,0.0016275408410573,-1.3471370308196672e-05,0.0020439550418704,0.0,0.4520888888888889,0.0023177065887885,0.4505050505050505,0.0022618181818181,0.0015838383838383,0.0028052743769853,0.0,0.4232986978697869,0.0032920744634217,0.4219801980198019,0.0028439963996399,0.001318499849985,0.0035432358965469,0.0,0.9018947368421054,0.0180595720092604,0.8947368421052632,0.0071578947368421,0.0071578947368421,0.0194095672785113,0.0,0.4444999145711359,0.00233232562432,0.4511111111111111,0.0066117216220193,-0.0066111965399752,0.0070097634070206,0.0,0.4300630303030303,0.0029392587149574,0.4214156915691569,0.0033055454113999,0.3808421052631578,0.0281407105214311,0.3975330578512396,0.4044131593714927,True
