n_items,depth,tie_probability,noise_scale,inversion_fraction,law,trials,d_adj_mean,d_adj_sd,kendall_mean,kendall_sd,spearman_mean,spearman_sd,top10_jaccard_mean,top10_jaccard_sd,stable_inversion_mean,stable_inversion_sd,floor_adjusted_kendall_mean,floor_adjusted_kendall_sd,floor_adjusted_spearman_mean,floor_adjusted_spearman_sd,floor_adjusted_jaccard_mean,floor_adjusted_jaccard_sd,d_adj_mae_to_latent_truth,d_adj_bias_to_latent_truth,kendall_mae_to_latent_truth,kendall_bias_to_latent_truth,spearman_mae_to_latent_truth,spearman_bias_to_latent_truth,top10_jaccard_mae_to_latent_truth,top10_jaccard_bias_to_latent_truth,stable_coverage_mean
100,5,0.1,1.0,0.0,gaussian_heteroscedastic,500,0.00527356494235284,0.005461659953861731,0.026604444444444448,0.004181349331291348,0.0045539693969396935,0.0010388322196592827,0.17646220446220443,0.1175133382717587,5.47945205479452e-07,1.2252427273971447e-05,-0.002904242424242424,0.004749877932412356,-0.003777791779177918,0.0014683723700774393,-0.041675657675657674,0.11951072094587536,0.005547420161208055,0.00527356494235284,0.026604444444444448,0.026604444444444448,0.0045539693969396935,0.0045539693969396935,0.17646220446220443,0.17646220446220443,0.718429090909091
100,5,0.1,1.0,0.05,gaussian_heteroscedastic,500,0.020579336547291112,0.005947918561041279,0.05064242424242424,0.006922799833059371,0.011638244824482448,0.0026608401566042177,0.2553499833499833,0.12991067620182745,0.000273189498285644,0.0004086285898283964,0.02117636363636364,0.006297363912776694,0.0033580978097809784,0.0022331557708487643,0.029153513153513156,0.12789406363883743,0.028940259412304846,-0.028940259412304846,0.004066666666666666,0.0011228282828282827,0.0037485478547854786,0.003741839183918392,0.09822644022644024,0.051280053280053285,0.6991147474747474
100,5,0.1,1.0,0.1,gaussian_heteroscedastic,500,0.05719633787368637,0.009960884609276972,0.09453373737373738,0.012112110771045691,0.03216945694569457,0.007251282668600664,0.3817967032967033,0.13199208070516005,0.007914815865928062,0.004132825153629488,0.06506404040404042,0.011041294371003773,0.023900880588058806,0.006732394172263461,0.14937479187479186,0.13404043380296204,0.04276002576267726,-0.04276002576267726,0.006262222222222221,-0.0054226262626262635,0.0035297689768976894,0.0033088748874887486,0.08324275724275725,0.02310789210789211,0.6661935353535353
100,5,0.1,1.0,0.2,gaussian_heteroscedastic,500,0.151036290174472,0.018468420990792225,0.19257454545454544,0.020635280845963784,0.10982994599459946,0.021054981463033307,0.5978792817090031,0.12675358249385243,0.08184161622176007,0.020813926702999724,0.1630529292929293,0.01955521671650385,0.10149989798979898,0.020638303703405372,0.3613181761478975,0.1407067111396312,0.05058674012855829,-0.05058674012855829,0.009256969696969698,-0.009048484848484849,0.004518574857485747,0.0030350945094509453,0.056140837147029096,0.001712324483222314,0.6185999999999999
100,5,0.1,1.0,0.4,gaussian_heteroscedastic,500,0.33567741046831956,0.02979476096991439,0.3857292929292929,0.031464620487295585,0.3507945484548455,0.0450778695490713,0.8665759099861268,0.07813850629165214,0.3444072432403667,0.04735215424542573,0.356209696969697,0.031140952100014555,0.3424578817881788,0.04483428828542719,0.6326185340287508,0.11757407320200136,0.06198238751147841,-0.06198238751147841,0.011976565656565658,-0.01193050505050505,0.005838028802880288,0.0006792889288928906,0.027002727406752178,-0.002514791881664948,0.5904682828282828
100,10,0.1,1.0,0.0,gaussian_heteroscedastic,500,0.008851712325272947,0.009536240287899638,0.017689696969696966,0.0038337993906844294,0.0033555265526552655,0.0009498675515667212,0.15151981351981347,0.11708855348432644,1.6251090175492783e-06,2.0944370922194484e-05,-0.0007486868686868688,0.003553404621832721,-0.0022724872487248724,0.0010104075150423443,-0.024856143856143858,0.1133489548929295,0.009022824966840131,0.008851712325272947,0.017689696969696966,0.017689696969696966,0.0033555265526552655,0.0033555265526552655,0.15151981351981347,0.15151981351981347,0.751729292929293
100,10,0.1,1.0,0.05,gaussian_heteroscedastic,500,0.0321848566472809,0.00884943215556537,0.04397373737373737,0.007492897464264726,0.010876471647164716,0.002688026329007847,0.24593140193140192,0.12806792473303874,0.0005139383449510105,0.0006959443967018927,0.02538141414141414,0.0061360291252620745,0.005176992199219923,0.0023389149206486754,0.06085614385614386,0.12347110790765914,0.01858597796143249,-0.018187264564840308,0.006814545454545454,-0.006398383838383838,0.0027295649564956495,0.0027049744974497448,0.07779087579087582,0.03188611388611389,0.7255979797979799
100,10,0.1,1.0,0.1,gaussian_heteroscedastic,500,0.07889638557290074,0.013100986906458768,0.08668646464646464,0.012873671495689604,0.031168523852385242,0.007262933086554544,0.3697997002997003,0.1351059356903518,0.010856541699020866,0.005402035700842559,0.06871676767676767,0.011500800750781583,0.02552081908190819,0.006895229282292004,0.18633116883116885,0.12996353985161677,0.020779865319865306,-0.02059331139679623,0.012863030303030303,-0.012803232323232326,0.002851770177017702,0.0025064176417641765,0.06881984681984682,0.003096237096237096,0.690540202020202
100,10,0.1,1.0,0.2,gaussian_heteroscedastic,500,0.18082399219467402,0.022186986823137224,0.18414424242424246,0.02118778135110477,0.10692310831083109,0.021111613500865056,0.594403452756394,0.13093175037464416,0.08987646904339397,0.021006048506728447,0.16622060606060607,0.020224084362031693,0.10133465196519652,0.020778357554871868,0.41477008612302735,0.1394939605701438,0.019984746709519427,-0.01902449265381083,0.015706666666666667,-0.015704242424242423,0.0036572577257725776,0.001973669366936693,0.04797846271375684,0.0018573877103288863,0.6525943434343435
100,10,0.1,1.0,0.4,gaussian_heteroscedastic,500,0.377696411080502,0.030014341991213174,0.38335353535353534,0.031034473760383586,0.3548109930993099,0.043673604627167614,0.8718819352302326,0.08048366112542295,0.3553842944203048,0.043933699330839335,0.36513131313131314,0.030379639738938608,0.3491430273027303,0.043493170272952325,0.6817533971016941,0.10974438626703292,0.023958864401591666,-0.023590861646770725,0.017935353535353533,-0.017933737373737373,0.004757227722772276,-0.00012562856285628594,0.019803135289203404,-0.0009760184775664648,0.6265482828282828
