aggregation_level,split_seed,environment_id,predictor,method,budget,n_selected,realized_fidelity,false_trust_rate,reliable_perturbation_recovery,high_effect_fidelity_fraction,budget_specific_retraining,realized_fidelity_ci_lower,realized_fidelity_ci_upper,false_trust_rate_ci_lower,false_trust_rate_ci_upper,environment_count,uncertainty
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,strong_linear,ptl_rf,0.2,10,0.21883301877748518,0.7,0.3,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,strong_linear,ptl_rf,0.5,25,0.21116724744143267,0.84,0.16,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,strong_linear,ptl_rf,0.8,40,0.17210327920856572,0.9,0.1,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,raw_normalized_uq,0.2,10,0.2574168954619046,0.4,0.6,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,raw_normalized_uq,0.5,25,0.2696898484605371,0.48,0.52,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,raw_normalized_uq,0.8,40,0.2806274444187007,0.42500000000000004,0.575,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,u_only_rf,0.2,10,0.2574168954619046,0.4,0.6,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,u_only_rf,0.5,25,0.2696898484605371,0.48,0.52,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,u_only_rf,0.8,40,0.2806274444187007,0.42500000000000004,0.575,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,ptl_rf,0.2,10,0.2574168954619046,0.4,0.6,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,ptl_rf,0.5,25,0.2696898484605371,0.48,0.52,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,mean_matching,ptl_rf,0.8,40,0.2806274444187007,0.42500000000000004,0.575,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,raw_normalized_uq,0.2,10,0.272225930537623,0.30000000000000004,0.7,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,raw_normalized_uq,0.5,25,0.21397782335586912,0.56,0.44,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,raw_normalized_uq,0.8,40,0.17100000362239243,0.7,0.3,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,u_only_rf,0.2,10,0.29366494318153724,0.19999999999999996,0.8,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,u_only_rf,0.5,25,0.21797792501508073,0.6,0.4,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,u_only_rf,0.8,40,0.18515513362611669,0.7,0.3,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,ptl_rf,0.2,10,0.2890518835582939,0.19999999999999996,0.8,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,ptl_rf,0.5,25,0.19811141389204667,0.64,0.36,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,slim_string,ptl_rf,0.8,40,0.18269927630106897,0.7,0.3,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,raw_normalized_uq,0.2,10,0.3084900256088948,0.19999999999999996,0.8,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,raw_normalized_uq,0.5,25,0.29102392085977213,0.28,0.72,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,raw_normalized_uq,0.8,40,0.25742044936678565,0.375,0.625,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,u_only_rf,0.2,10,0.3066607168921516,0.19999999999999996,0.8,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,u_only_rf,0.5,25,0.30143322092942415,0.24,0.76,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,u_only_rf,0.8,40,0.26015421494669033,0.375,0.625,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,ptl_rf,0.2,10,0.30381433549290204,0.19999999999999996,0.8,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,ptl_rf,0.5,25,0.29102392085977213,0.28,0.72,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,strong_linear,ptl_rf,0.8,40,0.2772105028324947,0.30000000000000004,0.7,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,raw_normalized_uq,0.2,10,0.4807253017472518,0.0,1.0,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,raw_normalized_uq,0.5,25,0.43304414893386056,0.07999999999999996,0.92,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,raw_normalized_uq,0.8,40,0.36712849598699193,0.22499999999999998,0.775,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,u_only_rf,0.2,10,0.4807253017472518,0.0,1.0,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,u_only_rf,0.5,25,0.43304414893386056,0.07999999999999996,0.92,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,u_only_rf,0.8,40,0.36712849598699193,0.22499999999999998,0.775,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,ptl_rf,0.2,10,0.4807253017472518,0.0,1.0,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,ptl_rf,0.5,25,0.43304414893386056,0.07999999999999996,0.92,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,mean_matching,ptl_rf,0.8,40,0.36712849598699193,0.22499999999999998,0.775,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,raw_normalized_uq,0.2,10,0.21224309953696507,0.6,0.4,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,raw_normalized_uq,0.5,25,0.1688588349159974,0.8,0.2,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,raw_normalized_uq,0.8,40,0.16692822034929544,0.775,0.225,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,u_only_rf,0.2,10,0.1905765098240716,0.7,0.3,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,u_only_rf,0.5,25,0.15148105293220593,0.76,0.24,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,u_only_rf,0.8,40,0.14356737230571537,0.8,0.2,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,ptl_rf,0.2,10,0.24923155228648275,0.5,0.5,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,ptl_rf,0.5,25,0.1495603722633928,0.8,0.2,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,slim_string,ptl_rf,0.8,40,0.15134656773093946,0.8,0.2,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,raw_normalized_uq,0.2,10,0.336774812048243,0.4,0.6,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,raw_normalized_uq,0.5,25,0.3357895802119546,0.28,0.72,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,raw_normalized_uq,0.8,40,0.2860471505599207,0.475,0.525,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,u_only_rf,0.2,10,0.3909673814371779,0.09999999999999998,0.9,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,u_only_rf,0.5,25,0.3272557056801797,0.4,0.6,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,u_only_rf,0.8,40,0.2869329584408439,0.5,0.5,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,ptl_rf,0.2,10,0.3268462377632593,0.4,0.6,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,ptl_rf,0.5,25,0.3461717077053573,0.28,0.72,0.0,0,,,,,,
environment_predictor,20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,strong_linear,ptl_rf,0.8,40,0.29199768161236095,0.475,0.525,0.0,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,raw_normalized_uq,0.2,10,0.5916593935590536,0.09999999999999998,0.9,0.3,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,raw_normalized_uq,0.5,24,0.7084836700286357,0.08333333333333337,0.9166666666666666,0.5833333333333334,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,raw_normalized_uq,0.8,39,0.6696759592702775,0.1282051282051282,0.8717948717948718,0.5128205128205128,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,u_only_rf,0.2,10,0.7768228779794634,0.09999999999999998,0.9,0.8,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,u_only_rf,0.5,24,0.709701407853438,0.125,0.875,0.6666666666666666,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,u_only_rf,0.8,39,0.7165595454449971,0.07692307692307687,0.9230769230769231,0.6153846153846154,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,ptl_rf,0.2,10,0.5625492418060318,0.09999999999999998,0.9,0.2,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,ptl_rf,0.5,24,0.5519240306301536,0.20833333333333337,0.7916666666666666,0.3333333333333333,0,,,,,,
environment_predictor,20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,mean_matching,ptl_rf,0.8,39,0.6601307070979597,0.1282051282051282,0.8717948717948718,0.5128205128205128,0,,,,,,
