analysis,metric,method,environment_key,predictor,scenario,heldout_environment_id,heldout_predictor,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
selective_risk_under_alternative_fidelity,delta_cosine,raw_normalized_uq,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.3281925384867996,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,1.029534300754479,0.5,0.62
selective_risk_under_alternative_fidelity,delta_cosine,best_scalar_uq,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.3443543074366348,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,0.8972747032691961,0.5,0.62
selective_risk_under_alternative_fidelity,delta_cosine,u_only_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.2757276659526708,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,0.745108746269251,0.5,0.62
selective_risk_under_alternative_fidelity,delta_cosine,u_p_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.27563772718429114,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,0.7449241177933742,0.5,0.62
selective_risk_under_alternative_fidelity,delta_cosine,u_ps_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.2753746607537612,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,0.7443842450941591,0.5,0.62
selective_risk_under_alternative_fidelity,delta_cosine,u_psn_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.27575791091346163,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,0.7451708399952838,0.5,0.62
selective_risk_under_alternative_fidelity,delta_cosine,ptl_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7433460803906126,0.6797754020221507,0.06357067836846186,0.2770059342766969,0.7543339736981385,0.7565242039164931,0.7551768289907198,0.31999999999999995,0.375,0.7477357873674486,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,raw_normalized_uq,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.3281925384867996,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,1.029534300754479,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,best_scalar_uq,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.3443543074366348,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,0.8972747032691961,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_only_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.2757276659526708,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,0.745108746269251,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_p_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.27563772718429114,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,0.7449241177933742,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_ps_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.2753746607537612,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,0.7443842450941591,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,u_psn_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.27575791091346163,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,0.7451708399952838,0.5,0.62
selective_risk_under_alternative_fidelity,centered_delta_cosine,ptl_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.7741373355553255,0.6950484297675931,0.07908890578773242,0.2770059342766969,0.7670373753234924,0.7858558308138758,0.7738961360213934,0.31999999999999995,0.375,0.7477357873674486,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,raw_normalized_uq,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.3281925384867996,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,1.029534300754479,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,best_scalar_uq,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.3443543074366348,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,0.8972747032691961,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_only_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.2757276659526708,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,0.745108746269251,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_p_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.27563772718429114,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,0.7449241177933742,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_ps_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.2753746607537612,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,0.7443842450941591,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,u_psn_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.27575791091346163,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,0.7451708399952838,0.5,0.62
selective_risk_under_alternative_fidelity,absolute_effect_rank_agreement,ptl_rf,frangieh_melanoma_coculture,mean_matching,in_domain,,,50.0,0.6736055909130094,0.6557271612640099,0.01787842964899955,0.2770059342766969,0.6780723440086491,0.6723166315060347,0.6762741144496127,0.31999999999999995,0.375,0.7477357873674486,0.5,0.62
