comparison,left_environment_id,right_environment_id,perturbation_label,risk_left,risk_right,confidence_left,confidence_right,absolute_risk_change,response_program_shift,response_program_is_descriptive,risk_and_confidence_outcomes_used_for_evaluation_only,matching
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,A2M,0.695474387616834,0.5616057771478442,0.9786820772059723,0.8986508973832531,0.1338686104689898,0.8014752264634895,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ACSL3,1.030402016404048,1.0260125464769105,0.7763405404302807,0.7453452314942949,0.004389469927137402,0.9492289251589501,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ACTA2,0.5455296344333287,0.5596006734820116,0.974695503763345,0.9460743916433776,0.014071039048682898,0.6897962255389771,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,AEBP1,0.6001235198370816,0.6877349191216002,0.9294010348102905,0.8608643150522591,0.08761139928451867,0.8052175864243839,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,AGA,0.7423953989789284,0.9075106611799606,0.9328260722948486,0.841965078545952,0.16511526220103223,0.9715147690587951,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,AHCY,1.1956403617709297,0.9485148961595162,0.8116119858203805,0.6774464412463456,0.24712546561141346,0.9234465109296646,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,AHNAK,0.6592344835803465,0.9206818811949319,0.8459792046941564,0.8459877141006755,0.26144739761458535,1.004080204395619,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,APOC2,0.5210522517407854,0.6201816741361939,0.9808900016581732,0.955226808444543,0.09912942239540845,0.8571419349655237,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,APOD,0.87009430009594,0.7559791258878202,0.9826268525029626,0.9449433312560845,0.11411517420811979,0.8736869333976026,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,APOE,0.6695774343954559,0.7645634661878903,0.9221779676981349,0.9194869657705707,0.09498603179243437,0.8622135721550435,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ARMC6,0.6323766219882373,0.7758930248956586,0.957219079016239,0.9104788126983139,0.1435164029074213,0.9654093763845041,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ATP1A1,0.9139230252967334,0.9946881934927256,0.7484055468134133,0.7468326829329954,0.08076516819599222,1.0100946249472644,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ATP1B1,0.5523731927520275,0.9346529777055322,0.8552546453465474,0.7590415043003583,0.3822797849535048,0.9158453213319516,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,ATP5MD,0.6118433790865927,0.813297738584221,0.8872786557542757,0.7942559119926828,0.20145435949762835,0.8879921056488576,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,B2M,0.867038445706225,0.7475464947024018,0.8564150083309251,0.7003024555987545,0.11949195100382326,0.6800472060413564,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,BOLA2,0.7843101522664123,0.886800587462636,0.9812220998296377,0.961930539178141,0.1024904351962237,0.8790836708106469,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,BOLA2B,0.8688239455774978,1.0335936310087435,0.9741903329704208,0.9175808144984537,0.1647696854312457,0.8950019925816686,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,BZW2,0.8188619834701767,0.9264035056014018,0.8115129127841322,0.7016076784050274,0.10754152213122514,0.8810055651240764,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,C19orf48,0.7430257411915655,0.8312471541618547,0.9029936275769432,0.7214475728247315,0.08822141297028918,0.8926334521440356,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,C1QBP,0.6934158139050599,0.7876374430540161,0.8484839753961189,0.7832415687414835,0.09422162914895615,0.7740433691300319,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,C6orf226,0.5843625942901585,0.7212612411363968,0.9322975108920263,0.8586361134376732,0.13689864684623831,0.7763669983183434,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CCND1,0.9330833075381577,0.8400189152864354,0.7118491976130058,0.7644236753585426,0.09306439225172236,0.6295941331925705,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CCND2,0.6477828472966818,0.650121489988885,0.9811844225855828,0.9583262068998443,0.0023386426922031855,0.7198734181258002,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CCR10,0.5972720742837361,0.7139142773287721,0.9795433790283057,0.955244308735963,0.11664220304503603,0.8155162487996566,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CCT3,0.9238503686762962,0.9743920236766749,0.854799147716522,0.8362701342211828,0.05054165500037866,0.9037109885733444,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CCT6A,0.9514144798813612,1.0061347021031912,0.8757629298687779,0.8602396409956539,0.05472022222183004,0.9275046740135175,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD151,0.6207658394178278,0.6979529369527192,0.7846584010854567,0.8119866085524284,0.07718709753489139,0.8134016790085666,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD274,0.5959581777207955,0.7821154939928118,0.9335011059776049,0.9172936407225339,0.18615731627201626,0.9383151105593793,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD44,0.6232668688190447,0.8773786677299303,0.8580050533252201,0.941080283534586,0.25411179891088564,0.8188890040951957,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD47,0.7168060664965619,0.9533987425111777,0.8756076552690608,0.7270041221387774,0.23659267601461587,0.8767948502846812,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD58,0.46397352122136604,0.908973525902852,0.9534348044784883,0.8638435699322532,0.44500000468148593,0.9819449468032901,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD59,0.5841532836435785,0.8532745417040337,0.8437137226718052,0.838002942705845,0.26912125806045517,0.8878063452511533,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CD63,0.7856890429393968,0.7898650032991534,0.7732667209344483,0.7875724494277015,0.0041759603597566475,0.7389958854909424,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CDC123,0.8109927753550772,0.9138470222274692,0.8524232372674193,0.7529951922201411,0.10285424687239197,0.9577633471893621,1,1,exact_perturbation_label_intersection
frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,CDH19,0.5598205496736681,0.5639286078639889,0.9812102532542188,0.9567872047651096,0.004108058190320785,0.7762099920701077,1,1,exact_perturbation_label_intersection
