aggregation_level,scenario,heldout_environment_id,heldout_predictor,environment_id,environment_key,predictor,method,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,best_scalar_uq,143.25,0.6531177194356563,0.5272804302245366,0.12583728921111964,0.2239595961456206,0.6826030114475956,0.6473026057622159,0.665926440109401,0.32167658730158727,0.3423170669129721,0.6725047638781037,0.6328437757508905,0.6998025761040677
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,isotonic,143.25,0.6462547156129137,0.5272804302245366,0.11897428538837701,0.19647733923658992,0.6826030114475956,0.6382637191775902,0.6652901464869828,0.30584325396825396,0.3447174292318127,0.5966013564597769,0.6216100059276743,0.691449577522599
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,platt_logistic,143.25,0.6531177194356563,0.5272804302245366,0.12583728921111964,0.20063201430991973,0.6826030114475956,0.6473026057622159,0.665926440109401,0.32167658730158727,0.3423170669129721,0.5875662410485856,0.6328437757508905,0.6998025761040677
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,ptl_rf,143.25,0.6145115242595414,0.5272804302245366,0.08723109403500474,0.146972165230524,0.6826030114475956,0.6123911949831693,0.6527187564286566,0.2615972222222222,0.32695120073891626,0.4537300552823715,0.7137174810313947,0.7622496716935185
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,raw_normalized_uq,143.25,0.6557220371721232,0.5272804302245366,0.1284416069475866,0.2479020919933877,0.6826030114475956,0.6539774780321845,0.6690199628342677,0.3036706349206349,0.347338105500821,0.7870234463695929,0.6582825293031523,0.7031188329266176
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,u_only_rf,143.25,0.6418907262139295,0.5272804302245366,0.11461029598939287,0.18461951334316995,0.6826030114475956,0.6327051815796532,0.6661096456181603,0.288640873015873,0.35001795977011496,0.5470694970445195,0.6497044657570723,0.7160089825789275
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,u_p_rf,143.25,0.618649813822855,0.5272804302245366,0.09136938359831835,0.16965289511272905,0.6826030114475956,0.6193278491990619,0.6565181228139504,0.26828373015873014,0.32743483169129717,0.5087963300927417,0.7053206289400742,0.7603699777384386
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,u_ps_rf,143.25,0.616420933864587,0.5272804302245366,0.08914050364005033,0.1700707213724815,0.6826030114475956,0.6141478043436722,0.6551866686580647,0.26512896825396826,0.32750923645320196,0.5088797657542246,0.7071936619208419,0.7617173338083837
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,u_psn_rf,143.25,0.618115105227006,0.5272804302245366,0.0908346750024693,0.17076170609393473,0.6826030114475956,0.6133051967886171,0.6555860217702012,0.2658829365079365,0.32806727216748766,0.510121904043469,0.7059586127917576,0.7554291442063908
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,best_scalar_uq,143.25,0.6517664035167989,0.5272804302245366,0.12448597329226231,0.22273039666987968,0.6826030114475956,0.6504200104130076,0.667554839252412,0.33959325396825396,0.3571236145320197,0.7319736726483387,0.5959413769512496,0.6435011142284497
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,isotonic,143.25,0.6481012235378917,0.5272804302245366,0.1208207933133551,0.21258963303570202,0.6826030114475956,0.6423035071860635,0.6666854656028852,0.328938492063492,0.3566027811986864,0.6691559637511294,0.5806372086751841,0.6141632545891758
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,platt_logistic,143.25,0.6517664035167989,0.5272804302245366,0.12448597329226231,0.20983562864842115,0.6826030114475956,0.6504200104130076,0.667554839252412,0.33959325396825396,0.3571236145320197,0.6128418181876539,0.5959413769512496,0.6435011142284497
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,ptl_rf,143.25,0.6426977518776545,0.5272804302245366,0.1154173216531179,0.2282860233790054,0.6826030114475956,0.6460733933197068,0.6641747662881068,0.3058531746031746,0.3477088464696223,0.6477374422130822,0.6466195854402202,0.670746964625134
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,raw_normalized_uq,143.25,0.65399493096904,0.5272804302245366,0.1267145007445034,0.25647185034436976,0.6826030114475956,0.6534281588243658,0.6733563996310331,0.3180753968253968,0.364375513136289,1.1248375173175276,0.6132888809596576,0.6473270427661566
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,u_only_rf,143.25,0.6562297694695597,0.5272804302245366,0.12894933924502305,0.25105876203042354,0.6826030114475956,0.6586060156140016,0.6707995683053386,0.34306547619047617,0.36857938218390807,0.705662501171883,0.5986530232760457,0.6371061613407599
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,u_p_rf,143.25,0.6431479940796321,0.5272804302245366,0.1158675638550955,0.27328150503169,0.6826030114475956,0.6472343836057204,0.6667549451429337,0.3138988095238095,0.3503502155172414,0.7545047000787546,0.6404539911136455,0.6649068538368857
