dataset_id,predictor,reproducibility_stratum,method,reproducibility_min,reproducibility_max,reproducibility_mean,n,aurc,mean_risk,used_in_ptl_features,evaluation_only
NormanWeissman2019_filtered,mean_matching,high,ptl_rf,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.11981120908788012,0.14532381661533342,0,1
NormanWeissman2019_filtered,mean_matching,high,raw_normalized_uq,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.10306565542350493,0.14532381661533342,0,1
NormanWeissman2019_filtered,mean_matching,high,u_only_rf,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.09285253308371078,0.14532381661533342,0,1
NormanWeissman2019_filtered,mean_matching,low,ptl_rf,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.45397459643126764,0.4693466899650694,0,1
NormanWeissman2019_filtered,mean_matching,low,raw_normalized_uq,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.5154483200934636,0.4693466899650694,0,1
NormanWeissman2019_filtered,mean_matching,low,u_only_rf,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.5218155768364415,0.4693466899650694,0,1
NormanWeissman2019_filtered,mean_matching,middle,ptl_rf,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.19696056978247256,0.2950909449177302,0,1
NormanWeissman2019_filtered,mean_matching,middle,raw_normalized_uq,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.23265203239793578,0.2950909449177302,0,1
NormanWeissman2019_filtered,mean_matching,middle,u_only_rf,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.20829349879340936,0.2950909449177302,0,1
NormanWeissman2019_filtered,slim_string,high,ptl_rf,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.14026406613545314,0.212689162401861,0,1
NormanWeissman2019_filtered,slim_string,high,raw_normalized_uq,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.1146443964652053,0.212689162401861,0,1
NormanWeissman2019_filtered,slim_string,high,u_only_rf,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.1710096187144995,0.212689162401861,0,1
NormanWeissman2019_filtered,slim_string,low,ptl_rf,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.5825865477278812,0.6385114128412287,0,1
NormanWeissman2019_filtered,slim_string,low,raw_normalized_uq,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.5327088806625545,0.6385114128412287,0,1
NormanWeissman2019_filtered,slim_string,low,u_only_rf,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.4947382154703283,0.6385114128412287,0,1
NormanWeissman2019_filtered,slim_string,middle,ptl_rf,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.31381129669181973,0.3769137643106878,0,1
NormanWeissman2019_filtered,slim_string,middle,raw_normalized_uq,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.43107029836466704,0.3769137643106878,0,1
NormanWeissman2019_filtered,slim_string,middle,u_only_rf,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.34718261046499294,0.3769137643106878,0,1
NormanWeissman2019_filtered,strong_linear,high,ptl_rf,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.15859296253731112,0.24032393087497694,0,1
NormanWeissman2019_filtered,strong_linear,high,raw_normalized_uq,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.3354640860579787,0.24032393087497694,0,1
NormanWeissman2019_filtered,strong_linear,high,u_only_rf,0.8607807504394763,0.9423430873628982,0.8965893815391777,17,0.20295812154559983,0.24032393087497694,0,1
NormanWeissman2019_filtered,strong_linear,low,ptl_rf,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.5731476063898185,0.5735857991557932,0,1
NormanWeissman2019_filtered,strong_linear,low,raw_normalized_uq,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.46600963507664067,0.5735857991557932,0,1
NormanWeissman2019_filtered,strong_linear,low,u_only_rf,0.0612278084641206,0.729067126626218,0.5287347663641967,14,0.6490160142950908,0.5735857991557932,0,1
NormanWeissman2019_filtered,strong_linear,middle,ptl_rf,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.32783887489328967,0.5524758761525933,0,1
NormanWeissman2019_filtered,strong_linear,middle,raw_normalized_uq,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.7300850658569694,0.5524758761525933,0,1
NormanWeissman2019_filtered,strong_linear,middle,u_only_rf,0.7444486844511123,0.8541372545452541,0.802731528901926,16,0.4247640403449896,0.5524758761525933,0,1
ReplogleWeissman2022_rpe1,mean_matching,low,ptl_rf,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.8028395471897266,0.7909673382529244,0,1
ReplogleWeissman2022_rpe1,mean_matching,low,raw_normalized_uq,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.8028395471897266,0.7909673382529244,0,1
ReplogleWeissman2022_rpe1,mean_matching,low,u_only_rf,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.8028395471897266,0.7909673382529244,0,1
ReplogleWeissman2022_rpe1,mean_matching,middle,ptl_rf,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.8664877265518167,0.8664877265518167,0,1
ReplogleWeissman2022_rpe1,mean_matching,middle,raw_normalized_uq,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.8664877265518167,0.8664877265518167,0,1
ReplogleWeissman2022_rpe1,mean_matching,middle,u_only_rf,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.8664877265518167,0.8664877265518167,0,1
ReplogleWeissman2022_rpe1,slim_string,low,ptl_rf,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.845705843000716,0.9271309874561006,0,1
ReplogleWeissman2022_rpe1,slim_string,low,raw_normalized_uq,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.8288809290411242,0.9271309874561006,0,1
ReplogleWeissman2022_rpe1,slim_string,low,u_only_rf,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.9172902725669995,0.9271309874561006,0,1
ReplogleWeissman2022_rpe1,slim_string,middle,ptl_rf,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.7637400892372097,0.7637400892372097,0,1
ReplogleWeissman2022_rpe1,slim_string,middle,raw_normalized_uq,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.7637400892372097,0.7637400892372097,0,1
ReplogleWeissman2022_rpe1,slim_string,middle,u_only_rf,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.7637400892372097,0.7637400892372097,0,1
ReplogleWeissman2022_rpe1,strong_linear,low,ptl_rf,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.8187728571679393,0.8089691772071577,0,1
ReplogleWeissman2022_rpe1,strong_linear,low,raw_normalized_uq,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.9177030757951025,0.8089691772071577,0,1
ReplogleWeissman2022_rpe1,strong_linear,low,u_only_rf,0.0504171861288193,0.3998845898074535,0.22981499829964436,3,0.8187728571679393,0.8089691772071577,0,1
ReplogleWeissman2022_rpe1,strong_linear,middle,ptl_rf,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.9601218397727072,0.9601218397727072,0,1
ReplogleWeissman2022_rpe1,strong_linear,middle,raw_normalized_uq,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.9601218397727072,0.9601218397727072,0,1
ReplogleWeissman2022_rpe1,strong_linear,middle,u_only_rf,0.8034067156497616,0.8034067156497616,0.8034067156497616,1,0.9601218397727072,0.9601218397727072,0,1
