comparison_id,axis,left_sample,right_sample,modality,n_matched_targets,mean_shared_response_ids,mean_response_program_shift,median_response_program_shift,response_shift_risk_change_spearman,response_shift_risk_change_permutation_p,n_comparable_risk_pairs,n_risk_inversions,risk_inversion_rate,confidence_tracking_rate,n_confidence_comparable_inversions,risk_rank_kendall,risk_rank_spearman,mean_normalized_rank_displacement,predictor,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,target_matching,response_matching,confidence_source,response_shift_mean_bootstrap_low,response_shift_mean_bootstrap_high,shift_risk_change_spearman_bootstrap_low,shift_risk_change_spearman_bootstrap_high
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRi,24,12550.625,0.9073955147781442,0.9257322878772787,0.005217391304347826,0.9830084957521239,276,38,0.13768115942028986,0.0,38,0.7246376811594203,0.8895652173913042,0.10507246376811592,source_response_persistence_baseline,1,1,exact_intersection,finite_intersection_per_target,source_within_target_guide_reproducibility,0.8693527789626688,0.9363086195246069,-0.42971999828802904,0.4749871314179488
d7_k562_to_a549_context,cell_context,d7_k562,d7_a549,CRISPRko,25,12256.48,0.9685334163709431,0.9820080834907953,-0.4938461538461539,0.015492253873063468,300,36,0.12,0.0,36,0.7599999999999999,0.9092307692307693,0.09,source_response_persistence_baseline,1,1,exact_intersection,finite_intersection_per_target,source_within_target_guide_reproducibility,0.9560899008968887,0.9809903184102203,-0.7780464046140404,-0.11441672279537157
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,22,14350.181818181818,0.8378451933954377,0.9035992569293531,0.3800112930547713,0.09895052473763119,231,84,0.36363636363636365,0.0,84,0.2727272727272727,0.3382269904009035,0.24242424242424246,source_response_persistence_baseline,1,1,exact_intersection,finite_intersection_per_target,source_within_target_guide_reproducibility,0.7580030700008052,0.9024098142659469,-0.1633516790526276,0.7168848531102924
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,23,14542.782608695652,0.879188728985816,0.9244935497400465,0.17391304347826086,0.4367816091954023,253,78,0.308300395256917,0.0,78,0.383399209486166,0.49209486166007904,0.20158102766798425,source_response_persistence_baseline,1,1,exact_intersection,finite_intersection_per_target,source_within_target_guide_reproducibility,0.8245436321467472,0.9177522018064552,-0.30315682710410286,0.575434240816497
d7_to_d10_time,time,d7_k562,d10_k562,CRISPRi,23,13246.130434782608,0.6659316606676093,0.6914095910049672,0.5701581027667983,0.004497751124437781,253,35,0.1383399209486166,0.0,35,0.7233201581027668,0.882411067193676,0.11067193675889327,source_response_persistence_baseline,1,1,exact_intersection,finite_intersection_per_target,source_within_target_guide_reproducibility,0.6056337811494316,0.7168180300426578,0.14591082591604151,0.8559559134283872
d7_to_d10_time,time,d7_k562,d10_k562,CRISPRko,24,13156.541666666666,0.65850404897953,0.6698263698817776,0.2652173913043478,0.2013993003498251,276,86,0.3115942028985507,0.0,86,0.37681159420289856,0.4730434782608695,0.21739130434782608,source_response_persistence_baseline,1,1,exact_intersection,finite_intersection_per_target,source_within_target_guide_reproducibility,0.6188541296904587,0.6909050314071923,-0.24686122477048447,0.6358628454695809
