source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget,cell_budget_label,cell_budget_order,n_split_seeds,n_perturbations_mean,cross_disagreement,cross_disagreement_ci_low,cross_disagreement_ci_high,within_disagreement_left,within_disagreement_left_ci_low,within_disagreement_left_ci_high,within_disagreement_right,within_disagreement_right_ci_low,within_disagreement_right_ci_high,measurement_floor,measurement_floor_ci_low,measurement_floor_ci_high,identifiable_divergence,identifiable_divergence_ci_low,identifiable_divergence_ci_high,stable_pair_fraction,stable_pair_fraction_ci_low,stable_pair_fraction_ci_high
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,10,10,1,30,243.0,0.2583007402872723,0.2556292158396535,0.260833134940879,0.2519946944189368,0.2490153499076058,0.2547783106032264,0.2552222562323572,0.2518880726456484,0.2584215896337108,0.25360847532564695,0.2514958507635275,0.25580167556598526,0.004692264961625235,0.003318113797911782,0.005949647995102544,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,20,20,2,30,237.0,0.2771001692531408,0.2734217144628001,0.2805046604209874,0.2612815561753558,0.25770203103768863,0.26463163603423207,0.27909008558010917,0.27313195785358413,0.28519309161124223,0.2701858208777324,0.26696881928055494,0.2736396278814751,0.006914348375408237,0.0050409425731245145,0.008971638179694394,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,40,40,3,30,225.0,0.2727268518518518,0.26955744047619046,0.27556223544973546,0.2694087301587301,0.26682784391534387,0.2720357804232804,0.26795502645502645,0.26429993386243383,0.2719594576719576,0.26868187830687823,0.26641461640211633,0.27100145502645495,0.004044973544973547,0.002234226190476193,0.0057736111111111104,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,80,80,4,30,209.0,0.27898033983560294,0.2755686802232854,0.2824105937921727,0.25832413200834253,0.2544236903447429,0.2624050729971782,0.2662035333087964,0.26056350447797816,0.2715359311740891,0.26226383265856945,0.25897968807508276,0.2656846935958778,0.01671650717703349,0.012818135811556863,0.020625728438228436,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,160,160,5,30,186.0,0.287049307371888,0.28525322096289835,0.28886084471568335,0.26245277535600114,0.25864952048823014,0.26631793083405986,0.28130000968710644,0.2784124769931221,0.28410355516807123,0.2718763925215538,0.2694695340501792,0.27418405502276466,0.015172914850334196,0.012312263876779996,0.01825874261358131,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,1000000000,full,6,30,243.0,0.2805862392607032,0.2780485163526099,0.2829835390946502,0.21796260197819647,0.21678579163959275,0.2192043895747599,0.23251750776117247,0.22801855461699516,0.23703884196086922,0.2252400548696844,0.22303064760667096,0.2275003609847664,0.05534618439101868,0.05304237961158037,0.05766406757634826,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,10,1,30,243.0,0.46275039961908654,0.45591507102449863,0.4693902266208664,0.44512804815835116,0.4291643709825528,0.459821786892494,0.4543946762801981,0.4359003616411023,0.4745430171524447,0.44976136221927476,0.4417842567084992,0.45763944155358305,0.012989037399811816,0.003195960729630773,0.02283516988062443,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,20,2,30,237.0,0.45809673651338534,0.4485052385038977,0.4693819876516724,0.41730196190612406,0.40260846504088293,0.4323436196333644,0.43418198288397813,0.41336134353619863,0.4545835419199504,0.4257419723950511,0.41599284249922525,0.4353538224987485,0.03235476411833417,0.017993903311163552,0.04812248206155093,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,40,40,3,30,225.0,0.44516269841269834,0.43468194444444436,0.456206746031746,0.41812830687830677,0.408466402116402,0.4277459656084655,0.370781746031746,0.35955165343915346,0.382094246031746,0.3944550264550265,0.38506210317460315,0.40273948412698424,0.050707671957671945,0.0373270171957672,0.06558346560846559,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,80,80,4,30,209.0,0.4262621150779045,0.41245518187952385,0.4396010458839405,0.36470065022696596,0.34864702183781127,0.379958517359833,0.309642988590357,0.297883618574408,0.32181534474297624,0.33717181940866153,0.32804809225861853,0.34686069960741,0.08909029566924301,0.07651323457244506,0.10255793000858787,0.0,0.0,0.0
