split_seed,comparison,left_environment_id,right_environment_id,predictor,method,n_shared_perturbations,n_rows,difficulty_left_mean_risk,difficulty_right_mean_risk,difficulty_mean_risk_gap,ranking_left_spearman,ranking_right_spearman,ranking_spearman_gap,centered_confidence_mapping_gap,additive_null_mse,interaction_mse,interaction_improvement,status,matched_perturbation_control,outcomes_used_for_evaluation_only
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,ptl_rf,9,18,0.6669707109230243,0.7116721144669191,-0.044701403543894846,,,,,0.015309397600626322,0.01530939760062632,2.361151397857321e-18,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,ptl_rf,10,20,0.6770055122420335,0.6705056808287069,0.006499831413326662,,,,,0.03254393119246508,0.03254393119246508,0.0,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,12,24,0.7243329759576126,0.5835169474856526,0.14081602847195995,,,,,0.01182529526381587,0.011825295263815877,-6.5616818980633136e-18,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,raw_normalized_uq,9,18,0.6669707109230243,0.7116721144669191,-0.044701403543894846,,,,,0.01530939760062632,0.01530939760062632,0.0,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,10,20,0.6770055122420335,0.6705056808287069,0.006499831413326662,,,,,0.03254393119246508,0.03254393119246508,0.0,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,12,24,0.7243329759576126,0.5835169474856526,0.14081602847195995,,,,,0.01182529526381587,0.011825295263815877,-5.206993871087935e-18,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,u_only_rf,9,18,0.6669707109230243,0.7116721144669191,-0.044701403543894846,,,,,0.015309397600626322,0.01530939760062632,2.361151397857321e-18,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_ifng,mean_matching,u_only_rf,10,20,0.6770055122420335,0.6705056808287069,0.006499831413326662,,,,,0.03254393119246508,0.03254393119246508,0.0,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,12,24,0.7243329759576126,0.5835169474856526,0.14081602847195995,,,,,0.01182529526381587,0.011825295263815877,-6.5616818980633136e-18,executed,shared perturbation_label,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,slim_string,ptl_rf,9,18,0.817947042324841,0.9475254791500815,-0.1295784368252405,0.5166666666666667,0.26666666666666666,0.25000000000000006,0.0651882313746741,0.010961280173999213,0.010340474630172397,0.0006208055438268135,executed,shared perturbation_label,1
