source_environment_id,left_target_environment_id,right_target_environment_id,metric,feature_ladder,feature_columns,n_labels,outer_protocol,target_feature_leakage,task,spearman,mae,auprc,positive_prevalence,auprc_lift
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.16866666666666666,0.04404770193223065,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.06854593751304236,0.04797175757520196,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.17290476190476187,0.07297815384365544,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.045714285714285714,0.07058813874164235,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.13980952380952383,0.03580302950728897,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.0823809523809524,0.06553764068554886,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.0017142857142857042,0.05191599841903222,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.17685714285714282,0.05986167476464169,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.2042857142857143,0.07366710108804973,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.1305714285714286,0.0691472306091393,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.06309280235751387,0.05270702988426698,,,
frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,28,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.21971428571428572,0.037679910875680955,,,
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,43,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.04738095238095239,0.040180708316323616,,,
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,31,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.059,0.05313459984610302,,,
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,43,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.21314285714285713,0.06168007971554703,,,
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,31,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.3814285714285715,0.0712393016114691,,,
frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,43,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.12480952380952381,0.026804957962154766,,,
frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,U+G,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,31,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.16328571428571428,0.0554133918359159,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,U+G+S,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.16866666666666666,0.04404770193223065,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,U+G+S,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.06854593751304236,0.04797175757520196,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,U+G+S,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,44,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,-0.17290476190476187,0.07297815384365544,,,
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,U+G+S,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_concentration;prediction_manifold_distance,37,10 repeats × 5 label-disjoint folds; nested ridge alpha selection,False,continuous_burden,0.045714285714285714,0.07058813874164235,,,
