aggregation_level,comparator,cell_budget_label,cell_budget_order,n_surfaces,n_evaluable_surfaces,cross_estimate,same_context_null,cross_minus_null_margin,margin,bootstrap_ci_low,bootstrap_ci_high,margin_ci_low,margin_ci_high,cross_bootstrap_ci_low,cross_bootstrap_ci_high,same_context_null_bootstrap_ci_low,same_context_null_bootstrap_ci_high,fraction_surfaces_lower_ci_gt0,fraction_surfaces_with_lower_ci_gt_zero,surface_positive_margin_fraction,negative_cross_surface_count,negative_same_context_null_surface_count,negative_margin_surface_count,canonical_d_adj_negative_reference_count,normalized_recovery,normalized_signal_fraction,full_depth_margin,evaluable_coverage,same_context_evaluable_coverage,bootstrap_draws,bootstrap_blocks,bootstrap_ci_level,bootstrap_unit,surface_interval_unit
macro_surface_mean,d_adj,10,1,18,18,0.031083012753421888,-0.008165878400359369,0.03924889115378126,0.03924889115378126,0.037922860602414565,0.040574921705147954,0.037922860602414565,0.040574921705147954,0.029867886784216455,0.03229813872262732,-0.008320388722061374,-0.008011368078657365,1.0,1.0,1.0,0,18,0,4,0.3550940939220772,1.2627119341724815,0.11053096017528848,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,d_adj,20,2,18,18,0.036660138852346216,-0.007750568458635524,0.04441070731098175,0.04441070731098175,0.04095350605027013,0.04786790857169335,0.04095350605027013,0.04786790857169335,0.03337771179517895,0.03994256590951349,-0.007925342662179868,-0.00757579425509118,1.0,1.0,1.0,0,18,0,1,0.4017942777349608,1.211416778584828,0.11053096017528848,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,d_adj,40,3,18,18,0.04378137423424037,-0.007323989763243026,0.051105363997483395,0.051105363997483395,0.047331800219312915,0.054878927775653875,0.047331800219312915,0.054878927775653875,0.040193031714813886,0.04736971675366685,-0.007509211021987018,-0.007138768504499034,1.0,1.0,1.0,0,18,0,0,0.4623624359766403,1.1672855156180801,0.11053096017528848,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,d_adj,80,4,18,18,0.06239942815301855,-0.0067042651314260385,0.0691036932844446,0.0691036932844446,0.06444635352736754,0.07376103304152166,0.06444635352736754,0.07376103304152166,0.057956326442982146,0.06684252986305496,-0.006918503178466702,-0.006490027084385376,1.0,1.0,1.0,0,18,0,0,0.6251976204210536,1.1074411309505203,0.11053096017528848,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,d_adj,160,5,18,18,0.08151483830090239,-0.005836694835057901,0.08735153313596028,0.08735153313596028,0.0821651256099574,0.09253794066196319,0.0821651256099574,0.09253794066196319,0.07660604245120978,0.086423634150595,-0.006114306511368188,-0.005559083158747614,1.0,1.0,1.0,0,18,0,0,0.7902901865453038,1.071602851170635,0.11053096017528848,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,d_adj,full,6,18,18,0.10595151454607664,-0.004579445629211828,0.11053096017528848,0.11053096017528848,0.1054445816933224,0.11561733865725454,0.1054445816933224,0.11561733865725454,0.10103232435659142,0.11087070473556189,-0.004746633921692677,-0.00441225733673098,1.0,1.0,1.0,0,18,0,0,1.0,1.043222087469267,0.11053096017528848,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,kendall_distance,10,1,18,18,0.3417177991789817,0.09973998717951257,0.24197781199946908,0.24197781199946908,0.233525208159037,0.2504304158399013,0.233525208159037,0.2504304158399013,0.33036130084276366,0.35307429751519975,0.09595774285199027,0.10352223150703486,1.0,1.0,1.0,0,0,0,0,1.0574847937825993,0.7081217676715992,0.2288239163552602,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,kendall_distance,20,2,18,18,0.30945167159485754,0.08788053081327322,0.22157114078158432,0.22157114078158432,0.20667379217439766,0.23646848938877096,0.20667379217439766,0.23646848938877096,0.2908105418765246,0.32809280131319046,0.08413674970212699,0.09162431192441943,1.0,1.0,1.0,0,0,0,0,0.9683041192144636,0.716012098560163,0.2288239163552602,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,kendall_distance,40,3,18,18,0.29134546349070456,0.07436851213029297,0.2169769513604116,0.2169769513604116,0.199324674891702,0.2346292278291212,0.199324674891702,0.2346292278291212,0.27149930940606565,0.31119161757534347,0.07217463451436366,0.07656238974622226,1.0,1.0,1.0,0,0,0,0,0.9482267186771874,0.7447411356976021,0.2288239163552602,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,kendall_distance,80,4,18,18,0.27971787265253995,0.05502284399923869,0.2246950286533012,0.2246950286533012,0.20934564541289757,0.24004441189370496,0.20934564541289757,0.24004441189370496,0.26168759091651406,0.29774815438856583,0.05234194550361652,0.057703742494860856,1.0,1.0,1.0,0,0,0,0,0.9819560482674866,0.803291639974729,0.2288239163552602,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
macro_surface_mean,kendall_distance,160,5,18,18,0.27579785492771175,0.04188475129078309,0.23391310363692863,0.23391310363692863,0.21904541944544986,0.24878078782840743,0.21904541944544986,0.24878078782840743,0.2599693788900656,0.29162633096535784,0.04003162444121509,0.0437378781403511,1.0,1.0,1.0,0,0,0,0,1.0222406266037647,0.8481324254615347,0.2288239163552602,1.0,1.0,2000,3,0.9,unordered context-pair block over fixed matched partition estimates,two independent A/B partition orientations and two same-context terms
