comparison_id,axis,left_sample,right_sample,modality,target,risk_left_source_to_right_guides,risk_right_source_to_left_guides,confidence_left_source,confidence_right_source,source_within_guide_mse_left,source_within_guide_mse_right,response_program_shift,absolute_risk_change,left_guide_count,right_guide_count,shared_response_id_count,response_program_is_descriptive,destination_outcomes_used_for_evaluation_only,predictor
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,NDUFV2,0.2275498941359456,0.1950159104989559,-0.09146994975447247,-0.1207278786898765,0.09578384762411421,0.12831783126110397,0.6840949125801057,0.0325339836369897,4,4,12646,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,OGFOD1,0.3138351396492894,0.3247761426402042,-0.15684771148639975,-0.14745095607247632,0.1698174505744122,0.15887644758349734,0.6177709373975029,0.010941002990914828,4,3,10480,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,PDHA1,0.21079405683371147,0.20941448120492684,-0.11009407518256435,-0.11132906694737467,0.11638308946190579,0.11776266509069037,0.6751440441436427,0.0013795756287846295,4,4,14094,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,PYGB,0.14307194370067033,0.2564169550958096,-0.14951774894358133,-0.04681590290431315,0.16127408201724755,0.04792907062210837,1.0542210837583093,0.11334501139513925,4,3,13176,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,RPL29,0.20654013710767935,0.20523236187281935,-0.10092554911164729,-0.10210708007806928,0.10619428155061393,0.10750205678547392,0.7706259157941323,0.0013077752348600036,4,4,13798,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,SH3KBP1,0.19185414411279358,0.21108387053521557,-0.1061720827311931,-0.08872810347217001,0.1120132183144786,0.0927834918920566,0.9063663133238937,0.01922972642242199,4,4,15572,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,SPAG7,0.19618831254417185,0.2108074947526878,-0.10181725784634241,-0.08852534420012713,0.10718112457662521,0.0925619423681092,0.8211965829407789,0.014619182208515963,4,4,15387,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,STK24,0.25393547283682955,0.27027742690297785,-0.16498696360077633,-0.15103364667087335,0.17937774377207055,0.16303578970592225,0.6945924948497074,0.0163419540661483,4,4,14020,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,TMED4,0.19692688698045807,0.2142386507215494,-0.10320973091128371,-0.08747241244028177,0.10872391837072376,0.09141215462963244,0.908791390658433,0.017311763741091335,4,4,16221,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,TMSB10,0.18951852426091434,0.2088762090723217,-0.10392210775774524,-0.08632112100360755,0.10951402901413959,0.09015634420273225,0.9008322005348124,0.019357684811407372,4,4,15910,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crispri,CRISPRi,UBE2E1,0.14794976187782888,0.23650646008290938,-0.13369405057291062,-0.05305378066299388,0.14304305277475354,0.05448635456967307,0.85237870825781,0.0885566982050805,4,3,13043,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,AKT2,0.2046983215246163,0.21863510856337004,-0.1069631695427094,-0.09436107347070752,0.11289326535662746,0.09895647831787376,0.846858248247936,0.013936787038753728,4,4,14019,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,CNIH4,0.18731379058893372,0.21448038851005166,-0.10602950206261337,-0.08129246188950483,0.11185467802900036,0.08468808010788235,0.9345799868283562,0.027166597921117946,4,4,14947,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,COTL1,0.27300124679180743,0.2921409659196816,-0.08125756603572781,-0.06345403691312537,0.08465022965166107,0.06551051052378697,0.9320043859921454,0.019139719127874155,2,2,16471,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,CTBP1,0.20100761698439465,0.21560963698483135,-0.10511287267518807,-0.09188063865325515,0.11083598630928237,0.09623396630884566,0.3420650791679358,0.0146020200004367,4,4,14952,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,DCAF13,0.3414135625904044,0.36650253281140166,-0.11368964837468598,-0.09104234133160084,0.12040435160941304,0.09531538138841579,0.9166063031687514,0.025088970220997264,2,2,11713,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,EPB41L2,0.19118382086961316,0.22464010264327047,-0.10863791911622944,-0.07816620601268276,0.11475864446358962,0.0813023626899323,0.9187520326162997,0.03345628177365731,4,4,15703,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,ETHE1,0.18600163290271618,0.21326529068436317,-0.1053592616291515,-0.08051588183065708,0.11110971774679056,0.0838460599651436,0.9334784223761822,0.027263657781646994,4,4,14713,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,GNG5,0.19333373725663935,0.20872415537696934,-0.10292370608305493,-0.08894123472674086,0.10840684115055901,0.09301642303022899,0.7802136420683745,0.015390418120329985,4,4,14211,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,IFT25,0.19080883114456243,0.22226894789974488,-0.1070171899259297,-0.07834274276329302,0.11295338590115812,0.08149326914597567,0.9381863861396047,0.031460116755182455,4,4,15431,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,MGAT4B,0.18555271133178047,0.21490604181475148,-0.10563473045697683,-0.07886894725523201,0.11141583599940594,0.0820625055164349,0.955136175670226,0.029353330482971007,4,4,15076,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,MOSMO,0.22011917170702247,0.25240199520000006,-0.10411088617747341,-0.07458848588619016,0.1097235010904848,0.07744067759750724,0.9407666812702368,0.03228282349297759,3,3,15870,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,MPG,0.19784904954464497,0.21983238119370171,-0.10411866601236311,-0.08411024212677895,0.10973213458968005,0.08774880294062329,0.9612519353940499,0.021983331649056748,4,4,15282,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,NDUFV2,0.18828750184691012,0.24524185641623886,-0.12554686467579515,-0.07400663193258626,0.1337683013993715,0.07681394683004276,0.8814688756967511,0.056954354569328736,4,3,12363,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,OGFOD1,0.19512845443843044,0.22473036926342965,-0.10795845715805015,-0.08102642441631931,0.11400146563835921,0.08439955081335997,0.92602888883268,0.029601914824999215,4,4,15326,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,PDHA1,0.20710724212938567,0.23948666614767872,-0.11105848842309793,-0.08165449058887599,0.11746026343182078,0.08508083941352775,0.8005699470265853,0.03237942401829305,4,4,15149,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,PYGB,0.19025039219954087,0.22311127621604812,-0.10982002808632142,-0.0799346764403453,0.1160771898353107,0.08321630581880346,0.9294643187133292,0.03286088401650725,4,4,14924,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,RPL29,0.21658484402330028,0.24449552226980825,-0.10786418183304507,-0.08248811782736237,0.1138964477385061,0.08598576949199813,0.8613170711369305,0.027910678246507975,3,3,13433,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,SH3KBP1,0.192446706563953,0.2179658820400093,-0.1039330366762372,-0.08066434155090894,0.10952615486878949,0.08400697939273316,0.9263116562898492,0.02551917547605631,4,4,15314,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,SPAG7,0.15424214415102847,0.24944567548701344,-0.13499791250239018,-0.04815268845354868,0.14453439513600655,0.04933086380002159,0.8882271833609996,0.09520353133598497,4,3,12758,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,STK24,0.1890264278351206,0.21694845761322362,-0.10439839446882566,-0.07892260849495966,0.11004260166798958,0.08212057188988658,0.934307860743173,0.027922029778103014,4,4,15336,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,TMED4,0.1910119690651982,0.2202495570433781,-0.10834666568045427,-0.08176100883485796,0.11443401445542696,0.08519642647724708,0.9066434716924511,0.02923758797817988,4,4,15002,1,1,source_response_persistence_baseline
d10_to_d14_time,time,d10_k562,d14_k562_crisprko,CRISPRko,TMSB10,0.19070842204470193,0.20910212053029875,-0.10974143747068109,-0.09312213469026999,0.11598948008848607,0.09759578160288929,0.9244935497400465,0.018393698485596827,4,4,12088,1,1,source_response_persistence_baseline
