source_environment_id,target_environment_id,metric_from,metric_to,state_from,state_to,n_perturbation_pairs,count,fraction,state_definition,crossfit_split
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,delta_cosine,unresolved,stable_p>q,29403,738,0.02509947964493419,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,delta_cosine,stable_p>q,stable_p<q,29403,5342,0.18168214127810087,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,delta_cosine,stable_p>q,unresolved,29403,2393,0.08138625310342482,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,delta_cosine,stable_p>q,stable_p>q,29403,5653,0.19225929326939428,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p<q,stable_p<q,29403,6055,0.20593136754752916,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p<q,unresolved,29403,2346,0.07978777675747373,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p<q,stable_p>q,29403,5141,0.17484610413903343,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,unresolved,stable_p<q,29403,1134,0.03856749311294766,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,unresolved,unresolved,29403,441,0.01499846954392409,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,unresolved,stable_p>q,29403,898,0.030541101248171956,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p>q,stable_p<q,29403,5786,0.19678264122708566,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p>q,unresolved,29403,2378,0.08087610107812128,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,absolute_effect_rank_agreement,stable_p>q,stable_p>q,29403,5224,0.17766894534571304,tie-aware Beta posterior over source discovery and target validation pairwise risks,15_seed_discovery_15_seed_validation
