dataset,predictor,source_context,target_contexts,metric,ordering_estimand,observed_reordering,observed_reordering_ci_low,observed_reordering_ci_high,measurement_identifiable_excess,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable_excess,joint_identifiable_ci_low,joint_identifiable_ci_high,stable_fraction_both,minimum_strict_support,rank_displacement_secondary,rank_displacement_secondary_ci_low,rank_displacement_secondary_ci_high,claim_lock_status,bootstrap_uncertainty_scope,source_artifact
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_coculture|frangieh_melanoma_ifng,systema_centroid_accuracy,pairwise_order_disagreement,0.0938483739183294,0.081025173424873,0.1092583404848744,0.0225911151040549,0.0138111903740256,0.0322538975899306,0.0179735437674318,0.00899932060359,0.0275783540728026,0.9308445970106558,8,0.0658303654437531,0.0568547521990989,0.0768182793391975,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_control|frangieh_melanoma_coculture,absolute_effect_rank_agreement,pairwise_order_disagreement,0.3459032959172444,0.3128613220351418,0.3804001137155644,0.0860169839697736,0.0548026484721763,0.1229265250724478,0.0265385486592568,-0.0126928120758593,0.0682637284032133,0.7031290121418877,8,0.2394717728623308,0.2154359708007776,0.2630878361028575,inconclusive_ci_crosses_zero,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_control|frangieh_melanoma_coculture,delta_cosine,pairwise_order_disagreement,0.374313909981292,0.3386169803015297,0.4119295880561974,0.1313577454972305,0.091263618355893,0.1727596199699203,0.1028366806059939,0.0628702633799199,0.1450435145445875,0.7259821723341037,8,0.2575056490957778,0.2310943288947581,0.2839816954623821,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_control|frangieh_melanoma_coculture,systema_centroid_accuracy,pairwise_order_disagreement,0.1239194912145555,0.1015546476651626,0.1490684952863064,0.0452794926818531,0.0265654231319467,0.0674344759913429,0.0421326758005942,0.0232461208319577,0.0650847364366677,0.9233337001577344,8,0.0847595466050401,0.0703899343384322,0.1017119236271596,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_control|frangieh_melanoma_ifng,absolute_effect_rank_agreement,pairwise_order_disagreement,0.3282960992907801,0.2928327877795963,0.366126568466994,0.073299618112384,0.0356382978723404,0.1118589743589743,0.0128322149481723,-0.0278261956719403,0.0513761593016911,0.7133296963084197,8,0.2285788234224404,0.203341516639389,0.2550472813238771,inconclusive_ci_crosses_zero,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_control|frangieh_melanoma_ifng,delta_cosine,pairwise_order_disagreement,0.3241747863247863,0.2882692307692307,0.3640739225313693,0.0933313329696308,0.0567480450991089,0.1343889798145117,0.0602742862338607,0.0220540098199672,0.100967221312966,0.7419530823786143,8,0.2229375068194217,0.1981042007637752,0.2509410801963993,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_control,frangieh_melanoma_control|frangieh_melanoma_ifng,systema_centroid_accuracy,pairwise_order_disagreement,0.1101963629750863,0.0895140025459174,0.1350172758683397,0.0351813602473176,0.0171099290780141,0.057823240589198,0.0313695080923804,0.0131282960538279,0.0540941534824513,0.9290780141843972,8,0.0747119339879978,0.0616375704673577,0.0910172304055282,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_coculture|frangieh_melanoma_ifng,absolute_effect_rank_agreement,pairwise_order_disagreement,0.2389617660730887,0.2086640921118501,0.2702241114210112,0.0615886791103482,0.0373650146606593,0.0873100371880139,-0.0183904383894729,-0.0520370718014732,0.0167893602946434,0.8026889794750769,8,0.1696045376528642,0.1475894836587284,0.1910744296645927,inconclusive_ci_crosses_zero,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_coculture|frangieh_melanoma_ifng,delta_cosine,pairwise_order_disagreement,0.3433214081384537,0.307743331187871,0.3795372058928699,0.1324787062862046,0.0954355288564686,0.1703720589286991,0.1002102284917399,0.0639336605163412,0.1389683007938211,0.7615318601158549,8,0.2367347135807766,0.2110384037760137,0.2626278337981834,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
Frangieh,source_frozen_strong_linear,frangieh_melanoma_ifng,frangieh_melanoma_coculture|frangieh_melanoma_ifng,systema_centroid_accuracy,pairwise_order_disagreement,0.0961434599156118,0.0833489773296145,0.1113242419366373,0.0249938407351784,0.0160811342344275,0.0345153489952084,0.0219000706214689,0.0131675516698848,0.0315682435814917,0.928520346134592,8,0.0675653695558892,0.0583027157977544,0.0786953354072802,positive_measurement_identifiable_excess,raw-cell/pseudoreplicate sampling uncertainty; not all biological variation,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
