split_seed,scenario,predictor,environment_key,n_test,base_aurc,base_brier,base_log_loss,base_rank_spearman_confidence_vs_negative_risk,platt_aurc,platt_brier,platt_log_loss,platt_rank_spearman_confidence_vs_negative_risk,isotonic_aurc,isotonic_brier,isotonic_log_loss,isotonic_rank_spearman_confidence_vs_negative_risk,platt_delta_aurc,platt_delta_brier,platt_delta_log_loss,platt_delta_rank_spearman,isotonic_delta_aurc,isotonic_delta_brier,isotonic_delta_log_loss,isotonic_delta_rank_spearman,n_comparable_pairs,n_order_disagreements,rank_order_preserved,n_base_tied_pairs,n_recalibrated_tied_pairs,calibration_fit_on,test_outcomes_used_for_evaluation_only
20260907,in_domain,mean_matching,frangieh_melanoma_coculture,50,0.7433460803906153,0.3443543074366348,0.8972747032691961,,0.7433460803906153,0.2605583705756788,0.7143074694232654,,0.7433460803906153,0.26662872830221046,0.7265588983469743,,0.0,-0.08379593686095599,-0.18296723384593072,,0.0,-0.07772557913442435,-0.17071580492222183,,0,0,True,1225,1225,calibration_rows_only,1
20260907,in_domain,mean_matching,frangieh_melanoma_control,50,0.7409830038690708,0.23002736617938283,0.6547386829171918,,0.7409830038690708,0.23323767727214262,0.663188115274273,,0.7409830038690708,0.23015307938768245,0.6550617350373672,,0.0,0.0032103110927597933,0.008449432357081177,,0.0,0.00012571320829962707,0.00032305212017536,,0,0,True,1225,1225,calibration_rows_only,1
20260907,in_domain,mean_matching,frangieh_melanoma_ifng,50,0.5728126434590203,0.2762874543482371,0.745844251266844,,0.5728126434590203,0.20757144174002554,0.607580136719667,,0.5728126434590203,0.19126233984457047,0.5735271044381131,,0.0,-0.06871601260821156,-0.1382641145471769,,0.0,-0.08502511450366662,-0.1723171468287309,,0,0,True,1225,1225,calibration_rows_only,1
20260907,in_domain,slim_string,frangieh_melanoma_coculture,50,0.9275724943870385,0.16144632745872683,0.48919384767735424,-0.026415638545200223,0.9275724943870385,0.2733337962322863,0.742604020298318,-0.026415638545200223,0.9244765553853174,0.24984839480568571,0.6944594459934416,-0.01478850561616089,0.0,0.11188746877355948,0.2534101726209637,0.0,-0.0030959390017211152,0.08840206734695888,0.20526559831608732,0.011627132929039333,1218,0,True,7,7,calibration_rows_only,1
20260907,in_domain,slim_string,frangieh_melanoma_control,50,0.7724437471354046,0.09496920060902189,0.32584219918625096,0.5745989372766871,0.7724437471354046,0.16299669077222081,0.5096751795573691,0.5745989372766871,0.7786131577614498,0.1565929963402101,0.4925302457769416,0.5677462043963258,0.0,0.06802749016319892,0.18383298037111812,0.0,0.0061694106260451465,0.0616237957311882,0.16668804659069064,-0.006852732880361256,1212,0,True,13,13,calibration_rows_only,1
20260907,in_domain,slim_string,frangieh_melanoma_ifng,50,0.7992852509543625,0.19578063270606733,0.5669697837545847,0.07929645091646913,0.7992852509543625,0.2490180951431925,0.6959859521145266,0.07929645091646913,0.796617407979612,0.23653823255484951,0.6680205902872474,0.05043285489056179,0.0,0.05323746243712518,0.1290161683599419,0.0,-0.002667842974750534,0.04075759984878219,0.10105080653266263,-0.028863596025907337,1201,0,True,24,24,calibration_rows_only,1
20260907,in_domain,strong_linear,frangieh_melanoma_coculture,50,0.8043318338766302,0.12685468061180824,0.40029454091001704,0.6131079420197536,0.8043318338766302,0.20969177711059214,0.6100920026815798,0.6131079420197536,0.8105406074629647,0.20119972321532045,0.5900614514074399,0.5675209229446855,0.0,0.0828370964987839,0.20979746177156278,0.0,0.006208773586334537,0.07434504260351221,0.1897669104974229,-0.045587019075068125,1205,0,True,20,20,calibration_rows_only,1
20260907,in_domain,strong_linear,frangieh_melanoma_control,50,0.7064006329548431,0.22914771766063943,0.6373630999174565,0.44180798222704787,0.7064006329548431,0.2010062319537037,0.5892142442393525,0.44180798222704787,0.7194763538179543,0.19259421179429714,0.5680150750992585,0.4592303737154216,0.0,-0.028141485706935726,-0.04814885567810401,0.0,0.013075720863111151,-0.03655350586634229,-0.06934802481819802,0.017422391488373712,1215,0,True,10,10,calibration_rows_only,1
20260907,in_domain,strong_linear,frangieh_melanoma_ifng,50,0.6851443237403818,0.27110499656678844,0.815875418144702,0.3685133207696127,0.6851443237403818,0.23552977370767494,0.6668274885158888,0.3685133207696127,0.6640608100019197,0.2478134997847782,0.6950909520690126,0.3994414141973207,0.0,-0.03557522285911349,-0.1490479296288132,0.0,-0.021083513738462067,-0.02329149678201023,-0.12078446607568938,0.030928093427708025,1218,0,True,7,7,calibration_rows_only,1
20260917,in_domain,mean_matching,frangieh_melanoma_coculture,50,0.7591740820487205,0.2903808377036292,0.7926854136077952,,0.7591740820487205,0.24926258138236362,0.691877007898278,,0.7591740820487205,0.258421556122449,0.7119016461513019,,0.0,-0.04111825632126559,-0.10080840570951721,,0.0,-0.03195928158118022,-0.0807837674564933,,0,0,True,1225,1225,calibration_rows_only,1
20260917,in_domain,mean_matching,frangieh_melanoma_control,50,0.6448046994366615,0.19245827901561366,0.5732103444220743,,0.6448046994366615,0.19557281697448672,0.5822541148561658,,0.6448046994366615,0.19266620498614956,0.5737309494062126,,0.0,0.003114537958873065,0.009043770434091547,,0.0,0.00020792597053589934,0.0005206049841383065,,0,0,True,1225,1225,calibration_rows_only,1
20260917,in_domain,mean_matching,frangieh_melanoma_ifng,50,0.6240614607121553,0.25792922608444707,0.7090133855824261,,0.6240614607121553,0.21918250690111726,0.6307590563925288,,0.6240614607121553,0.21922360552886974,0.6308449756857607,,0.0,-0.03874671918332981,-0.07825432918989728,,0.0,-0.03870562055557733,-0.0781684098966654,,0,0,True,1225,1225,calibration_rows_only,1
20260917,in_domain,slim_string,frangieh_melanoma_coculture,50,0.8709716333063697,0.21966324672352194,0.6333756683295213,0.1738295122041303,0.8709716333063697,0.29126251178470874,0.8092723114414061,0.1738295122041303,0.872225478792774,0.29280719678840206,0.8408419593280949,0.16864955427749317,0.0,0.0715992650611868,0.1758966431118848,0.0,0.0012538454864042814,0.07314395006488011,0.2074662909985736,-0.005179957926637113,1208,0,True,17,17,calibration_rows_only,1
20260917,in_domain,slim_string,frangieh_melanoma_control,50,0.7961023396411635,0.2474011583357383,0.6872842091605379,0.19802598863139464,0.7961023396411635,0.2932691432267852,0.7861609539133247,0.19802598863139464,0.7923485678416877,0.29576256870044804,0.7962185200439457,0.22293616056532573,0.0,0.0458679848910469,0.09887674475278685,0.0,-0.00375377179947578,0.04836141036470973,0.10893431088340777,0.02491017193393108,1217,0,True,8,8,calibration_rows_only,1
20260917,in_domain,slim_string,frangieh_melanoma_ifng,50,0.7460757059460592,0.21516544099354157,0.6168448257400708,0.37792261347242034,0.7460757059460592,0.2461131718992744,0.6914126283416293,0.37792261347242034,0.7411521301616344,0.24489350501846335,0.6955738350132005,0.40768615169406003,0.0,0.03094773090573283,0.07456780260155849,0.0,-0.004923575784424816,0.029728064024921785,0.07872900927312965,0.029763538221639685,1192,0,True,33,33,calibration_rows_only,1
20260917,in_domain,strong_linear,frangieh_melanoma_coculture,50,0.8125658514501356,0.15956811193264936,0.4693905042693573,0.3203631883779587,0.8125658514501356,0.20665734892786505,0.6006763038991256,0.3203631883779587,0.7984466611897487,0.18874784514954804,0.5564915201918343,0.33692370975004177,0.0,0.047089236995215694,0.13128579962976833,0.0,-0.014119190260386882,0.02917973321689868,0.08710101592247704,0.01656052137208308,1213,0,True,12,12,calibration_rows_only,1
20260917,in_domain,strong_linear,frangieh_melanoma_control,50,0.6771560918747894,0.23162107295325857,0.6538872115900978,0.4643723594398686,0.6771560918747894,0.20584807621238216,0.5968622357965588,0.4643723594398686,0.6821537711468991,0.1991476766343797,0.5837914361959498,0.46526924501372835,0.0,-0.025772996740876408,-0.057024975793538935,0.0,0.004997679272109701,-0.032473396318878855,-0.07009577539414802,0.0008968855738597514,1215,0,True,10,10,calibration_rows_only,1
20260917,in_domain,strong_linear,frangieh_melanoma_ifng,50,0.6883352055885074,0.1986645304461185,0.5786472571117666,0.4937548501469418,0.6883352055885074,0.19318924721858585,0.5722693942109764,0.4937548501469418,0.6720814894914767,0.19885719348772646,0.5850993050520265,0.4893570165781551,0.0,-0.005475283227532657,-0.006377862900790121,0.0,-0.016253716097030635,0.0001926630416079489,0.006452047940259886,-0.004397833568786702,1212,0,True,13,13,calibration_rows_only,1
20260927,in_domain,mean_matching,frangieh_melanoma_coculture,50,0.7570173782865255,0.29691110469802673,0.8049740932606149,,0.7570173782865255,0.2540630484429236,0.7016676777463735,,0.7570173782865255,0.2511149584487535,0.6955014817471913,,0.0,-0.04284805625510313,-0.10330641551424136,,0.0,-0.04579614624927325,-0.10947261151342358,,0,0,True,1225,1225,calibration_rows_only,1
20260927,in_domain,mean_matching,frangieh_melanoma_control,50,0.6103805217207366,0.20820587327966245,0.6088833421457415,,0.6103805217207366,0.17478555765066195,0.5373016067925018,,0.6103805217207366,0.19785274654079316,0.5874348888837405,,0.0,-0.0334203156290005,-0.07158173535323964,,0.0,-0.01035312673886929,-0.021448453262000955,,0,0,True,1225,1225,calibration_rows_only,1
20260927,in_domain,mean_matching,frangieh_melanoma_ifng,50,0.6293431759370928,0.2862539183393208,0.7663777466736262,,0.6293431759370928,0.23676420794629788,0.6666183656482945,,0.6293431759370928,0.22350214159737966,0.6395358738197662,,0.0,-0.04948971039302291,-0.09975938102533177,,0.0,-0.06275177674194113,-0.12684187285386006,,0,0,True,1225,1225,calibration_rows_only,1
20260927,in_domain,slim_string,frangieh_melanoma_coculture,50,0.8235863679510086,0.12989566022151677,0.4232118171510297,0.34068016338090523,0.8235863679510086,0.19444724357171167,0.5863736884705352,0.34068016338090523,0.8242790960085656,0.19126589640262737,0.5846847685630686,0.336953477046267,0.0,0.0645515833501949,0.1631618713195055,0.0,0.000692728057557046,0.06137023618111059,0.16147295141203893,-0.0037266863346382406,1185,0,True,40,40,calibration_rows_only,1
20260927,in_domain,slim_string,frangieh_melanoma_control,50,0.777763491568533,0.17277756769397645,0.5131260206321459,0.5029072302251023,0.777763491568533,0.22434659284359704,0.6365636934535575,0.5029072302251023,0.7789660539011587,0.2033791134993023,0.5838112714125245,0.47916783256170975,0.0,0.051569025149620584,0.1234376728214116,0.0,0.0012025623326257229,0.03060154580532584,0.07068525078037868,-0.02373939766339256,1208,0,True,17,17,calibration_rows_only,1
20260927,in_domain,slim_string,frangieh_melanoma_ifng,50,0.8133598406308081,0.2578345888604723,0.7237562809694404,0.1191190992357131,0.8133598406308081,0.29354567544256627,0.792888386148936,0.1191190992357131,0.8087699571559235,0.2738499160812561,0.7452697500659724,0.15229464629422643,0.0,0.03571108658209399,0.06913210517949553,0.0,-0.004589883474884648,0.016015327220783804,0.021513469096531956,0.03317554705851333,1215,0,True,10,10,calibration_rows_only,1
20260927,in_domain,strong_linear,frangieh_melanoma_coculture,50,0.7995658701012244,0.1048007244574033,0.3416689786976035,0.4302776963339203,0.7995658701012244,0.14354238481918963,0.4659064854190097,0.4302776963339203,0.8012364230720621,0.12974250605981597,0.43266918712027097,0.5578527805464598,0.0,0.038741660361786334,0.12423750672140621,0.0,0.0016705529708377354,0.02494178160241267,0.09100020842266748,0.1275750842125395,1201,0,True,24,24,calibration_rows_only,1
20260927,in_domain,strong_linear,frangieh_melanoma_control,50,0.6590423769274821,0.2581441749843267,0.7417936759609439,0.5107108696744843,0.6590423769274821,0.19864789478643977,0.5741013138561044,0.5107108696744843,0.6567040798687092,0.19635571084388792,0.5634430755316318,0.5286447137043551,0.0,-0.059496280197886914,-0.1676923621048395,0.0,-0.0023382970587729757,-0.06178846414043876,-0.17835060042931217,0.01793384402987075,1216,0,True,9,9,calibration_rows_only,1
