baseline,source_environment_id,target_environment_id,split_seed_count,transfer_gain_mean,transfer_gain_std,transfer_gain_median,negative_transfer_rate
raw_scalar_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,-0.02226059196609168,0.05761166775137055,-0.009338514794811,0.6
raw_scalar_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,-0.02382986715968912,0.013436912446954876,-0.0156671423485095,1.0
raw_scalar_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.022483306145722783,0.017197669010456103,0.0225399968372125,0.2
raw_scalar_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.01433855040718266,0.039596509923188854,0.0235132935603774,0.2
raw_scalar_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,env__v~xucao2023__v~hek293__v~rna__v~baseline,5,-0.023531002393727123,0.04660524851577657,0.0044594612365512,0.4
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,5,-0.01383436920043028,0.022766134177611728,-0.0122947021340151,0.8
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,5,-0.0078864688412549,0.01657528521098016,-0.0115969106400899,0.6
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,-0.003822585532714481,0.021925567109758213,0.0046962827735393,0.4
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,-0.007821996746609942,0.05240208559109455,-0.0271766502331057,0.8
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.02427610972668702,0.014132685410685254,0.0259283168685517,0.0
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.011554965723369939,0.03284265265356201,0.0180035868390652,0.4
raw_scalar_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~xucao2023__v~hek293__v~rna__v~baseline,5,-0.01591751561303724,0.01693789980018839,-0.0198630610721602,0.8
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,5,-0.0176489194371379,0.02052998864533895,-0.0171061055715606,0.6
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,5,-0.01364400251536752,0.025769430183570648,-0.0117427990194869,0.6
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,0.0020911416269728403,0.019563775091707918,0.0087308461682406,0.4
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,-0.0045981526668977405,0.033468333659574453,0.0117390087901128,0.4
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,-0.01716876725664574,0.018989316971176118,-0.0245476557696455,0.6
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.026422423036161158,0.013998765918899014,0.0214640795418313,0.0
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~xucao2023__v~hek293__v~rna__v~baseline,5,0.013438948693816921,0.00874932624403208,0.0135420755478989,0.0
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,5,0.0025941444119413595,0.011459789651859396,0.0012143689852338,0.4
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,5,0.003598163220373621,0.011711872127537486,0.0014974609026842,0.2
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,0.0189341169659184,0.01394034925853002,0.0239876589145289,0.0
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,5,0.00548356079182374,0.010434481042308834,-0.0006176400869037,0.6
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,5,-0.01632958649499356,0.027530200141927114,-0.0176294777676686,0.8
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,5,0.03577333147734324,0.012255467547159227,0.035913014827608,0.0
raw_scalar_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~xucao2023__v~hek293__v~rna__v~baseline,5,0.0137262685360756,0.0075473078360906555,0.013166035237304,0.0
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,5,-0.01980971132333694,0.01970969403121074,-0.0164598823113043,0.8
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,5,-0.01664955366400768,0.012778736436101626,-0.0170984510969248,0.8
raw_scalar_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,5,-0.012040997307965259,0.018477710106267434,-0.0143003103353385,0.8
