dataset,evidence_tier,source_environment_id,left_target_environment_id,right_target_environment_id,predictor,regime,metric,cell_budget,cell_budget_label,label_universe,n,observed_D,observed_D_ci_low,observed_D_ci_high,measurement_identifiable,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable,joint_identifiable_ci_low,joint_identifiable_ci_high,stable_fraction_both,stable_inversion_fraction,top_k_retention,normalized_regret,excess_regret,checksums,provenance,status
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,delta_cosine,20,20,fixed matched universe at cell budget,237.0,0.4580967365133853,0.4485052385038977,0.4693819876516724,0.0323547641183341,0.0179939033111635,0.0481224820615509,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,delta_cosine,40,40,fixed matched universe at cell budget,225.0,0.4451626984126983,0.4346819444444443,0.456206746031746,0.0507076719576719,0.0373270171957672,0.0655834656084655,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,delta_cosine,80,80,fixed matched universe at cell budget,209.0,0.4262621150779045,0.4124551818795238,0.4396010458839405,0.089090295669243,0.076513234572445,0.1025579300085878,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,delta_cosine,1000000000,full,fixed matched universe at cell budget,243.0,0.360403580968883,0.3575406107862247,0.3627539527831924,0.1414049527109955,0.137495126705653,0.1451631651144321,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,canonical_fullsize_claim_lock,systema_centroid_accuracy,full,full,canonical matched perturbation universe,,0.0969033871486805,0.0826872362869198,0.1140239487234499,0.0255232201601945,0.0153212829864836,0.0364288332260602,0.0219503548952299,0.0117014857326753,0.0330778892226274,0.9291997425445184,0.0387516354960363,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,10,10,fixed matched universe at cell budget,243.0,0.4455681959890712,0.4432547840923261,0.4480362689748211,0.0069162443741568,0.0040656707365461,0.0096660063032116,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,160,160,fixed matched universe at cell budget,186.0,0.2968797830088153,0.2938988908263102,0.2998282960379734,0.0392899350963866,0.034739731667151,0.0442030901869611,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,20,20,fixed matched universe at cell budget,237.0,0.3992258456697418,0.3957303362416268,0.4026172107797564,0.0083917375861164,0.0020992306133638,0.0146974153138334,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,40,40,fixed matched universe at cell budget,225.0,0.3574047619047619,0.3532700066137565,0.3614897321428571,0.005443783068783,0.0010232804232804,0.0095453373015873,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,80,80,fixed matched universe at cell budget,209.0,0.3316161360569254,0.3273861144338117,0.3363104987118144,0.0237006962335909,0.0209156085142927,0.0263176105692553,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,source_frozen_ensemble,measurement_depth,systema_centroid_accuracy,1000000000,full,fixed matched universe at cell budget,243.0,0.1339668615984405,0.1325463865424878,0.1353893220706086,0.0331871345029239,0.0307807198036242,0.0354777633383871,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,canonical_fullsize_claim_lock,absolute_effect_rank_agreement,full,full,canonical matched perturbation universe,,0.2847871134587873,0.2570127654891603,0.3129021312497707,0.058339569348153,0.0332269542569971,0.0834823557463042,-0.0450684815303914,-0.0835800227431128,-0.0106865118667693,0.7559150434686915,0.1202018731499005,,,,aa33460ca8676e29ab32822c2ff04e01191579abc860952c5d91eb442cbb74ee,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,10,10,fixed matched universe at cell budget,243.0,0.2752009432144112,0.2716290287839109,0.278534361573082,0.0016642292736568,-0.0016243523903456,0.0048554852679431,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,160,160,fixed matched universe at cell budget,139.0,0.2952750842804017,0.2928710944288047,0.2978435512459598,0.0328346018837104,0.0285110172731379,0.0374693288847183,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,20,20,fixed matched universe at cell budget,234.0,0.2802789088196813,0.2770753701869581,0.2834806133303987,0.0045296699803137,0.0026818837655747,0.0065051722240563,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,40,40,fixed matched universe at cell budget,223.0,0.2802798314009075,0.2782128765536837,0.282588103798866,0.00931536918084,0.0078946323004619,0.0107876149692293,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
FrangiehIzar2021_RNA,2,frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,source_frozen_ensemble,measurement_depth,absolute_effect_rank_agreement,80,80,fixed matched universe at cell budget,207.0,0.2901138157997592,0.286738270562669,0.2935656160592843,0.0235417350655847,0.0196505010709316,0.0274228851054515,,,,0.0,,,,,e9e6cabf345321ca704edf6a52870bd53216306ee5d4fa98aca39e6423a20d59,artifacts/manifests/reliability_transport_measurement_depth_summary.csv,available
