split_seed,scenario,u_only_aurc,ptl_aurc,delta_aurc_ptl_minus_u_only,improved
20260907,in_domain,0.6528925299548157,0.6223386033475309,-0.030553926607284843,1
20260917,in_domain,0.6338681393182357,0.6112770916494044,-0.022591047668831354,1
20260927,in_domain,0.6279409148344324,0.6182489636190345,-0.009691951215397898,1
20261007,in_domain,0.6441076362537904,0.6312067706656083,-0.012900865588182153,1
20261017,in_domain,0.6537249470993781,0.6265788119762121,-0.027146135123165993,1
20260907,leave_environment_out,0.6689641300479952,0.6496631843216537,-0.019300945726341445,1
20260917,leave_environment_out,0.6504690340676453,0.633461156756288,-0.017007877311357333,1
20260927,leave_environment_out,0.635040199812729,0.6307057587196431,-0.0043344410930858945,1
20261007,leave_environment_out,0.6500546939450471,0.6444527345180091,-0.005601959427038006,1
20261017,leave_environment_out,0.6500378820993498,0.6391982459157284,-0.010839636183621382,1
20260907,leave_predictor_out,0.671876688810766,0.6469733843212151,-0.024903304489550915,1
20260917,leave_predictor_out,0.6449953488152493,0.6342890958100258,-0.010706253005223543,1
20260927,leave_predictor_out,0.6514186249663052,0.640369621309452,-0.01104900365685324,1
20261007,leave_predictor_out,0.653839716170381,0.6431347257327479,-0.010704990437633066,1
20261017,leave_predictor_out,0.662876041796737,0.6504566616361871,-0.012419380160549887,1
