source_environment_id,target_environment_id,source_target_orientation,left_target_environment_id,right_target_environment_id,metric,split_seed,cell_budget,cell_budget_label,cell_budget_order,universe_mode,decision_budget_fraction,k,n_items,retention,selected_target_risk,oracle_target_risk,random_target_risk,regret,normalized_regret,boundary_inversion,boundary_inversion_lower_bound,boundary_bound_holds,measurement_floor_regret,joint_floor_regret,excess_regret,joint_excess_regret,measurement_floor_status,joint_floor_status
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260910,10,10,1,matched_fixed,0.2,27,139,0.41666666666666663,0.726583065283402,0.7146996383148643,0.7412806117907269,0.011883426968537725,0.4434807245197607,0.20940806878306878,0.08258928571428571,True,0.011741992836337534,0.013909911481314189,0.00014143413220019108,-0.002026484512776464,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260910,10,10,1,matched_fixed,0.5,69,139,0.7173913043478262,0.7320235514534817,0.7264791237406516,0.7412806117907269,0.005544427712830147,0.3727563797081855,0.20434782608695654,0.07898550724637682,True,0.005475604399927447,0.00912721802426338,6.882331290269939e-05,-0.003582790311433234,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260911,10,10,1,matched_fixed,0.05,6,139,0.08333333333333333,0.740193613579654,0.717971524810272,0.7583909036055154,0.022222088769381865,0.545971441514456,0.18139097744360902,0.03884711779448621,True,0.0192993030073233,0.02113114731779907,0.002922785762058566,0.0010909414515827935,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260911,10,10,1,matched_fixed,0.1,13,139,0.3269230769230769,0.7402848703702424,0.724450819802034,0.7583909036055154,0.015834050568208496,0.4647351313530511,0.18666056166056166,0.04807692307692307,True,0.014418286069681041,0.015113543827951511,0.0014157644985274553,0.0007205067402569851,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260911,10,10,1,matched_fixed,0.2,27,139,0.5925925925925926,0.7412261033548795,0.7316778423915911,0.7583909036055154,0.00954826096328848,0.35714077824693047,0.16749338624338622,0.04034391534391534,True,0.008492148518931042,0.013206268875075125,0.0010561124443574377,-0.0036580079117866458,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260911,10,10,1,matched_fixed,0.5,69,139,0.7318840579710144,0.7488036906744451,0.7441932782194233,0.7583909036055154,0.004610412455021834,0.32384588874198383,0.18592132505175984,0.07173913043478261,True,0.004985749995456923,0.007584113361311688,-0.00037533754043508893,-0.002973700906289854,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260912,10,10,1,matched_fixed,0.05,6,139,0.20833333333333331,0.7402628173966233,0.7181807618952478,0.7553014624528,0.022082055501375458,0.5974070367964797,0.243734335839599,0.02850877192982456,True,0.009200648562996294,0.02183774211378722,0.012881406938379164,0.00024431338758823876,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260912,10,10,1,matched_fixed,0.1,13,139,0.1730769230769231,0.7419874841806035,0.7240721051048538,0.7553014624528,0.017915379075749777,0.5743807970701524,0.24923687423687424,0.07066544566544566,True,0.013469519525102835,0.01782333915434814,0.004445859550646941,9.203992140163764e-05,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260912,10,10,1,matched_fixed,0.2,27,139,0.4444444444444444,0.740705350034838,0.7302090519674052,0.7553014624528,0.010496298067432797,0.4204633421448386,0.2054398148148148,0.0765542328042328,True,0.0088267126209296,0.013849357917598216,0.0016695854465031967,-0.003353059850165419,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20260912,10,10,1,matched_fixed,0.5,69,139,0.7282608695652174,0.7466167510356605,0.741184142028416,0.7553014624528,0.0054326090072445155,0.3852446110428708,0.21009316770186337,0.07386128364389234,True,0.005677896312310915,0.008575369060031387,-0.0002452873050663995,-0.0031427600527868717,target_context_A_selects_target_context_B_evaluates_off_diagonal,target_context_pipeline_self_reproducibility_off_diagonal_member_pairs
