gears_seed,environment_id,environment_key,n_test_rows,difficulty_mean_risk,difficulty_risk_variance,ranking_spearman_confidence_vs_negative_risk,ranking_kendall_confidence_vs_negative_risk,ranking_normalized_aurc,evaluation_only,validation_native_scores
0,norman_k562,norman_k562,363,0.9081364355046605,0.061184315292878995,-0.5076905345411704,-0.35989800216286577,1.147621835275868,1,658
0,replogle_rpe1,replogle_rpe1,332,0.8832320030850888,0.013577554240999849,0.08717044180918791,0.06939536632099877,0.9914510981091186,1,658
1,norman_k562,norman_k562,360,0.8022249962772213,0.04244053881858355,-0.3047593923404707,-0.20014702324790748,1.066557323586316,1,618
1,replogle_rpe1,replogle_rpe1,233,0.8472929768448867,0.015041906880998674,-0.19724663426117345,-0.13245220601899943,1.0225785447214881,1,618
2,norman_k562,norman_k562,346,0.8123083442158084,0.04255559242330564,0.0556091100449319,0.023911026733261034,0.9796289207234066,1,624
2,replogle_rpe1,replogle_rpe1,418,0.8605551038554892,0.010296502696100216,-0.010564335689861409,-0.0062652211779034165,1.0061964416014495,1,624
