target,actual,predicted,count,feature_block_name
dataset_family,Tian,XuCao2023,19,U+P+S+N
dataset_family,XuCao2023,Frangieh,23,U+P+S+N
dataset_family,XuCao2023,Norman,0,U+P+S+N
dataset_family,XuCao2023,Replogle,11,U+P+S+N
dataset_family,XuCao2023,Tian,106,U+P+S+N
dataset_family,XuCao2023,XuCao2023,202,U+P+S+N
environment_key,frangieh_melanoma_coculture,frangieh_melanoma_coculture,450,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,norman_k562,0,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,replogle_rpe1,0,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,tian_neuron_crispra,0,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,tian_neuron_crispri,0,U+P+S+N+C
environment_key,frangieh_melanoma_coculture,xu_he293,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,frangieh_melanoma_control,450,U+P+S+N+C
environment_key,frangieh_melanoma_control,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,norman_k562,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,replogle_rpe1,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,tian_neuron_crispra,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,tian_neuron_crispri,0,U+P+S+N+C
environment_key,frangieh_melanoma_control,xu_he293,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,frangieh_melanoma_ifng,450,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,norman_k562,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,replogle_rpe1,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,tian_neuron_crispra,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,tian_neuron_crispri,0,U+P+S+N+C
environment_key,frangieh_melanoma_ifng,xu_he293,0,U+P+S+N+C
environment_key,norman_k562,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,norman_k562,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,norman_k562,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,norman_k562,norman_k562,432,U+P+S+N+C
environment_key,norman_k562,replogle_rpe1,0,U+P+S+N+C
environment_key,norman_k562,tian_neuron_crispra,0,U+P+S+N+C
environment_key,norman_k562,tian_neuron_crispri,0,U+P+S+N+C
environment_key,norman_k562,xu_he293,0,U+P+S+N+C
environment_key,replogle_rpe1,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,replogle_rpe1,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,replogle_rpe1,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,replogle_rpe1,norman_k562,0,U+P+S+N+C
environment_key,replogle_rpe1,replogle_rpe1,297,U+P+S+N+C
environment_key,replogle_rpe1,tian_neuron_crispra,0,U+P+S+N+C
environment_key,replogle_rpe1,tian_neuron_crispri,0,U+P+S+N+C
environment_key,replogle_rpe1,xu_he293,0,U+P+S+N+C
environment_key,tian_neuron_crispra,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,tian_neuron_crispra,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,tian_neuron_crispra,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,tian_neuron_crispra,norman_k562,0,U+P+S+N+C
environment_key,tian_neuron_crispra,replogle_rpe1,0,U+P+S+N+C
environment_key,tian_neuron_crispra,tian_neuron_crispra,180,U+P+S+N+C
environment_key,tian_neuron_crispra,tian_neuron_crispri,0,U+P+S+N+C
environment_key,tian_neuron_crispra,xu_he293,0,U+P+S+N+C
environment_key,tian_neuron_crispri,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,tian_neuron_crispri,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,tian_neuron_crispri,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,tian_neuron_crispri,norman_k562,0,U+P+S+N+C
environment_key,tian_neuron_crispri,replogle_rpe1,0,U+P+S+N+C
environment_key,tian_neuron_crispri,tian_neuron_crispra,0,U+P+S+N+C
environment_key,tian_neuron_crispri,tian_neuron_crispri,342,U+P+S+N+C
environment_key,tian_neuron_crispri,xu_he293,0,U+P+S+N+C
environment_key,xu_he293,frangieh_melanoma_coculture,0,U+P+S+N+C
environment_key,xu_he293,frangieh_melanoma_control,0,U+P+S+N+C
environment_key,xu_he293,frangieh_melanoma_ifng,0,U+P+S+N+C
environment_key,xu_he293,norman_k562,0,U+P+S+N+C
environment_key,xu_he293,replogle_rpe1,0,U+P+S+N+C
environment_key,xu_he293,tian_neuron_crispra,0,U+P+S+N+C
environment_key,xu_he293,tian_neuron_crispri,0,U+P+S+N+C
environment_key,xu_he293,xu_he293,342,U+P+S+N+C
dataset_family,Frangieh,Frangieh,1350,U+P+S+N+C
dataset_family,Frangieh,Norman,0,U+P+S+N+C
dataset_family,Frangieh,Replogle,0,U+P+S+N+C
dataset_family,Frangieh,Tian,0,U+P+S+N+C
dataset_family,Frangieh,XuCao2023,0,U+P+S+N+C
dataset_family,Norman,Frangieh,0,U+P+S+N+C
dataset_family,Norman,Norman,432,U+P+S+N+C
dataset_family,Norman,Replogle,0,U+P+S+N+C
dataset_family,Norman,Tian,0,U+P+S+N+C
dataset_family,Norman,XuCao2023,0,U+P+S+N+C
dataset_family,Replogle,Frangieh,0,U+P+S+N+C
