n,mean_fidelity,median_fidelity,mean_spearman,mean_rmse,mean_true_norm,mean_pred_norm,mean_top_deg_overlap_at_50,aggregation_level,environment_id,environment_key,dataset_id,predictor,seed,split_id,uncertainty_source,linear_embedding_source,linear_reference_release,slim_embedding_path,training_gene_space_policy,training_gene_count,evaluation_gene_space,evaluation_gene_count,uq_mean_gene_variance,uq_median_gene_variance,uq_top_effect_variance,uq_cosine_disagreement,uq_effect_norm_variance
48.0,0.5980052087416762,0.7513839776132991,0.5128950373387751,0.053744504543900284,4.574946880340576,4.622674465179443,0.27599538537369145,environment_predictor_ensemble_mean,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,slim_string,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,33694,ptl_context_v2_intersection,6897,0.0018552427268073973,0.0004535291063276735,0.021015187946272735,0.11701185858105585,2.424600121475417
48.0,0.5526936503038149,0.7855097960459774,0.4734388504600142,0.05145806102293825,4.574946880340576,4.1671366691589355,0.2743570383314588,environment_predictor_ensemble_mean,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,33694,ptl_context_v2_intersection,6897,0.0003547199151424704,8.883133204568185e-05,0.004020312315904557,0.030130372725122034,0.43848293719649334
93.0,0.22062859536350735,0.17917348035391986,0.18781037434077513,0.09723050674063126,7.8503570556640625,2.612974166870117,0.05721922978483397,environment_predictor_ensemble_mean,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,ReplogleWeissman2022_K562_essential,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,8563,ptl_context_v2_intersection,6897,3.48351521423528e-05,1.05762770713164e-05,0.0002569992504655342,0.009442810557804493,0.04663349957775567
93.0,0.22869384875660442,0.15962489932927273,0.19299062870261735,0.09888965261481848,7.8503570556640625,3.625762939453125,0.09674330187577569,environment_predictor_ensemble_mean,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,ReplogleWeissman2022_K562_essential,slim_string,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,8563,ptl_context_v2_intersection,6897,0.001075945026204989,0.0004694789487664186,0.006419113078346017,0.16016390636762498,0.7500590017955634
93.0,0.24265610231398232,0.19543544454859,0.2047708101094588,0.0956002109915342,7.8503570556640625,2.542017936706543,0.07732363760804416,environment_predictor_ensemble_mean,env__v~replogleweissman2022%5Fk562%5Fessential__v~k562__v~rna__v~essential%5Fgene%5Fscreen,replogle_k562_essential,ReplogleWeissman2022_K562_essential,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,8563,ptl_context_v2_intersection,6897,0.00017554778300836913,7.803008924872994e-05,0.0010909522506553587,0.05730683747376441,0.11499153265364463
33.0,0.14035710143524596,0.1333889719467962,0.13443331803077646,0.10492208262560324,7.809162616729736,1.0590105056762695,0.09478604994438916,environment_predictor_ensemble_mean,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,ReplogleWeissman2022_rpe1,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,8749,ptl_context_v2_intersection,6897,7.086315150890013e-05,1.0698167019929222e-05,0.0035316354193954567,0.11336014071871625,0.014222605079745633
33.0,0.08045055483990023,0.04829305168678119,0.05956846230219426,0.1311375268571354,7.809162616729736,6.6230387687683105,0.06618112833896181,environment_predictor_ensemble_mean,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,ReplogleWeissman2022_rpe1,slim_string,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,8749,ptl_context_v2_intersection,6897,0.011709848109055312,0.004861796349224482,0.08505000877262357,0.3401953053680945,10.387164594724862
33.0,0.17078390422083783,0.047524272029383044,0.12175184508031478,0.1053232473926584,7.809162616729736,2.5007972717285156,0.11089773182892788,environment_predictor_ensemble_mean,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,ReplogleWeissman2022_rpe1,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,8749,ptl_context_v2_intersection,6897,0.0010341074353877409,0.00046101822070598246,0.0085857859711043,0.2257869919539113,1.0125701130347728
20.0,0.49125659351626433,0.521825784732336,0.466400462580674,0.039192383196557504,3.508028507232666,2.2303736209869385,0.1088291264821641,environment_predictor_ensemble_mean,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,TianKampmann2021_CRISPRa,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,33538,ptl_context_v2_intersection,6897,2.7355954048258944e-05,9.279695992872009e-06,0.00026171884238287383,0.011099323365185598,0.024107439803165282
20.0,0.38455283828142856,0.3833183651839376,0.3657131102312436,0.04458606578892433,3.508028507232666,2.6098968982696533,0.05696263282803782,environment_predictor_ensemble_mean,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,TianKampmann2021_CRISPRa,slim_string,ensemble_mean,ptl_biological_instance_split_v1,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,33538,ptl_context_v2_intersection,6897,0.0005831686265582734,0.00019912869103912736,0.004131506636984942,0.14164248306655078,0.4210236507620457
