source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget,cell_budget_label,cell_budget_order,universe_mode,n_split_seeds,n_perturbations_mean,cross_disagreement,cross_disagreement_ci_low,cross_disagreement_ci_high,within_disagreement_left,within_disagreement_left_ci_low,within_disagreement_left_ci_high,within_disagreement_right,within_disagreement_right_ci_low,within_disagreement_right_ci_high,measurement_floor,measurement_floor_ci_low,measurement_floor_ci_high,identifiable_divergence,identifiable_divergence_ci_low,identifiable_divergence_ci_high,stable_pair_fraction,stable_pair_fraction_ci_low,stable_pair_fraction_ci_high
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,10,10,1,matched_fixed,30,186.0,0.28080428382847733,0.27729234051865104,0.28410795855503507,0.2707841098566905,0.2657615432655755,0.2758179117029923,0.283497085351924,0.2765542617478101,0.29083912022117664,0.27714059760430726,0.27251738322907676,0.28162403341133174,0.0036636862241700976,0.0007298135518901683,0.006443631916918209,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,20,20,2,matched_fixed,30,186.0,0.2863013002529131,0.28319138919995773,0.28951200050696013,0.2798797386902225,0.27406860358876484,0.28538754450447995,0.27753398557834047,0.2719772853341402,0.283114472743505,0.2787068621342815,0.27390810222110623,0.2837032319532319,0.007594438118631668,0.004942801709938809,0.010471412492077817,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,40,40,3,matched_fixed,30,186.0,0.27719233984354946,0.27352796999520784,0.2805902274808525,0.2711354968209807,0.26431521275170466,0.2775355712089583,0.279760873087486,0.27576720729240883,0.2837085554454506,0.2754481849542333,0.27207105271520593,0.27881286136578476,0.0017441548893161831,-0.0012110618622715348,0.004746189089435058,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,80,80,4,matched_fixed,30,186.0,0.2683486976732945,0.2658890023693451,0.2706406172792261,0.2560395652734362,0.25073772829619606,0.2608805680579875,0.26737145098032195,0.26080203965687837,0.27408710569597666,0.26170550812687904,0.25749384186228935,0.26577750859504884,0.006643189546415355,0.0032141198668416437,0.009716509744735554,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,160,160,5,matched_fixed,30,186.0,0.27438214078335044,0.2731006778279964,0.2757978202912678,0.24533154718638586,0.23860117026044445,0.2531352787743916,0.2625592768939543,0.25614858371914817,0.26865287400771265,0.25394541204017007,0.251309950167813,0.256821368147981,0.020436728743180352,0.01818399176614902,0.022756329579918282,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,1000000000,full,6,matched_fixed,30,186.0,0.2886908130541406,0.2861842105263158,0.2913037634408601,0.21518581399735895,0.21366723259762305,0.2166621863799283,0.23572910771552533,0.23115426334653835,0.24058290888511596,0.2254574608564421,0.2227998255046217,0.22804270420675343,0.06323335219769853,0.06008052725900773,0.06636330409356724,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,10,1,matched_fixed,30,186.0,0.4633485589231557,0.4573892172269188,0.46991513500686893,0.45251844854667433,0.4396354360991458,0.4649292043828334,0.4552892903094516,0.44280050314828534,0.46840668915164885,0.45390386942806304,0.4463432468815534,0.4620376435467162,0.009444689495092725,0.00065580049803841,0.017403221237394625,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,20,2,matched_fixed,30,186.0,0.44986937905284674,0.44180838167582115,0.4585858784099711,0.4157409160433353,0.40235844106610236,0.42925688465507,0.4417022724885628,0.42595405654679847,0.45741922138494717,0.428721594265949,0.4186115297486264,0.4388865966769192,0.021147784786897696,0.010699342771923422,0.03186478674029077,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,40,40,3,matched_fixed,30,186.0,0.4432514655296913,0.4337885815274927,0.45283817862245274,0.4215341364131687,0.41094685213233606,0.43176154598836036,0.3820180991350346,0.3712663069457425,0.3913261940419198,0.40177611777410166,0.39261797569962886,0.41063590245999515,0.0414753477555897,0.030636406137918237,0.05174046534782421,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,80,80,4,matched_fixed,30,186.0,0.4122413234913234,0.3994277867629682,0.4253286544884327,0.352710855452791,0.3416467875389247,0.3637850756620919,0.3100032106483719,0.29905529621961074,0.3209905399260238,0.33135703305058145,0.3234505254676626,0.3403051188283043,0.08088429044074204,0.06962714251474332,0.09256939601244034,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,160,160,5,matched_fixed,30,186.0,0.40126264267393297,0.3948436675145345,0.4079838311516739,0.3007005658618561,0.2919951508318443,0.30929687043094295,0.28082287410916434,0.27302829014623364,0.2884318502211648,0.2907617199855103,0.2846823363874775,0.29645062621070684,0.11050092268842265,0.10236520838032934,0.11916848500215431,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,1000000000,full,6,matched_fixed,30,186.0,0.35184634974533097,0.3494572957932466,0.35398108847387283,0.2236040369741558,0.22076895868704008,0.2263631861912846,0.2165440482927749,0.21318619128466323,0.22031338426711936,0.22007404263346536,0.2179398934163365,0.22236158272024145,0.13177230711186563,0.12863327674023767,0.1346803669119034,0.0,0.0,0.0
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,10,10,1,matched_fixed,30,186.0,0.48957579905160553,0.4859675931613935,0.4932061445685438,0.4887473219731285,0.4843653275487954,0.4930351806571565,0.49668398880092435,0.4920526893954314,0.5018150955227567,0.4927156553870263,0.48881028197459647,0.4966670608923633,-0.0031398563354208416,-0.007306903660482282,0.0011317320485667343,0.0,0.0,0.0
