aggregation_level,scenario,heldout_environment_id,heldout_predictor,environment_id,environment_key,predictor,information_set,method,n,aurc,optimal_aurc,excess_aurc,brier,mean_continuous_risk,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,log_loss,auroc,auprc
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U,u_only_rf,143.25,0.6418907262139295,0.5272804302245366,0.11461029598939287,0.18461951334316995,0.6826030114475956,0.6327051815796532,0.6661096456181603,0.288640873015873,0.35001795977011496,0.5470694970445195,0.6497044657570723,0.7160089825789275
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U+P,u_p_rf,143.25,0.6184647403562913,0.5272804302245366,0.09118431013175465,0.16943177276337595,0.6826030114475956,0.6190419922634463,0.6567005192353149,0.2666765873015873,0.32743483169129717,0.5082489928614228,0.7061511813300773,0.7606333500680827
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U+P+S,u_ps_rf,143.25,0.6164126362135915,0.5272804302245366,0.08913220598905493,0.17020543569129415,0.6826030114475956,0.6134020827808667,0.6557354588709471,0.26512896825396826,0.3285509031198686,0.5092519468408615,0.7071024692975261,0.7613835371631525
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U+P+S+N,u_psn_rf,143.25,0.6178449374884994,0.5272804302245366,0.09056450726396281,0.17070343635597754,0.6826030114475956,0.611218166415849,0.6546655486516235,0.25999007936507934,0.32806727216748766,0.5100340595115757,0.7104283436524356,0.7571789250068078
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U+P+S+N+C,ptl_rf,143.25,0.6142263624634754,0.5272804302245366,0.08694593223893872,0.14695642899762348,0.6826030114475956,0.6137741247268297,0.6534722825594392,0.2624900793650794,0.32750923645320196,0.4537140235793305,0.7146345085117126,0.7624015455698623
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U_scalar_best_validation,best_scalar_uq,143.25,0.6531177194356563,0.5272804302245366,0.12583728921111964,0.2239595961456206,0.6826030114475956,0.6473026057622159,0.665926440109401,0.32167658730158727,0.3423170669129721,0.6725047638781037,0.6328437757508905,0.6998025761040677
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U_scalar_isotonic,isotonic,143.25,0.6462547156129137,0.5272804302245366,0.11897428538837701,0.19647733923658992,0.6826030114475956,0.6382637191775902,0.6652901464869828,0.30584325396825396,0.3447174292318127,0.5966013564597769,0.6216100059276743,0.691449577522599
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U_scalar_platt,platt_logistic,143.25,0.6531177194356563,0.5272804302245366,0.12583728921111964,0.20063201430991973,0.6826030114475956,0.6473026057622159,0.665926440109401,0.32167658730158727,0.3423170669129721,0.5875662410485856,0.6328437757508905,0.6998025761040677
environment_macro,in_domain,,,environment_macro,environment_macro,identity_free_shared,U_scalar_raw,raw_normalized_uq,143.25,0.6557220371721232,0.5272804302245366,0.1284416069475866,0.2479020919933877,0.6826030114475956,0.6539774780321845,0.6690199628342677,0.3036706349206349,0.347338105500821,0.7870234463695929,0.6582825293031523,0.7031188329266176
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,U,u_only_rf,143.25,0.6562297694695597,0.5272804302245366,0.12894933924502305,0.25105876203042354,0.6826030114475956,0.6586060156140016,0.6707995683053386,0.34306547619047617,0.36857938218390807,0.705662501171883,0.5986530232760457,0.6371061613407599
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,U+P,u_p_rf,143.25,0.6426410555406946,0.5272804302245366,0.11536062531615802,0.27388786217091643,0.6826030114475956,0.6464570333525482,0.6667025321302502,0.3105654761904762,0.3509082512315271,0.7558285257610465,0.6400033413232802,0.6649552732345112
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,U+P+S,u_ps_rf,143.25,0.6434408997590351,0.5272804302245366,0.11616046953449846,0.26693791092288593,0.6826030114475956,0.6468847168435722,0.6659694344442221,0.30973214285714284,0.3493085488505747,0.7385502983735043,0.6451738173746792,0.6659152225231637
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,U+P+S+N,u_psn_rf,143.25,0.6424549003669785,0.5272804302245366,0.11517447014244189,0.2683437719509097,0.6826030114475956,0.6475648068479329,0.664349143607037,0.3112797619047619,0.34767292692939245,0.7405557579163519,0.6422694877000946,0.6626133296795931
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,U+P+S+N+C,ptl_rf,143.25,0.6413583032980251,0.5272804302245366,0.11407787307348852,0.22905792796564445,0.6826030114475956,0.6447030153385894,0.6641747662881068,0.302281746031746,0.3477088464696223,0.6492241722162817,0.6510059875421818,0.6719249022369578
environment_macro,leave_environment_out,,,environment_macro,environment_macro,identity_free_shared,U_scalar_best_validation,best_scalar_uq,143.25,0.6517664035167989,0.5272804302245366,0.12448597329226231,0.22273039666987968,0.6826030114475956,0.6504200104130076,0.667554839252412,0.33959325396825396,0.3571236145320197,0.7319736726483387,0.5959413769512496,0.6435011142284497
