source_environment_id,target_environment_id,transfer_id,unordered_context_pair_id,metric,cell_budget_label,cell_budget_order,current_flattened_null,seed_block_preserving_null,difference_seed_block_minus_current,current_source_null,current_target_null,seed_block_source_null,seed_block_target_null,seed_pairing
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,systema_centroid_accuracy,40,3,-0.008626148952066592,-0.0071113048532403505,0.001514844098826242,-0.008426370753400747,-0.008825927150732438,0.0018221447253705225,-0.016044754431851223,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,systema_centroid_accuracy,80,4,-0.007785788012706768,0.003497529787852358,0.011283317800559127,-0.007120243714237029,-0.008451332311176507,0.014590719752010076,-0.00759566017630536,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,systema_centroid_accuracy,160,5,-0.005987539263401287,0.0015145790952242463,0.007502118358625533,-0.0062502881079076755,-0.005724790418894898,-0.0017020246052504258,0.004731182795698919,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture<->frangieh_melanoma_ifng,systema_centroid_accuracy,full,6,-0.003910870826332458,0.0017315702799573793,0.005642441106289837,-0.0036733040047834398,-0.0041484376478814755,0.004367916303400179,-0.0009047757434854197,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,absolute_effect_rank_agreement,10,1,-0.005720469101979764,-0.0018506933583567991,0.0038697757436229646,-0.005543878740086383,-0.005897059463873144,0.005310534181350571,-0.00901192089806417,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,absolute_effect_rank_agreement,20,2,-0.005502396683352978,-0.002816876933236023,0.002685519750116955,-0.0053878576299379866,-0.0056169357367679695,-0.010732283738226807,0.0050985298717547605,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,absolute_effect_rank_agreement,40,3,-0.0056248933886374475,0.0035293504326973056,0.009154243821334753,-0.005640584983287789,-0.005609201793987106,-0.0005734542800542345,0.0076321551454488455,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,absolute_effect_rank_agreement,80,4,-0.005084779752409965,0.0011938275466583399,0.006278607299068305,-0.004799247059124295,-0.005370312445695635,0.0004205331387064396,0.0019671219546102403,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,absolute_effect_rank_agreement,160,5,-0.005348740497856622,-0.009319500921002333,-0.0039707604231457114,-0.004960437447143778,-0.005737043548569465,-0.007555694574774961,-0.011083307267229706,aligned index within sorted A/B 15-seed partitions
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_coculture<->frangieh_melanoma_control,absolute_effect_rank_agreement,full,6,-0.004675244312296267,-0.002338998366524171,0.0023362459457720963,-0.004261282628070406,-0.005089205996522128,-0.005327911583776457,0.0006499148507281154,aligned index within sorted A/B 15-seed partitions
