split_seed,comparison,left_environment_id,right_environment_id,predictor,method,perturbation_label,risk_left,risk_right,confidence_left,confidence_right,absolute_risk_change,response_program_shift,response_magnitude_change,matched_perturbation_control,risk_and_confidence_outcomes_used_for_evaluation_only,response_program_is_descriptive
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,ATP1B1,0.7889688157674324,0.4387147285519767,0.4172367709310066,0.6042256801684303,0.3502540872154557,0.7977316367592542,0.04628466560588944,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,CTSA,0.6988681183380439,0.5596271325761673,0.4172367709310066,0.6042256801684303,0.1392409857618766,0.7936334413547063,0.026346478524951693,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,DDX39A,0.8728932341033937,0.6027389947963497,0.4172367709310066,0.6042256801684303,0.27015423930704396,0.9001502336067448,0.02962315885126878,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,FBXO32,0.646977116455696,0.3898836418740183,0.4172367709310066,0.6042256801684303,0.2570934745816777,0.8783435174411528,0.13580192839002425,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,IFNGR2,0.6989651460835551,0.6827767105793101,0.4172367709310066,0.6042256801684303,0.01618843550424498,0.3061857577007481,0.09215978137293472,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,KLF4,0.7082785434283535,0.5777887444751808,0.4172367709310066,0.6042256801684303,0.1304897989531727,0.8660422269001232,0.07293683227037419,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,LY96,0.8359585806400025,0.5055307452156594,0.4172367709310066,0.6042256801684303,0.33042783542434306,0.931643082642147,0.009229639554466118,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,NGFR,0.7075943850920731,0.8521066755039934,0.4172367709310066,0.6042256801684303,0.14451229041192037,0.9659194968094653,0.021129971660171564,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,SCARB2,0.6487295946805947,0.5208343719131541,0.4172367709310066,0.6042256801684303,0.1278952227674406,0.7871463176317338,0.05243107301047326,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,SLC25A13,0.634290720197376,0.6769308364704801,0.4172367709310066,0.6042256801684303,0.042640116273104156,0.8772234728510425,0.04993811804138028,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,SPESP1,0.7084229238452466,0.6078069392329428,0.4172367709310066,0.6042256801684303,0.10061598461230381,0.8150765581152961,0.048481711613633,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,ptl_rf,STX7,0.7420485328595837,0.587463848638597,0.4172367709310066,0.6042256801684303,0.1545846842209867,0.9113496818118983,0.06640872330243253,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,ATP1B1,0.7889688157674324,0.4387147285519767,0.9242902208201892,0.6198738170347002,0.3502540872154557,0.7977316367592542,0.04628466560588944,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,CTSA,0.6988681183380439,0.5596271325761673,0.9242902208201892,0.6198738170347002,0.1392409857618766,0.7936334413547063,0.026346478524951693,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,DDX39A,0.8728932341033937,0.6027389947963497,0.9242902208201892,0.6198738170347002,0.27015423930704396,0.9001502336067448,0.02962315885126878,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,FBXO32,0.646977116455696,0.3898836418740183,0.9242902208201892,0.6198738170347002,0.2570934745816777,0.8783435174411528,0.13580192839002425,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,IFNGR2,0.6989651460835551,0.6827767105793101,0.9242902208201892,0.6198738170347002,0.01618843550424498,0.3061857577007481,0.09215978137293472,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,KLF4,0.7082785434283535,0.5777887444751808,0.9242902208201892,0.6198738170347002,0.1304897989531727,0.8660422269001232,0.07293683227037419,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,LY96,0.8359585806400025,0.5055307452156594,0.9242902208201892,0.6198738170347002,0.33042783542434306,0.931643082642147,0.009229639554466118,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,NGFR,0.7075943850920731,0.8521066755039934,0.9242902208201892,0.6198738170347002,0.14451229041192037,0.9659194968094653,0.021129971660171564,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,SCARB2,0.6487295946805947,0.5208343719131541,0.9242902208201892,0.6198738170347002,0.1278952227674406,0.7871463176317338,0.05243107301047326,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,SLC25A13,0.634290720197376,0.6769308364704801,0.9242902208201892,0.6198738170347002,0.042640116273104156,0.8772234728510425,0.04993811804138028,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,SPESP1,0.7084229238452466,0.6078069392329428,0.9242902208201892,0.6198738170347002,0.10061598461230381,0.8150765581152961,0.048481711613633,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,raw_normalized_uq,STX7,0.7420485328595837,0.587463848638597,0.9242902208201892,0.6198738170347002,0.1545846842209867,0.9113496818118983,0.06640872330243253,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,ATP1B1,0.7889688157674324,0.4387147285519767,0.4196810893782848,0.6115340812764661,0.3502540872154557,0.7977316367592542,0.04628466560588944,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,CTSA,0.6988681183380439,0.5596271325761673,0.4196810893782848,0.6115340812764661,0.1392409857618766,0.7936334413547063,0.026346478524951693,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,DDX39A,0.8728932341033937,0.6027389947963497,0.4196810893782848,0.6115340812764661,0.27015423930704396,0.9001502336067448,0.02962315885126878,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,u_only_rf,FBXO32,0.646977116455696,0.3898836418740183,0.4196810893782848,0.6115340812764661,0.2570934745816777,0.8783435174411528,0.13580192839002425,shared perturbation_label,1,1
