predictor_family,source_environment_id,transfer_id,left_target_environment_id,right_target_environment_id,target_environment_id,metric,d_adj_deterministic_profile,rank_displacement_profile,source_mean_risk,target_mean_risk,source_target_mean_risk_change,profile_surface
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_ifng->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control,delta_cosine,0.23147297894772642,0.1595415433799272,0.8444886140253721,0.8725220111507838,0.02803339712541164,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_coculture,frangieh_melanoma_ifng->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control,systema_centroid_accuracy,0.1282862292963303,0.08628371254633882,0.5003571064177125,0.4973131993334014,-0.0030439070843110705,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control,absolute_effect_rank_agreement,0.3177566914940652,0.2196714620957045,0.7144519040917124,0.7144519040917124,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control,delta_cosine,0.3179947624392069,0.22167806006189847,0.7197446990462301,0.7197446990462301,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_control,systema_centroid_accuracy,0.1522633744855967,0.1040199979593919,0.5018365472910928,0.5018365472910928,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_ifng,absolute_effect_rank_agreement,0.2849709213345577,0.20065979661939257,0.7144519040917124,0.7146893703247319,0.00023746623301945657,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_ifng,delta_cosine,0.30935618814406696,0.21705268169914632,0.7197446990462301,0.7877220267073729,0.06797732766114284,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_coculture->frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_ifng,systema_centroid_accuracy,0.10349284086657824,0.07295173961840629,0.5018365472910928,0.4989286807468626,-0.002907866544230253,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture,absolute_effect_rank_agreement,0.3177566914940652,0.2196714620957045,0.7144519040917124,0.7260132846158943,0.011561380524181875,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture,delta_cosine,0.3179947624392069,0.22167806006189847,0.7197446990462301,0.8797908943094598,0.16004619526322972,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_control->frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_coculture,systema_centroid_accuracy,0.1522633744855967,0.1040199979593919,0.5018365472910928,0.4998299493248988,-0.0020065979661940125,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_control->frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_ifng,absolute_effect_rank_agreement,0.27473387069346666,0.1907628473285039,0.7144519040917124,0.7146893703247319,0.00023746623301945657,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_control->frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_ifng,delta_cosine,0.25895316804407714,0.1820902628983437,0.7197446990462301,0.7877220267073729,0.06797732766114284,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_control->frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_ifng,systema_centroid_accuracy,0.12587150970989355,0.08317178519198723,0.5018365472910928,0.4989286807468626,-0.002907866544230253,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture,absolute_effect_rank_agreement,0.2849709213345577,0.20065979661939257,0.7144519040917124,0.7260132846158943,0.011561380524181875,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture,delta_cosine,0.30935618814406696,0.21705268169914632,0.7197446990462301,0.8797908943094598,0.16004619526322972,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,frangieh_melanoma_coculture,systema_centroid_accuracy,0.10349284086657824,0.07295173961840629,0.5018365472910928,0.4998299493248988,-0.0020065979661940125,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control,absolute_effect_rank_agreement,0.27473387069346666,0.1907628473285039,0.7144519040917124,0.7144519040917124,0.0,source_frozen_deterministic_full_depth
bilinear_ridge,frangieh_melanoma_control,frangieh_melanoma_ifng->frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,frangieh_melanoma_control,delta_cosine,0.25895316804407714,0.1820902628983437,0.7197446990462301,0.7197446990462301,0.0,source_frozen_deterministic_full_depth
