source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,model,status,n_labels,spearman,auroc_high_identifiable,mean_absolute_error,observed_positive_fraction,predicted_mean,outcome_not_used_as_feature
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,20,ridge_source_features,executed,237,0.026682159669274272,0.512533827090158,0.029776439182365794,0.569620253164557,0.008433608190093313,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,40,source_u_only,executed,225,-0.6857606405394018,0.18623577749683945,0.026117779984647982,0.5777777777777777,0.005433706294359409,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,40,ridge_source_features,executed,225,-0.2601949009692373,0.4233565107458912,0.026367379100140576,0.5777777777777777,0.0053696368017415765,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,80,source_u_only,executed,209,-0.19915873600084127,0.4152014652014652,0.028512727643027896,0.7655502392344498,0.02371139085996885,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,80,ridge_source_features,executed,209,-0.031688048793311954,0.5097069597069597,0.028744717395746803,0.7655502392344498,0.02372448856853681,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,160,source_u_only,executed,186,-0.10457878958827724,0.42421089143253554,0.03074101784877891,0.9086021505376344,0.039299399212569995,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,160,ridge_source_features,executed,186,-0.19171612530246304,0.37356919875130074,0.03112585354728595,0.9086021505376344,0.039382010693079984,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,full,source_u_only,executed,243,-0.03639474751345513,0.5018290204579325,0.028357189544474973,0.8106995884773662,0.033181059954989156,True
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,full,ridge_source_features,executed,243,0.12563139381238322,0.5781059477035633,0.027401368358319137,0.8106995884773662,0.03323009820415252,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,10,source_u_only,executed,243,-0.22387524522323515,0.41268120850833223,0.01728662108544296,0.48559670781893005,0.0016604915934598787,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,10,ridge_source_features,executed,243,-0.16281794597740945,0.4603712234114619,0.017439759370618018,0.48559670781893005,0.001643594811224749,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20,source_u_only,executed,234,-0.0023170830789951296,0.49448462268975096,0.01880321448276591,0.5598290598290598,0.004525571849546867,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,20,ridge_source_features,executed,234,-0.024086331481025562,0.48469574110599745,0.01894823236110004,0.5598290598290598,0.0044916945295956434,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,40,source_u_only,executed,223,-0.1282426417158723,0.4323519948519949,0.018438139245917456,0.6188340807174888,0.009316340065367051,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,40,ridge_source_features,executed,223,-0.12949249089532758,0.45358751608751613,0.018682168279016767,0.6188340807174888,0.009263693978290992,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,80,source_u_only,executed,207,-0.21345640637102528,0.4116878267363705,0.02432921291313186,0.7922705314009661,0.023538372548783566,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,80,ridge_source_features,executed,207,-0.019052863324372282,0.505134428678118,0.02449629307275112,0.7922705314009661,0.023360855831349076,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,160,source_u_only,executed,139,-0.01356628982528263,0.5331262939958592,0.0337334721789899,0.7913669064748201,0.03279558669000487,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,160,ridge_source_features,executed,139,0.14661513025604359,0.5935817805383022,0.033020134308341734,0.7913669064748201,0.032862699872557084,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,full,source_u_only,executed,243,-0.8629326757769996,0.07045115837962336,0.053185639359490125,0.831275720164609,0.05628475324807693,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,full,ridge_source_features,executed,243,0.00968793540949414,0.5064354423519848,0.05487796578318877,0.831275720164609,0.05598304710446225,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,10,source_u_only,executed,243,0.05066980451977968,0.5148353881587862,0.04167001304899302,0.6790123456790124,0.029289021365459706,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,10,ridge_source_features,executed,243,0.07178591679336835,0.5319739872645983,0.042092205582528006,0.6790123456790124,0.0292329921164158,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,20,source_u_only,executed,234,-0.23459044836088033,0.3810358682153554,0.038732280614160876,0.8547008547008547,0.04638518335166612,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,20,ridge_source_features,executed,234,-0.3472283294582629,0.3282927898312514,0.039522336966737445,0.8547008547008547,0.04626475953188292,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,40,source_u_only,executed,223,-0.26723492390532744,0.3819980694980695,0.042355017522436936,0.9013452914798207,0.06458065033561296,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,40,ridge_source_features,executed,223,-0.015047959554686012,0.5048262548262548,0.04248236063827283,0.9013452914798207,0.06448037332732391,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,80,source_u_only,executed,207,-0.02173981426079716,0.5000933532486931,0.053557360131616244,0.9758454106280193,0.10007504246311223,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,80,ridge_source_features,executed,207,-0.02385649841992945,0.48646377893950715,0.05426883179010613,0.9758454106280193,0.09994780422269081,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,160,source_u_only,executed,139,-0.18740623153362157,0.36391880695940343,0.06869557150158805,1.0,0.1398328002019715,True
frangieh_melanoma_coculture,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,160,ridge_source_features,executed,139,-0.007826560033646995,0.44366197183098594,0.06717717546071798,1.0,0.13990995709999585,True
