target_environment_id,selected_source_environment_id,selected_predicted_gain,selected_positive_transfer_probability,realized_gain_vs_target_excluded_u_only,oracle_gain,selection_regret,fallback_to_u_only,selected_source_positive,selected_source_negative_transfer,accepted_pair_count,accepted_pair_negative_transfer_count,split_seed
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.0006850545668096774,0.7949349071786449,-0.0110879806729651,-0.0110879806729651,0.0,0,0,1,1,1,20260927
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,u_only_fallback,,,0.0,0.0200067810470694,0.0200067810470694,1,0,0,0,0,20261007
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.00251925323933431,0.8011988933824307,0.0218002778697526,0.0275330550948345,0.005732777225081899,0,1,0,1,0,20261017
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.012450889868308853,0.6026386629212477,0.0231006143932339,0.0314115958656163,0.008310981472382403,0,1,0,4,0,20260907
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.014437686248191197,0.6136250630567331,0.0386573498380522,0.059557964010774,0.0209006141727218,0,1,0,4,1,20260917
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.001553140259755698,0.5753766975128151,-0.0120156856954221,0.0231744979169191,0.0231744979169191,0,0,1,3,2,20260927
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.009700406144088684,0.5745352863619226,0.0045762496770735,0.0045762496770735,0.0,0,1,0,1,0,20261007
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.007744731424372028,0.5733847602667056,0.0230849543139338,0.0249922985901082,0.0019073442761744011,0,1,0,4,2,20261017
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.02638843294179833,0.861007986207134,-0.0332809449738458,0.0055252564563339,0.0055252564563339,0,0,1,1,1,20260907
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.026683067258356438,0.8615521432174013,0.0082461065101138,0.0104115339147976,0.0021654274046837996,0,1,0,1,0,20260917
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.016398659123947796,0.8227149501634986,-0.0533921971163763,0.0052120633122213,0.0052120633122213,0,0,1,1,1,20260927
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.022209980854523817,0.8332960584144952,0.0120326746962015,0.0124617874586308,0.00042911276242930084,0,1,0,1,0,20261007
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.019747470174669317,0.8368662395104307,0.0091556496410094,0.0091556496410094,0.0,0,1,0,1,0,20261017
env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.012650750439345305,0.8210621781617206,0.0345167273845925,0.0738390860531774,0.039322358668584904,0,1,0,2,0,20260907
env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.013343822301100967,0.8229302660489386,0.0040034869101006,0.0302673694231103,0.0262638825130097,0,1,0,2,0,20260917
env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.004789672756006795,0.7889665750653033,-0.0360508150012899,0.0194015456191053,0.0194015456191053,0,0,1,2,1,20260927
env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.01237986199718567,0.8071140590675776,-0.0359654506784686,0.0097015474444727,0.0097015474444727,0,0,1,1,1,20261007
env__v~xucao2023__v~hek293__v~rna__v~baseline,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.0072606188311106525,0.7997148138201738,0.0007137036263163,0.0015802380329991,0.0008665344066828,0,1,0,2,0,20261017
