analysis_label,metric,ordering_cross_disagreement_macro,ordering_cross_disagreement_macro_ci_low,ordering_cross_disagreement_macro_ci_high,ordering_measurement_floor_macro,ordering_measurement_floor_macro_ci_low,ordering_measurement_floor_macro_ci_high,ordering_joint_floor_macro,ordering_joint_floor_macro_ci_low,ordering_joint_floor_macro_ci_high,ordering_delta_meas_id_macro,ordering_delta_meas_id_macro_ci_low,ordering_delta_meas_id_macro_ci_high,ordering_delta_joint_id_macro,ordering_delta_joint_id_macro_ci_low,ordering_delta_joint_id_macro_ci_high,rank_displacement_cross_macro,rank_displacement_cross_macro_ci_low,rank_displacement_cross_macro_ci_high,rank_displacement_measurement_floor_max_macro,rank_displacement_measurement_floor_max_macro_ci_low,rank_displacement_measurement_floor_max_macro_ci_high,rank_displacement_joint_floor_max_macro,rank_displacement_joint_floor_max_macro_ci_low,rank_displacement_joint_floor_max_macro_ci_high,rank_displacement_delta_meas_max_macro,rank_displacement_delta_meas_max_macro_ci_low,rank_displacement_delta_meas_max_macro_ci_high,rank_displacement_delta_joint_max_macro,rank_displacement_delta_joint_max_macro_ci_low,rank_displacement_delta_joint_max_macro_ci_high,n_rows_aggregated,bootstrap_draws,ci_method
primary_min20,absolute_effect_rank_agreement,0.4475953943269162,0.438567275613833,0.45717880106269726,0.3184798418599732,0.30611359617962386,0.33000080472534726,0.3833883938486794,0.37022632900391095,0.39561321939572025,0.12911555246694306,0.1160422587146007,0.14258196127661632,0.06420700047823678,0.049239941220561446,0.07924921424317875,0.2948672130751774,0.2887094792047474,0.30178493255251987,0.23191557965516368,0.22204695974763813,0.2426347340152806,0.2665425948598743,0.2548615441299884,0.27692766783696726,0.06295163342001375,0.05149820316326039,0.07334013757354613,0.02832461821530312,0.01655680153863487,0.03992022872593584,2,2000,synchronized within-draw macro of row bootstrap draws
primary_min20,delta_cosine,0.46398727729226014,0.4508451685439759,0.47655846272167307,0.2883410783549575,0.2780010564894202,0.299233533594984,0.3158344301739816,0.30632372433788346,0.32598648549999876,0.1756461989373027,0.1618985511494927,0.18869148209716022,0.1481528471182785,0.13376253216027367,0.16191597489026993,0.2980735833672467,0.2900625458406046,0.30601597293593696,0.18996906825450474,0.17869714966282008,0.20064706815563849,0.20261944337147733,0.194229751385852,0.21158114879141748,0.10810451511274202,0.09714691669483205,0.11968315089060101,0.09545413999576943,0.08507203154063518,0.10506890891888598,2,2000,synchronized within-draw macro of row bootstrap draws
primary_min20,systema_centroid_accuracy,0.5007693536733413,0.4808722030046145,0.5210596594632252,0.3624289107927465,0.34830578011224766,0.38094144530971574,0.3934351176680899,0.37368821721146567,0.4165137415475098,0.13834044288059488,0.11821148210865633,0.15779524798186376,0.1073342360052514,0.08077700830706484,0.1328443290429976,0.32822350490652535,0.31910254586359676,0.33793908545263496,0.24477860126088968,0.23296712581995765,0.25626781317036496,0.25484698193506555,0.2422126095863482,0.2702926469945807,0.08344490364563575,0.06878324952693643,0.10100734944163554,0.07337652297145983,0.05437337617921001,0.09181725520829741,2,2000,synchronized within-draw macro of row bootstrap draws
