environment_id,predictor,split_family,fold,n_predictions,n_biological_instances,reliable_rate
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,random_split,2,33,33,0.6666666666666666
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,random_split,3,37,37,0.5945945945945946
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,random_split,4,43,43,0.4186046511627907
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,unseen_perturbation_split,0,57,57,0.49122807017543857
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,unseen_perturbation_split,1,52,52,0.4230769230769231
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,unseen_perturbation_split,2,47,47,0.3617021276595745
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,unseen_perturbation_split,3,54,54,0.35185185185185186
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_global,unseen_perturbation_split,4,37,37,0.4594594594594595
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,0,646,646,0.3560371517027864
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,1,654,654,0.37003058103975534
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,2,649,649,0.3667180277349769
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,3,657,657,0.3561643835616438
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,dataset_heldout_split,4,652,652,0.36503067484662577
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,0,30,30,0.5333333333333333
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,1,38,38,0.5526315789473685
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,2,33,33,0.5757575757575758
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,3,37,37,0.6216216216216216
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,random_split,4,43,43,0.6046511627906976
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,unseen_perturbation_split,0,57,57,0.3508771929824561
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,unseen_perturbation_split,1,52,52,0.34615384615384615
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,unseen_perturbation_split,2,47,47,0.2978723404255319
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,unseen_perturbation_split,3,54,54,0.2037037037037037
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,mean_matching,unseen_perturbation_split,4,37,37,0.35135135135135137
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,0,646,646,0.14705882352941177
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,1,654,654,0.1529051987767584
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,2,649,649,0.15408320493066255
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,3,657,657,0.1659056316590563
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,dataset_heldout_split,4,652,652,0.1687116564417178
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,0,30,30,0.6333333333333333
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,1,38,38,0.6052631578947368
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,2,33,33,0.696969696969697
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,3,37,37,0.7027027027027027
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,random_split,4,43,43,0.6046511627906976
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,unseen_perturbation_split,0,57,57,0.3508771929824561
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,unseen_perturbation_split,1,52,52,0.40384615384615385
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,unseen_perturbation_split,2,47,47,0.2765957446808511
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,unseen_perturbation_split,3,54,54,0.3888888888888889
env__replogleweissman2022-k562-essential__k562__rna__essential-legacy-pilot,ridge,unseen_perturbation_split,4,37,37,0.40540540540540543
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,0,364,364,0.40934065934065933
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,1,353,353,0.43909348441926344
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,2,358,358,0.441340782122905
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,3,360,360,0.4361111111111111
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,dataset_heldout_split,4,362,362,0.39779005524861877
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,0,21,21,0.42857142857142855
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,1,20,20,0.6
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,2,24,24,0.6666666666666666
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,3,22,22,0.6363636363636364
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,random_split,4,25,25,0.44
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,unseen_perturbation_split,0,7,7,0.2857142857142857
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,unseen_perturbation_split,1,5,5,0.4
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,unseen_perturbation_split,2,11,11,0.6363636363636364
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,unseen_perturbation_split,3,4,4,0.75
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_global,unseen_perturbation_split,4,9,9,0.4444444444444444
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,0,364,364,0.16758241758241757
env__replogleweissman2022-rpe1__rpe1__rna__baseline,mean_matching,dataset_heldout_split,1,353,353,0.16147308781869688
