target,feature_block,n_rows,n_biological_instance_groups,grouped_cv_folds,accuracy,balanced_accuracy,target_outcome_free,explicit_id_free,deployment_safe,feature_block_name
environment_key,uq_mean_gene_variance+uq_median_gene_variance+uq_top_effect_variance+uq_cosine_disagreement+uq_effect_norm_variance+prediction_norm+prediction_sparsity+prediction_concentration+prediction_manifold_distance+exact_training_support_fraction+component_training_support_fraction+training_neighborhood_density+perturbation_seen_fraction+component_seen_fraction+combination_novelty+perturbation_novelty,2943,327,5,0.744138634046891,0.7395651692362218,1,1,1,U+P+S+N
dataset_family,uq_mean_gene_variance+uq_median_gene_variance+uq_top_effect_variance+uq_cosine_disagreement+uq_effect_norm_variance+prediction_norm+prediction_sparsity+prediction_concentration+prediction_manifold_distance+exact_training_support_fraction+component_training_support_fraction+training_neighborhood_density+perturbation_seen_fraction+component_seen_fraction+combination_novelty+perturbation_novelty,2943,327,5,0.8307849133537207,0.7713530831607056,1,1,1,U+P+S+N
environment_key,uq_mean_gene_variance+uq_median_gene_variance+uq_top_effect_variance+uq_cosine_disagreement+uq_effect_norm_variance+prediction_norm+prediction_sparsity+prediction_concentration+prediction_manifold_distance+exact_training_support_fraction+component_training_support_fraction+training_neighborhood_density+perturbation_seen_fraction+component_seen_fraction+combination_novelty+perturbation_novelty+cell_context+perturbation_modality+readout_modality+condition+platform,2943,327,5,1.0,1.0,1,1,1,U+P+S+N+C
dataset_family,uq_mean_gene_variance+uq_median_gene_variance+uq_top_effect_variance+uq_cosine_disagreement+uq_effect_norm_variance+prediction_norm+prediction_sparsity+prediction_concentration+prediction_manifold_distance+exact_training_support_fraction+component_training_support_fraction+training_neighborhood_density+perturbation_seen_fraction+component_seen_fraction+combination_novelty+perturbation_novelty+cell_context+perturbation_modality+readout_modality+condition+platform,2943,327,5,1.0,1.0,1,1,1,U+P+S+N+C
