dataset_id,predictor,method,n_total,strata_present,calibration_bins_fit_on,outcomes_used_for_bin_construction,used_in_ptl_features,evaluation_only,low_n,low_difficulty_mean_risk,low_difficulty_risk_variance,low_ranking_spearman_confidence_vs_negative_risk,low_ranking_kendall_confidence_vs_negative_risk,low_ranking_normalized_aurc,middle_n,middle_difficulty_mean_risk,middle_difficulty_risk_variance,middle_ranking_spearman_confidence_vs_negative_risk,middle_ranking_kendall_confidence_vs_negative_risk,middle_ranking_normalized_aurc,high_n,high_difficulty_mean_risk,high_difficulty_risk_variance,high_ranking_spearman_confidence_vs_negative_risk,high_ranking_kendall_confidence_vs_negative_risk,high_ranking_normalized_aurc,all_strata_conditional_contextual_grouping_loss,all_strata_conditional_between_environment_risk_variance,all_strata_conditional_within_environment_risk_variance,all_strata_conditional_global_risk_variance,all_strata_conditional_global_risk_mean,all_strata_conditional_risk_variance_reduction,all_strata_conditional_matched_confidence_same_environment_risk_gap,all_strata_conditional_matched_confidence_cross_environment_risk_gap,all_strata_conditional_matched_confidence_cross_minus_same_risk_gap,all_strata_conditional_confidence_bin_weighted_max_environment_risk_gap,semantic_status,semantic_additive_null_mse,semantic_interaction_mse,semantic_interaction_improvement,low_high_difficulty_delta,low_high_ranking_normalized_aurc_delta
NormanWeissman2019_filtered,mean_matching,ptl_rf,47,high|low|middle,calibration_rows_only,0,0,1,14,0.4693466899650694,0.07914455291091932,0.33169403288196625,0.19239442809755272,0.9672478918836185,16,0.2950909449177302,0.0772750788235719,0.5294117647058824,0.3666666666666667,0.6674571794718545,17,0.14532381661533342,0.036084536654950525,0.26960784313725494,0.1764705882352941,0.8244430395398699,0.08471604649059429,0.012668538972818857,0.06400190004382099,0.0708067019768538,0.2928258225671345,0.006804801933032817,0.2611427333683816,0.3125598616008604,0.05141712823247879,0.256661429084468,executed_descriptive_reproducibility_stratum_crossfit,0.0634134786490369,0.07052337957728923,-0.007109900928252344,-0.324022873349736,-0.14280485234374862
NormanWeissman2019_filtered,mean_matching,raw_normalized_uq,47,high|low|middle,calibration_rows_only,0,0,1,14,0.4693466899650694,0.07914455291091932,-0.12596502572101725,-0.10894095588038442,1.0982251097410005,16,0.2950909449177302,0.0772750788235719,0.2616442999724387,0.1880960312156116,0.7884079006992164,17,0.14532381661533342,0.036084536654950525,0.4220503901938074,0.32979494520436925,0.709213794572405,0.09448470019116786,0.013961202398921322,0.06850332001964368,0.07730569819157597,0.2928258225671345,0.008802378171932287,0.22493820304688208,0.29211284016418976,0.06717463711730767,0.2928180375483294,executed_descriptive_reproducibility_stratum_crossfit,0.06921435989846295,0.07564586738861144,-0.006431507490148494,-0.324022873349736,-0.38901131516859555
NormanWeissman2019_filtered,mean_matching,u_only_rf,47,high|low|middle,calibration_rows_only,0,0,1,14,0.4693466899650694,0.07914455291091932,-0.1671899432297138,-0.10894095588038442,1.1117913218377593,16,0.2950909449177302,0.0772750788235719,0.45,0.3666666666666667,0.7058620482288283,17,0.14532381661533342,0.036084536654950525,0.5318627450980392,0.3823529411764705,0.6389354150358428,0.09442089611254711,0.028039108489067117,0.04352948828930386,0.0666418686620177,0.2928258225671345,0.02311238037271384,0.15040891218282315,0.2812640261949021,0.13085511401207894,0.4846442422181533,executed_descriptive_reproducibility_stratum_crossfit,0.05760568789151873,0.06762602783819899,-0.010020339946680236,-0.324022873349736,-0.47285590680191647
NormanWeissman2019_filtered,slim_string,ptl_rf,47,high|low|middle,calibration_rows_only,0,0,1,14,0.6385114128412287,0.11878528964396416,-0.02857142857142857,0.01098901098901099,0.9124136797109159,16,0.3769137643106878,0.09226357396406662,0.5117647058823529,0.39999999999999997,0.8325811535849005,17,0.212689162401861,0.051571012502034594,0.6127450980392157,0.5147058823529411,0.6594791410689473,0.1101334511730054,0.01523255591338919,0.08856287319498095,0.09517625298291793,0.39543608020382637,0.006613379787936982,0.2849369773793758,0.3490661551052996,0.0641291777259238,0.30186451069170955,executed_descriptive_reproducibility_stratum_crossfit,0.09251064390055688,0.1022909887707804,-0.009780344870223466,-0.4258222504393677,-0.2529345386419686
NormanWeissman2019_filtered,slim_string,raw_normalized_uq,47,high|low|middle,calibration_rows_only,0,0,1,14,0.6385114128412287,0.11878528964396416,0.26402656240833466,0.22099784804393197,0.8342981346130098,16,0.3769137643106878,0.09226357396406662,0.058866829770526014,0.04184137043778616,1.1436841505457422,17,0.212689162401861,0.051571012502034594,0.7713060922451996,0.5830297996472295,0.539023216653573,0.1772083352268474,0.04317525057742736,0.06786216939076414,0.0976828867306025,0.3954360802038265,0.029820717339838362,0.24444703106594617,0.34412367788514,0.0996766468191938,0.40714990600756645,executed_descriptive_reproducibility_stratum_crossfit,0.09590597410446873,0.09722367298533355,-0.0013176988808648502,-0.4258222504393677,-0.29527491795943683
NormanWeissman2019_filtered,slim_string,u_only_rf,47,high|low|middle,calibration_rows_only,0,0,1,14,0.6385114128412287,0.11878528964396416,0.410989010989011,0.27472527472527475,0.7748306537996826,16,0.3769137643106878,0.09226357396406662,0.26176470588235295,0.16666666666666669,0.921119479677087,17,0.212689162401861,0.051571012502034594,0.17892156862745098,0.1176470588235294,0.8040354138561561,0.14623598876356433,0.032406905146755496,0.07591668439276615,0.09584628882148638,0.3954360802038265,0.01992960442872023,0.28591703632420734,0.38324141641404136,0.09732438008983402,0.40761311198718364,executed_descriptive_reproducibility_stratum_crossfit,0.09733896251398455,0.10968317671670554,-0.012344214202720983,-0.4258222504393677,0.029204760056473433
NormanWeissman2019_filtered,strong_linear,ptl_rf,47,high|low|middle,calibration_rows_only,0,0,1,14,0.5735857991557932,0.12427003720079371,-0.12967032967032965,-0.05494505494505495,0.9992360466967285,16,0.5524758761525933,0.3119770801984979,0.6676470588235294,0.5,0.5933994388611836,17,0.24032393087497694,0.10386268360241879,0.6715686274509804,0.45588235294117646,0.6599133176621329,0.08916365882146006,0.013459693826245055,0.16710689496933165,0.16683979844880573,0.4458579155637703,-0.00026709652052592237,0.43906006860434965,0.4892492349823659,0.05018916637801624,0.3288824503091717,executed_descriptive_reproducibility_stratum_crossfit,0.175746585987674,0.19011879513227783,-0.014372209144603751,-0.3332618682808163,-0.3393227290345956
NormanWeissman2019_filtered,strong_linear,raw_normalized_uq,47,high|low|middle,calibration_rows_only,0,0,1,14,0.5735857991557932,0.12427003720079371,0.3450549450549451,0.2527472527472528,0.8124497429373535,16,0.5524758761525933,0.3119770801984979,-0.09124358614431533,-0.05857791861290061,1.3214786334947966,17,0.24032393087497694,0.10386268360241879,0.3712371556034487,0.28361368116260277,1.3958829852549985,0.17644995969286809,0.0661259365801718,0.23958311446184716,0.19038535164301282,0.4458579155637703,-0.04919776281883434,0.3529126152890029,0.4524924117850881,0.09957979649608517,0.5952714342330875,executed_descriptive_reproducibility_stratum_crossfit,0.20602949619472677,0.221915165833412,-0.01588566963868521,-0.3332618682808163,0.583433242317645
NormanWeissman2019_filtered,strong_linear,u_only_rf,47,high|low|middle,calibration_rows_only,0,0,1,14,0.5735857991557932,0.12427003720079371,0.1076923076923077,0.07692307692307693,1.131506420225738,16,0.5524758761525933,0.3119770801984979,0.2823529411764706,0.19999999999999998,0.768837262729043,17,0.24032393087497694,0.10386268360241879,0.7745098039215688,0.6029411764705882,0.8445189823862534,0.1890075698643368,0.04175064039792653,0.1956516568118848,0.19949057140330742,0.4458579155637703,0.003838914591422632,0.39922472786011626,0.45616402613979495,0.056939298279678696,0.46273369826030625,executed_descriptive_reproducibility_stratum_crossfit,0.19364451944473984,0.21415464624509037,-0.020510126800350432,-0.3332618682808163,-0.28698743783948466
ReplogleWeissman2022_rpe1,mean_matching,ptl_rf,4,low|middle,calibration_rows_only,0,0,1,3,0.7909673382529244,0.041550295045415755,,,1.015009733477776,1,0.8664877265518167,,,,,0,,,,,,0.028320145612084596,0.0010693741966529002,0.041550295045415755,0.029126028959147704,0.8098474353276475,-0.012424266086268052,0.2653033907003246,0.1748577300370504,-0.0904456606632742,0.0755203882988923,insufficient_reproducibility_strata_for_crossfit,,,,,
