split_seed,comparison,left_environment_id,right_environment_id,predictor,n_shared_perturbations,n_comparable_risk_pairs,n_risk_inversions,risk_inversion_rate,confidence_tracking_rate,n_confidence_comparable_inversions,risk_rank_spearman,risk_rank_kendall,method,response_program_shift_mean,response_program_shift_median,response_magnitude_change_mean,response_magnitude_change_median,response_shift_risk_change_spearman,n_response_shift_observations,response_genes,matched_perturbation_control,risk_and_confidence_outcomes_used_for_evaluation_only,response_program_is_descriptive
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,12,66,33,0.5,0.0,0,-0.06993006993006995,0.0,ptl_rf,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,0.5174825174825175,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,12,66,33,0.5,0.0,0,-0.06993006993006995,0.0,raw_normalized_uq,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,0.5174825174825175,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,mean_matching,12,66,33,0.5,0.0,0,-0.06993006993006995,0.0,u_only_rf,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,0.5174825174825175,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,12,66,40,0.6060606060606061,0.125,40,-0.3076923076923077,-0.2121212121212121,ptl_rf,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,-0.17482517482517487,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,12,66,40,0.6060606060606061,0.075,38,-0.3076923076923077,-0.2121212121212121,raw_normalized_uq,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,-0.17482517482517487,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,slim_string,12,66,40,0.6060606060606061,0.225,40,-0.3076923076923077,-0.2121212121212121,u_only_rf,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,-0.17482517482517487,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,12,66,28,0.42424242424242425,0.17857142857142858,28,0.11188811188811189,0.1515151515151515,ptl_rf,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,0.3216783216783217,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,12,66,28,0.42424242424242425,0.10714285714285714,28,0.11188811188811189,0.1515151515151515,raw_normalized_uq,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,0.3216783216783217,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_coculture,frangieh_melanoma_ifng,strong_linear,12,66,28,0.42424242424242425,0.39285714285714285,28,0.11188811188811189,0.1515151515151515,u_only_rf,0.8192037853020261,0.8716328498755829,0.05423100684983332,0.04920991482750664,0.3216783216783217,12,8229,shared perturbation_label,1,1
20260907,frangieh_condition,frangieh_melanoma_control,frangieh_melanoma_coculture,mean_matching,9,36,11,0.3055555555555556,0.0,0,0.5333333333333333,0.3888888888888889,ptl_rf,0.8607238067447055,0.8405413308604556,0.08650564681870235,0.08597578121472671,-0.31666666666666665,9,8229,shared perturbation_label,1,1
