split_seed,predictor,method,environment_id,environment_key,n_test_rows,difficulty_mean_risk,difficulty_risk_variance,ranking_spearman_confidence_vs_negative_risk,ranking_kendall_confidence_vs_negative_risk,ranking_normalized_aurc,evaluation_only
20260927,strong_linear,u_only_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.3496551892925332,0.10613222877169204,0.041033434650455926,0.03900709219858157,0.9931606660291008,1
20260927,strong_linear,u_only_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8691240908540327,0.05127701737083602,-0.05849350560426554,-0.055721442922544905,0.9841503119285089,1
20260927,strong_linear,u_only_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5242985541105827,0.00596139912144712,-0.0015037593984962405,-0.021052631578947368,1.0075177283710801,1
20260927,strong_linear,u_only_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.5166358942441208,0.005579653575873132,0.14607725134040922,0.11806543385490756,0.9829207753772562,1
20260927,strong_linear,u_only_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.7119130597352781,0.01368470901000305,0.2734434839697997,0.1834992887624467,0.9649737861428925,1
20261007,mean_matching,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.775336959296516,0.02068569361836439,,,1.0024286636983957,1
20261007,mean_matching,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6459825760260859,0.02605213204559384,,,0.9685503354178014,1
20261007,mean_matching,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.6677749424403653,0.04403878974773811,,,0.8909948194589307,1
20261007,mean_matching,ptl_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.3173971389272282,0.0833960645856309,0.37921331162500727,0.2389367219114374,0.7788149637705467,1
20261007,mean_matching,ptl_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8663258892046369,0.04592347137041556,,,0.996340094676592,1
20261007,mean_matching,ptl_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5555723691098464,0.030658691948381528,,,1.0299099049417337,1
20261007,mean_matching,ptl_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.48768649927984364,0.003965290406849092,,,0.9954633196236263,1
20261007,mean_matching,ptl_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6145267893252679,0.012183207903826994,,,0.9848962435841444,1
20261007,mean_matching,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.775336959296516,0.02068569361836439,,,1.0024286636983957,1
20261007,mean_matching,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6459825760260859,0.02605213204559384,,,0.9685503354178014,1
20261007,mean_matching,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.6677749424403653,0.04403878974773811,,,0.8909948194589307,1
20261007,mean_matching,raw_normalized_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.3173971389272282,0.0833960645856309,-5.44234470981718e-05,-0.003627405115135897,1.0952243072394434,1
20261007,mean_matching,raw_normalized_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8663258892046369,0.04592347137041556,,,0.996340094676592,1
20261007,mean_matching,raw_normalized_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5555723691098464,0.030658691948381528,,,1.0299099049417337,1
20261007,mean_matching,raw_normalized_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.48768649927984364,0.003965290406849092,,,0.9954633196236263,1
20261007,mean_matching,raw_normalized_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6145267893252679,0.012183207903826994,,,0.9848962435841444,1
20261007,mean_matching,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.775336959296516,0.02068569361836439,,,1.0024286636983957,1
20261007,mean_matching,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6459825760260859,0.02605213204559384,,,0.9685503354178014,1
20261007,mean_matching,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.6677749424403653,0.04403878974773811,,,0.8909948194589307,1
20261007,mean_matching,u_only_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.3173971389272282,0.0833960645856309,0.05742104630183432,0.01077284357109812,1.1016556690098416,1
20261007,mean_matching,u_only_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8663258892046369,0.04592347137041556,,,0.996340094676592,1
20261007,mean_matching,u_only_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5555723691098464,0.030658691948381528,,,1.0299099049417337,1
20261007,mean_matching,u_only_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.48768649927984364,0.003965290406849092,,,0.9954633196236263,1
20261007,mean_matching,u_only_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6145267893252679,0.012183207903826994,,,0.9848962435841444,1
20261007,slim_string,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.9006228367316408,0.031190385668481774,0.36132600854894364,0.24508402550603553,0.9321473802474447,1
20261007,slim_string,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.8441258595121403,0.02461537891920251,0.5674878854362706,0.3975434772783105,0.8843529944096438,1
20261007,slim_string,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.852549706507337,0.02201919344109335,0.40758886862199517,0.288871574277929,0.9286886826261153,1
20261007,slim_string,ptl_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.4100686552626831,0.11969013077090422,0.6445940078158923,0.448581560283688,0.659574356731981,1
20261007,slim_string,ptl_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.9678944081990887,0.01573290818186344,0.29979946524064177,0.20833333333333334,0.9653865168845607,1
20261007,slim_string,ptl_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.6074173821780796,0.014463432064722892,-0.07228923860647363,-0.02652603880323044,1.0492934845494302,1
20261007,slim_string,ptl_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.6099402693065789,0.007270230782359573,0.65875143721734,0.5039147183837039,0.9269650942461152,1
20261007,slim_string,ptl_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.7595997777832268,0.00896348298425281,0.6078345552029762,0.46230440967283076,0.9341094901954242,1
20261007,slim_string,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.9006228367316408,0.031190385668481774,0.3938478147603449,0.27382898481565104,0.9360200265835656,1
20261007,slim_string,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.8441258595121403,0.02461537891920251,0.5596081182506029,0.40712877616703924,0.8802671255084694,1
20261007,slim_string,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.852549706507337,0.02201919344109335,0.45783195179138864,0.3292336802719562,0.9294022508428665,1
20261007,slim_string,raw_normalized_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.4100686552626831,0.11969013077090422,0.4734799350124445,0.3449620066327053,0.8166176516447335,1
20261007,slim_string,raw_normalized_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.9678944081990887,0.01573290818186344,0.12759570300215164,0.09433409094271916,0.9849685415904789,1
20261007,slim_string,raw_normalized_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.6074173821780796,0.014463432064722892,-0.20814574342693387,-0.17114501993622325,1.057864983351685,1
20261007,slim_string,raw_normalized_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.6099402693065789,0.007270230782359573,0.6043788209399398,0.451756905965954,0.9309302253900561,1
20261007,slim_string,raw_normalized_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.7595997777832268,0.00896348298425281,0.5871600233887733,0.43286111813056327,0.9352533682637411,1
20261007,slim_string,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.9006228367316408,0.031190385668481774,0.1009368360538932,0.05491849400971364,0.997240062519824,1
20261007,slim_string,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.8441258595121403,0.02461537891920251,0.460699430029818,0.32854832832918224,0.89540923535337,1
20261007,slim_string,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.852549706507337,0.02201919344109335,0.2943323812061733,0.20376493483060712,0.98172977136807,1
20261007,slim_string,u_only_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.4100686552626831,0.11969013077090422,0.6089882761615284,0.4095744680851064,0.6185511606534425,1
20261007,slim_string,u_only_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.9678944081990887,0.01573290818186344,0.3322192513368984,0.2196969696969697,0.9591189752636048,1
20261007,slim_string,u_only_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.6074173821780796,0.014463432064722892,-0.33433772855494054,-0.2069031026651974,1.0618820363615917,1
20261007,slim_string,u_only_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.6099402693065789,0.007270230782359573,0.2689719323389072,0.16797157279456798,0.9745251202704222,1
20261007,slim_string,u_only_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.7595997777832268,0.00896348298425281,0.25856220593062695,0.1721194879089616,0.9543751835654954,1
20261007,strong_linear,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.8488048937717206,0.015377511149866569,0.41407956985692485,0.2988975341055154,0.9425195910663645,1
20261007,strong_linear,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6934262296710122,0.020822408507772477,0.3308440412847845,0.2346691608831784,0.9703505082101931,1
20261007,strong_linear,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.7602705186635632,0.028820923223312277,0.5231818292463407,0.40669664476652095,0.9345511407564635,1
20261007,strong_linear,ptl_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.4896893993928995,0.22403358117376174,0.26834563612679113,0.2092198581560284,0.9279191650208835,1
20261007,strong_linear,ptl_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8972781296749185,0.036712794054213536,-0.038114345159313126,-0.013295400586957763,1.0172819671097284,1
20261007,strong_linear,ptl_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5392129862922432,0.029643766416049513,0.07518796992481201,0.10526315789473685,0.943619866498865,1
20261007,strong_linear,ptl_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.50306622034871,0.003903547382142505,0.31487359843742524,0.20812592127333104,0.9726486755998146,1
20261007,strong_linear,ptl_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6632987229550816,0.011876707830445726,0.488784330889594,0.3200568990042675,0.9385730785600972,1
20261007,strong_linear,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.8488048937717206,0.015377511149866569,0.5006003646484035,0.3415251741860628,0.9424758368073258,1
20261007,strong_linear,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6934262296710122,0.020822408507772477,0.34616626635247405,0.23701005833659283,0.9404300090597921,1
20261007,strong_linear,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.7602705186635632,0.028820923223312277,0.5170616983455819,0.37397821372525086,0.9142639310218547,1
20261007,strong_linear,raw_normalized_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.4896893993928995,0.22403358117376174,-0.010968425963162194,-0.03565113364296744,1.217236562824301,1
20261007,strong_linear,raw_normalized_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8972781296749185,0.036712794054213536,-0.031284000093748945,-0.009569908193937715,1.0225063346168428,1
20261007,strong_linear,raw_normalized_uq,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5392129862922432,0.029643766416049513,0.07524456607127133,0.03174647611626638,0.9744641897871755,1
20261007,strong_linear,raw_normalized_uq,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.50306622034871,0.003903547382142505,0.3118191839240183,0.19914551060914354,0.9775423732325013,1
20261007,strong_linear,raw_normalized_uq,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6632987229550816,0.011876707830445726,0.45614227700791116,0.3079123218838323,0.9434135846623414,1
20261007,strong_linear,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.8488048937717206,0.015377511149866569,0.36337006901395685,0.24336465891651257,0.9904413942864543,1
20261007,strong_linear,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6934262296710122,0.020822408507772477,0.11892697165630065,0.07368020422216108,1.009174786294458,1
20261007,strong_linear,u_only_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.7602705186635632,0.028820923223312277,0.28749789919209195,0.1861984638690096,0.9405494381191419,1
20261007,strong_linear,u_only_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.4896893993928995,0.22403358117376174,0.27920104211897523,0.19680851063829788,0.7279158400067184,1
20261007,strong_linear,u_only_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8972781296749185,0.036712794054213536,0.15513207152562536,0.13485334881057157,0.9558702364224713,1
20261007,strong_linear,u_only_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.5392129862922432,0.029643766416049513,0.037593984962406006,0.021052631578947368,0.9909910431398788,1
20261007,strong_linear,u_only_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.50306622034871,0.003903547382142505,-0.02111828427617901,-0.029871977240398292,1.0035408800365602,1
20261007,strong_linear,u_only_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6632987229550816,0.011876707830445726,0.16533537586169164,0.10384068278805123,0.9690978422567094,1
20261017,mean_matching,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.7974149491800873,0.020048473388425064,,,0.9846495974179137,1
20261017,mean_matching,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6902471844116619,0.03569700098318474,,,1.0687723355378518,1
20261017,mean_matching,ptl_rf,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.6856902758625384,0.031006580462555514,,,0.9558343638813689,1
20261017,mean_matching,ptl_rf,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.29417368226482826,0.06591933429050614,0.35470673974672645,0.2345682231081481,0.7394568545582534,1
20261017,mean_matching,ptl_rf,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8625005821245101,0.022752270062092884,,,1.038751371104987,1
20261017,mean_matching,ptl_rf,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispra,20,0.48858789164381566,0.012167583747354358,,,0.878645505455073,1
20261017,mean_matching,ptl_rf,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,tian_neuron_crispri,38,0.4886231953891225,0.002895541423311641,,,1.0082274852185658,1
20261017,mean_matching,ptl_rf,env__v~xucao2023__v~hek293__v~rna__v~baseline,xu_he293,38,0.6190641591071576,0.013832858962036823,,,1.020490063297431,1
20261017,mean_matching,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,50,0.7974149491800873,0.020048473388425064,,,0.9846495974179137,1
20261017,mean_matching,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,50,0.6902471844116619,0.03569700098318474,,,1.0687723355378518,1
20261017,mean_matching,raw_normalized_uq,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,50,0.6856902758625384,0.031006580462555514,,,0.9558343638813689,1
20261017,mean_matching,raw_normalized_uq,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,48,0.29417368226482826,0.06591933429050614,0.1348148901151013,0.1010747359567618,0.9438761878013552,1
20261017,mean_matching,raw_normalized_uq,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,33,0.8625005821245101,0.022752270062092884,,,1.038751371104987,1
