scenario,environment_id,ptl_rf,u_only_rf,split_seed,delta_aurc_ptl_minus_u_only
in_domain,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.7023100927530653,0.7237865986568278,20261017,-0.02147650590376249
in_domain,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.3634984646127537,0.4332837007393799,20261017,-0.06978523612662618
in_domain,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8307644955678432,0.8936909842683541,20261017,-0.06292648870051099
in_domain,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.4602954000000831,0.4717525838308182,20261017,-0.011457183830735074
in_domain,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5017952209290811,0.5023066465134797,20261017,-0.0005114255843985394
in_domain,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6389156367835727,0.6547478799261695,20261017,-0.01583224314259679
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.7857728006843057,0.8388018777123689,20260907,-0.053029077028063254
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.7206095788753417,0.7187415720556303,20260907,0.001868006819711443
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.6671294091001218,0.6728912360063477,20260907,-0.005761826906225953
leave_environment_out,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,0.4331228822539009,0.4029864139697777,20260907,0.030136468284123197
leave_environment_out,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,0.8386296036890483,0.872588507622795,20260907,-0.03395890393374679
leave_environment_out,env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5694753394616981,0.5882284255388469,20260907,-0.018753086077148762
leave_environment_out,env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,0.5098169123549934,0.5152341712344042,20260907,-0.005417258879410802
leave_environment_out,env__v~xucao2023__v~hek293__v~rna__v~baseline,0.6727489481538198,0.742240836243791,20260907,-0.0694918880899712
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,0.803779611363479,0.8111476615987433,20260917,-0.007368050235264323
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,0.6824233776615584,0.6925771171357153,20260917,-0.010153739474156986
leave_environment_out,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,0.6867575454927324,0.7045819111499495,20260917,-0.017824365657217123
