split_seed,predictor,method,n_test_rows,n_environments,difficulty_mean_risk,difficulty_shift_variance,difficulty_shift_range,ranking_shift_spearman_variance,ranking_shift_spearman_range,ranking_shift_kendall_variance,ranking_shift_normalized_aurc_range,additive_null_mse,environment_interaction_mse,semantic_shift_improvement,semantic_shift_bootstrap_mean,semantic_shift_ci_lower,semantic_shift_ci_upper,semantic_shift_permutation_p,semantic_shift_crossfit_group,confidence_bins_fit_on,outcomes_used_for_model_evaluation_only
20260907,mean_matching,ptl_rf,327,8,0.6146067118360041,0.024278793714596045,0.5269045007631608,0.0,0.0,0.0,0.37595210227943276,0.029085798439283727,0.029124246870375885,-3.844843109215513e-05,-3.9189758269995e-05,-0.00015012875572945658,6.313208997815996e-05,0.4342629482071713,biological_instance_id,calibration_rows_only,1
20260907,mean_matching,raw_normalized_uq,327,8,0.6146067118360041,0.024278793714596045,0.5269045007631608,0.0,0.0,0.0,0.21630580950246892,0.03006889984863419,0.03037652687835783,-0.000307627029723642,-0.00029615148914957835,-0.001365630202610252,0.00015517963023131478,0.900398406374502,biological_instance_id,calibration_rows_only,1
20260907,mean_matching,u_only_rf,327,8,0.6146067118360041,0.024278793714596045,0.5269045007631608,0.0,0.0,0.0,0.2032544276298941,0.028675939242133932,0.02908613388467326,-0.0004101946425393334,-0.00041919087153749354,-0.001991792923051482,0.0002158456347345427,0.848605577689243,biological_instance_id,calibration_rows_only,1
20260907,slim_string,ptl_rf,327,8,0.7603931856713289,0.029244989057319752,0.5421804394770275,0.043961140956828154,0.6156993848264748,0.02598171089540066,0.26476514051525923,0.030187246503397762,0.029603604221239015,0.0005836422821587442,0.0005469599104919991,-0.001341754952409553,0.0030650649553805322,0.04780876494023904,biological_instance_id,calibration_rows_only,1
20260907,slim_string,raw_normalized_uq,327,8,0.7603931856713289,0.029244989057319752,0.5421804394770275,0.03536047273398751,0.6435536040541323,0.020525962942882874,0.18413629614817895,0.029811393608174277,0.03298545180660688,-0.003174058198432606,-0.0031991247721606204,-0.009260304082453584,0.0004899474675436903,0.6135458167330677,biological_instance_id,calibration_rows_only,1
20260907,slim_string,u_only_rf,327,8,0.7603931856713289,0.029244989057319752,0.5421804394770275,0.071781470982514,0.8413646821465531,0.03909280532728743,0.2092270449801773,0.031756174636019464,0.032225263259300134,-0.0004690886232806732,-0.00039671859786346095,-0.002942188624964021,0.0023441708933115194,0.11952191235059761,biological_instance_id,calibration_rows_only,1
20260907,strong_linear,ptl_rf,327,8,0.68402199025581,0.020114643847092422,0.40060057146067174,0.055251047514979626,0.6604583043847614,0.02907902053477922,0.29416466983271305,0.04030738432112988,0.03994899500418528,0.0003583893169446051,0.0003119082731622846,-0.0035428412808899586,0.004026393944884524,0.05976095617529881,biological_instance_id,calibration_rows_only,1
20260907,strong_linear,raw_normalized_uq,327,8,0.68402199025581,0.020114643847092422,0.40060057146067174,0.05076658945932821,0.6775662683100464,0.02374051147143643,0.21263989769829672,0.04564215993772281,0.04874859706883806,-0.003106437131115242,-0.00317010260760405,-0.01979747892983365,0.003872805989480384,0.3386454183266932,biological_instance_id,calibration_rows_only,1
20260907,strong_linear,u_only_rf,327,8,0.68402199025581,0.020114643847092422,0.40060057146067174,0.050786999605810006,0.6721366223009141,0.02322193117384749,0.1365939617024049,0.043299591913342206,0.046106080613615416,-0.0028064887002732107,-0.0027603421189416654,-0.007384204242186666,0.00028530644039215366,0.5776892430278885,biological_instance_id,calibration_rows_only,1
20260917,mean_matching,ptl_rf,327,8,0.6107724628079315,0.030357486606275758,0.5536067523264124,0.0,0.0,0.0,0.3313499354746625,0.025045255817334525,0.02514651079937342,-0.00010125498203889835,-0.00010035520772933457,-0.00035584801487543424,2.316378319261492e-05,0.7808764940239044,biological_instance_id,calibration_rows_only,1
