source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,model,feature,coefficient,n_labels
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,source_u_only,uq_cosine_disagreement,0.0019415380709070346,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,uq_mean_gene_variance,-0.001842971588519987,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,uq_cosine_disagreement,6.613373040790245e-05,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,uq_effect_norm_variance,0.012233108597999923,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,prediction_norm,-0.007900292430098066,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,prediction_sparsity,0.001362147741772617,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,full,ridge_source_features,prediction_concentration,-0.006429731353098439,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,source_u_only,uq_cosine_disagreement,-0.008795285266880204,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,uq_mean_gene_variance,0.010565956160049732,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,uq_cosine_disagreement,-0.01069041676644428,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,uq_effect_norm_variance,0.0011536823719924727,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,prediction_norm,0.008595993356283974,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,prediction_sparsity,-0.0008494265889586987,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,10,ridge_source_features,prediction_concentration,-0.010914889882289707,243
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,source_u_only,uq_cosine_disagreement,-0.0007650230366264753,237
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,ridge_source_features,uq_mean_gene_variance,-0.004951557809276707,237
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,ridge_source_features,uq_cosine_disagreement,-0.003322268388172846,237
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,ridge_source_features,uq_effect_norm_variance,0.013632049984521048,237
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,ridge_source_features,prediction_norm,0.0010787425747431473,237
