source_environment_id,left_target_environment_id,right_target_environment_id,metric,cell_budget_label,model,status,n_labels,spearman,auroc_high_identifiable,calibration_brier,calibration_threshold,calibration_status,mean_absolute_error,source_only_features,target_outcome_used_only_for_evaluation,dataset,dataset_split,feature_set,source_dataset,target_dataset,reason
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,160,source_u_only,executed,186,-0.06839739528277344,0.43276679384899985,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.05903980508642656,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,160,linear_source_features,executed,186,0.042007070802281374,0.5176320961960921,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.05869473248292993,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,source_u_only,executed,186,-0.21197823664616833,0.36270089027633257,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03774944254163004,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,20,linear_source_features,executed,186,-0.13966683606152294,0.42594519597641345,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.037646441552395826,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,40,source_u_only,executed,186,-0.18060235284904816,0.40663660538790614,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.041364190675872256,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,40,linear_source_features,executed,186,-0.1873737988306358,0.41681119204532313,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.04169343563263906,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,80,source_u_only,executed,186,-0.21914441180372662,0.402358654179674,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.04875989855960136,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,80,linear_source_features,executed,186,-0.06506449990145705,0.4839865880448606,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.048741369419340326,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,full,source_u_only,executed,186,-0.011181154566047855,0.49346745288472654,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.07119571521929438,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,full,linear_source_features,executed,186,0.04492039344579662,0.5327783558792923,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.07109699016709348,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,10,source_u_only,executed,186,-0.09291296659175446,0.4831772459243844,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.04046447813455052,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,10,linear_source_features,executed,186,-0.031650122687004956,0.49127066712914785,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.0412829629420408,uq_cosine_disagreement;uq_mean_gene_variance;uq_effect_norm_variance;prediction_norm;prediction_sparsity;prediction_concentration,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
frangieh_melanoma_coculture,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,160,source_u_only,executed,186,-0.07983913379163594,0.4723089374494161,,,not_reported_train_fold_only_no_posthoc_target_calibration,0.03878993910741374,uq_cosine_disagreement,True,FrangiehIzar2021_RNA,within_dataset_leave_one_perturbation_label_out,fixed_source_only_v2,,,
