n,mean_fidelity,median_fidelity,mean_spearman,mean_rmse,mean_true_norm,mean_pred_norm,mean_top_deg_overlap_at_50,aggregation_level,environment_id,environment_key,dataset_id,predictor,seed,split_id,split_seed,uncertainty_source,linear_embedding_source,linear_reference_release,slim_embedding_path,training_gene_space_policy,training_gene_count,evaluation_gene_space,evaluation_gene_count,uq_mean_gene_variance,uq_median_gene_variance,uq_top_effect_variance,uq_cosine_disagreement,uq_effect_norm_variance
50.0,0.20001647733401615,0.23531415133130978,0.1526160372252378,0.035747785491753246,2.9221608638763428,0.633110761642456,0.06779072525472749,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,5.126392818742295e-06,1.8797373271049753e-06,5.102912858779277e-05,0.031536600257994325,0.002377894172038274
50.0,0.11492440262343225,0.07605411562129896,0.07791487767100932,0.04187603521919928,2.9221608638763428,1.9576141834259033,0.060233228536231434,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,slim_string,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,0.0008565153891564736,0.0003246759516807854,0.007346983309673898,0.28519006519074513,0.8769435157325716
50.0,0.13420887829951836,0.1287282420649331,0.0900854973580722,0.038242223504141436,2.9221608638763428,1.3048253059387207,0.05469655308243803,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,0.000289892381260904,0.0001184706818663924,0.0020075973876520774,0.213439294411019,0.3984100152546348
50.0,0.34180658670851394,0.39461942792043125,0.2523924230763756,0.035237814259271735,3.1523547172546387,1.0090179443359375,0.13612415752410936,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,5.963410720882262e-06,2.7721178786429526e-06,2.024010992908249e-05,0.015407035793812973,0.0009825343791995509
50.0,0.14035506449521812,0.10974159590523826,0.09981993841058039,0.04669180139070898,3.1523547172546387,2.7163591384887695,0.0757396775060723,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,slim_string,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,0.0014481754890530503,0.0006107304040298405,0.008164181649980898,0.25178546717613426,1.04604002856027
50.0,0.27894120998587313,0.3092614625941776,0.19945288430639224,0.03698462043279023,3.1523547172546387,1.3919250965118408,0.10586408429108041,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~control,frangieh_melanoma_control,FrangiehIzar2021_RNA,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,0.00018022898038154905,7.712038948898668e-05,0.0011908255338185071,0.12945213598842004,0.16747016692900074
50.0,0.32970789465102285,0.3543389119693626,0.23221953183130523,0.03716349471506394,3.209501266479492,0.9663252830505371,0.10681627349763893,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,6.684969182514862e-06,2.304086039454038e-06,4.949922251433409e-05,0.018385253686430514,0.001756700740166704
50.0,0.15185539333319298,0.11454169014679194,0.09630657164960862,0.04775044380105418,3.209501266479492,2.7579479217529297,0.068364749616821,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,slim_string,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,data/external/slim/gene_string_embeddings.v0.3.h5,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,0.0012158980237260112,0.00043735628697744617,0.016423797750895808,0.24499715852932552,1.034737030815858
50.0,0.23959435372021928,0.23070733378350633,0.15855732064985195,0.038874938141198426,3.209501266479492,1.2423168420791626,0.0728915079102797,environment_predictor_ensemble_mean,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,FrangiehIzar2021_RNA,strong_linear,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,native_post_expression_X_train_only,const-ae/linear_perturbation_prediction-Paper_publication_runner,not_applicable,native_predictor_gene_space,23712,ptl_context_v2_intersection,8229,0.00013065399392693804,4.3807918575546386e-05,0.002638282881816108,0.13622671391606392,0.08666021414632827
48.0,0.7802227127031385,0.8443099401149622,0.633576745535496,0.038514221774466596,5.091416835784912,4.129292011260986,0.405576000594623,environment_predictor_ensemble_mean,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,NormanWeissman2019_filtered,mean_matching,ensemble_mean,ptl_biological_instance_split_v1,20260927,training_bootstrap_disagreement,not_applicable,not_applicable,not_applicable,native_predictor_gene_space,33694,ptl_context_v2_intersection,8229,0.00039944137931194394,6.708334184701983e-05,0.0091155259482675,0.04069297739450815,1.5808210309606867
