target_environment_id,split_seed,candidate_pair_count,spearman_predicted_realized_gain,kendall_source_rank_concordance,selected_source_rank,oracle_regret,selected_source_positive,candidate_positive_source_fraction,within_target_positive_negative_auroc,selected_source
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20261007,7,0.6071428571428572,0.5238095238095238,,0.0200067810470694,0.0,0.7142857142857143,1.0,u_only_fallback
env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,20261017,7,-0.9285714285714288,-0.8095238095238096,1.0,0.005732777225081899,1.0,1.0,,env__v~xucao2023__v~hek293__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260907,7,0.39285714285714296,0.33333333333333337,1.0,0.008310981472382403,1.0,1.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260917,7,-0.642857142857143,-0.6190476190476191,1.0,0.0209006141727218,1.0,0.8571428571428571,0.16666666666666666,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260927,7,-0.9285714285714288,-0.8095238095238096,2.0,0.0231744979169191,0.0,0.5714285714285714,0.0,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20261007,7,0.3571428571428572,0.33333333333333337,1.0,0.0,1.0,0.5714285714285714,0.5833333333333334,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispra__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20261017,7,0.14285714285714288,0.04761904761904762,1.0,0.0019073442761744011,1.0,0.5714285714285714,0.5,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260907,7,-0.8571428571428573,-0.7142857142857143,1.0,0.0055252564563339,0.0,0.14285714285714285,0.0,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260917,7,-0.10714285714285716,-0.04761904761904762,1.0,0.0021654274046837996,1.0,0.7142857142857143,0.5,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20260927,7,-0.7142857142857144,-0.6190476190476191,1.0,0.0052120633122213,0.0,0.2857142857142857,0.3,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20261007,7,0.3214285714285715,0.23809523809523814,1.0,0.00042911276242930084,1.0,0.8571428571428571,1.0,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~tiankampmann2021%5Fcrispri__v~ipsc-induced%5Fneuron__v~rna__v~baseline,20261017,7,-0.21428571428571433,-0.33333333333333337,1.0,0.0,1.0,0.42857142857142855,0.3333333333333333,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~xucao2023__v~hek293__v~rna__v~baseline,20260907,7,-0.07142857142857144,-0.14285714285714288,1.0,0.039322358668584904,1.0,1.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~xucao2023__v~hek293__v~rna__v~baseline,20260917,7,-0.14285714285714288,-0.04761904761904762,1.0,0.0262638825130097,1.0,1.0,,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~xucao2023__v~hek293__v~rna__v~baseline,20260927,7,-0.5714285714285715,-0.4285714285714286,1.0,0.0194015456191053,0.0,0.5714285714285714,0.08333333333333334,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~xucao2023__v~hek293__v~rna__v~baseline,20261007,7,0.03571428571428572,-0.04761904761904762,1.0,0.0097015474444727,0.0,0.7142857142857143,0.5,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
env__v~xucao2023__v~hek293__v~rna__v~baseline,20261017,7,-0.14285714285714288,-0.04761904761904762,1.0,0.0008665344066828,1.0,0.2857142857142857,0.5,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline
