claim_id,claim_family,dataset,source_environment_id,left_target_environment_id,right_target_environment_id,metric,metric_label,evidence_tier,observed_D,observed_D_ci_low,observed_D_ci_high,measurement_identifiable,measurement_identifiable_ci_low,measurement_identifiable_ci_high,joint_identifiable,stable_fraction_both,status,availability,provenance
frangieh_transport_14,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,Delta cosine,1,0.374313909981292,0.3386169803015297,0.4119295880561974,0.1313577454972305,0.091263618355893,0.1727596199699203,0.1028366806059939,0.7259821723341037,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_15,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,delta_cosine,Delta cosine,1,0.3241747863247863,0.2882692307692307,0.3640739225313693,0.0933313329696308,0.0567480450991089,0.1343889798145117,0.0602742862338607,0.7419530823786143,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_16,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_control,frangieh_melanoma_coculture,frangieh_melanoma_ifng,systema_centroid_accuracy,Systema centroid,1,0.0938483739183294,0.081025173424873,0.1092583404848744,0.0225911151040549,0.0138111903740256,0.0322538975899306,0.0179735437674318,0.9308445970106558,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_17,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_coculture,systema_centroid_accuracy,Systema centroid,1,0.1239194912145555,0.1015546476651626,0.1490684952863064,0.0452794926818531,0.0265654231319467,0.0674344759913429,0.0421326758005942,0.9233337001577344,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_18,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_control,frangieh_melanoma_control,frangieh_melanoma_ifng,systema_centroid_accuracy,Systema centroid,1,0.1101963629750863,0.0895140025459174,0.1350172758683397,0.0351813602473176,0.0171099290780141,0.057823240589198,0.0313695080923804,0.9290780141843972,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_19,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,absolute_effect_rank_agreement,Absolute-effect rank,1,0.2389617660730887,0.2086640921118501,0.2702241114210112,0.0615886791103482,0.0373650146606593,0.0873100371880139,-0.0183904383894729,0.8026889794750769,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_20,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,absolute_effect_rank_agreement,Absolute-effect rank,1,0.2518598914199773,0.2264026448039323,0.2806967829500018,0.0592878746194196,0.0336543046843476,0.0868099115953193,-0.0129994451780932,0.7949451597520267,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_21,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_ifng,absolute_effect_rank_agreement,Absolute-effect rank,1,0.2494909074377159,0.2212174940898345,0.280942444080742,0.0556384433533369,0.0317853246044735,0.0823436079287142,-0.0200217130387343,0.7953082378614293,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_22,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_coculture,frangieh_melanoma_ifng,delta_cosine,Delta cosine,1,0.3433214081384537,0.307743331187871,0.3795372058928699,0.1324787062862046,0.0954355288564686,0.1703720589286991,0.1002102284917399,0.7615318601158549,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
frangieh_transport_23,frangieh_transport,FrangiehIzar2021_RNA,frangieh_melanoma_ifng,frangieh_melanoma_control,frangieh_melanoma_coculture,delta_cosine,Delta cosine,1,0.3765748321778365,0.3391470415612047,0.4138522064487729,0.131478164777521,0.0965477238545908,0.1694939657386009,0.1033980182311727,0.7188290965115,available,canonical_fullsize_claim_lock,artifacts/manifests/formal_v2_claim_lock_measurement_fullsize_summary.csv
