environment_id,member_a,member_b,n_shared_perturbations,n_comparable_risk_pairs,n_risk_inversions,risk_inversion_rate,normalized_rank_displacement_mean,bootstrap_draws,bootstrap_seed,risk_inversion_rate_ci_low,risk_inversion_rate_ci_high,normalized_rank_displacement_mean_ci_low,normalized_rank_displacement_mean_ci_high,n_rank_displacement_labels,normalized_rank_displacement_median,risk_rank_spearman,risk_rank_kendall,noise_floor_type,model_member_contract,measurement_noise_included
frangieh_melanoma_control,0,1,244,29646,4161,0.14035620319773326,0.0943803548539432,2000,20261909,0.11655517219373505,0.1663767048505265,0.08051339135127843,0.11225882075153475,244,0.053497942386831275,0.8791412132551867,0.7192875936045334,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_control,0,2,244,29646,4542,0.15320785266140458,0.09856304391823516,2000,20261910,0.12512430538568142,0.18584463474496038,0.08314696755042839,0.11890642919786816,244,0.04938271604938271,0.8385033187531236,0.6935842946771908,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_control,1,2,244,29646,4327,0.14595560952573702,0.09357080213182215,2000,20261921,0.11907792884970078,0.17737497853012563,0.0783900020238818,0.11445473251028804,244,0.04526748971193416,0.8503442664254529,0.7080887809485259,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_coculture,0,1,244,29646,5625,0.18973891924711597,0.1266950010119409,2000,20262010,0.15845205924160174,0.22222664979911266,0.10736692977130136,0.14875699925790997,244,0.07818930041152264,0.7829853495739522,0.620522161505768,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_coculture,0,2,244,29646,5282,0.1781690615934696,0.11785738379545302,2000,20262011,0.14789339816427877,0.20971175445133494,0.10004638062470485,0.13887370977534913,244,0.06995884773662552,0.8082293512426222,0.6436618768130608,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_coculture,1,2,244,29646,5059,0.17064696755042838,0.11397827700195644,2000,20262022,0.1436450668506229,0.1991936999100308,0.09714548337043782,0.1347593267219861,244,0.07407407407407407,0.8357211008264872,0.6587060648991432,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_ifng,0,1,246,30135,4037,0.1339638294342127,0.09052596648415465,2000,20262111,0.11434047999933221,0.155459020499973,0.07864609258337481,0.10562800730048115,246,0.061224489795918366,0.8987189227423958,0.7320723411315745,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_ifng,0,2,246,30135,3744,0.12424091587854653,0.08388916542226646,2000,20262112,0.10430659405624794,0.14616502697838346,0.07197610751617721,0.09928737348597975,246,0.053061224489795916,0.905056396015501,0.751518168242907,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
frangieh_melanoma_ifng,1,2,246,30135,3449,0.11445163431226149,0.07781649245063879,2000,20262123,0.09558522814233827,0.13463135052632735,0.06669902107184338,0.09344698855151816,246,0.04897959183673469,0.9200319211322326,0.771096731375477,within_context_stochastic_model_member,same OOF fold and training labels; independent bootstrap/model seeds,False
