split_seed,environment_id,environment_key,predictor,method,n_rows,systema_centroid_aurc,systema_mean_risk,primary_delta_cosine_mean_risk,metric_entrypoint,prediction_contract,ptl_scores_reused_without_refit,target_outcomes_used_for_score_construction
20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,strong_linear,ptl_rf,50,0.45678503665319653,0.5012244897959184,0.726917577790502,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~ifn%CE%B3,frangieh_melanoma_ifng,strong_linear,u_only_rf,50,0.4399524154526422,0.5012244897959184,0.726917577790502,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,mean_matching,ptl_rf,48,0.17555452908170918,0.16799645390070925,0.29775724052729063,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,mean_matching,u_only_rf,48,0.13937124252519975,0.16799645390070925,0.29775724052729063,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,slim_string,ptl_rf,48,0.23789670311517166,0.2641843971631206,0.4022324396654971,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,slim_string,u_only_rf,48,0.21902459594362889,0.2641843971631206,0.4022324396654971,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,strong_linear,ptl_rf,48,0.40312424154630744,0.4104609929078014,0.44806630041864715,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,norman_k562,strong_linear,u_only_rf,48,0.4949035848940449,0.4104609929078014,0.44806630041864715,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,mean_matching,ptl_rf,33,0.5842804561802978,0.5,0.8246617412904513,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
20260907,env__v~replogleweissman2022%5Frpe1__v~rpe1__v~rna__v~baseline,replogle_rpe1,mean_matching,u_only_rf,33,0.5842804561802978,0.5,0.8246617412904513,third_party/systema/evaluation/centroid_accuracy.py::calculate_centroid_accuracies,formal_v2_saved_delta_prediction,1,0
