dataset_id,predictor,split_family,tau,n,reliable_rate
NormanWeissman2019_filtered,ridge,unseen_perturbation_split,0.8,171,0.6549707602339181
ReplogleWeissman2022_K562_essential,mean_global,dataset_heldout_split,0.8,3258,0.4791282995702885
ReplogleWeissman2022_K562_essential,mean_global,random_split,0.8,181,0.569060773480663
ReplogleWeissman2022_K562_essential,mean_global,unseen_perturbation_split,0.8,247,0.41700404858299595
ReplogleWeissman2022_K562_essential,mean_matching,dataset_heldout_split,0.8,3258,0.36279926335174956
ReplogleWeissman2022_K562_essential,mean_matching,random_split,0.8,181,0.580110497237569
ReplogleWeissman2022_K562_essential,mean_matching,unseen_perturbation_split,0.8,247,0.3076923076923077
ReplogleWeissman2022_K562_essential,ridge,dataset_heldout_split,0.8,3258,0.15776550030693678
ReplogleWeissman2022_K562_essential,ridge,random_split,0.8,181,0.6464088397790055
ReplogleWeissman2022_K562_essential,ridge,unseen_perturbation_split,0.8,247,0.3643724696356275
ReplogleWeissman2022_rpe1,mean_global,dataset_heldout_split,0.8,1797,0.4245965498052309
ReplogleWeissman2022_rpe1,mean_global,random_split,0.8,112,0.5535714285714286
ReplogleWeissman2022_rpe1,mean_global,unseen_perturbation_split,0.8,36,0.5
ReplogleWeissman2022_rpe1,mean_matching,dataset_heldout_split,0.8,1797,0.1652754590984975
ReplogleWeissman2022_rpe1,mean_matching,random_split,0.8,112,0.5625
ReplogleWeissman2022_rpe1,mean_matching,unseen_perturbation_split,0.8,36,0.3055555555555556
ReplogleWeissman2022_rpe1,ridge,dataset_heldout_split,0.8,1797,0.012242626599888704
ReplogleWeissman2022_rpe1,ridge,random_split,0.8,112,0.6428571428571429
ReplogleWeissman2022_rpe1,ridge,unseen_perturbation_split,0.8,36,0.3055555555555556
NormanWeissman2019_filtered,mean_global,dataset_heldout_split,0.9,1829,0.36194641880809186
NormanWeissman2019_filtered,mean_global,random_split,0.9,111,0.5945945945945946
NormanWeissman2019_filtered,mean_global,unseen_perturbation_split,0.9,171,0.7777777777777778
NormanWeissman2019_filtered,mean_matching,dataset_heldout_split,0.9,1829,0.01038819026790596
NormanWeissman2019_filtered,mean_matching,random_split,0.9,111,0.6396396396396397
NormanWeissman2019_filtered,mean_matching,unseen_perturbation_split,0.9,171,0.6140350877192983
NormanWeissman2019_filtered,ridge,dataset_heldout_split,0.9,1829,0.0
NormanWeissman2019_filtered,ridge,random_split,0.9,111,0.6486486486486487
NormanWeissman2019_filtered,ridge,unseen_perturbation_split,0.9,171,0.47953216374269003
ReplogleWeissman2022_K562_essential,mean_global,dataset_heldout_split,0.9,3258,0.44843462246777166
ReplogleWeissman2022_K562_essential,mean_global,random_split,0.9,181,0.5303867403314917
ReplogleWeissman2022_K562_essential,mean_global,unseen_perturbation_split,0.9,247,0.38461538461538464
ReplogleWeissman2022_K562_essential,mean_matching,dataset_heldout_split,0.9,3258,0.3173726212400246
ReplogleWeissman2022_K562_essential,mean_matching,random_split,0.9,181,0.5469613259668509
ReplogleWeissman2022_K562_essential,mean_matching,unseen_perturbation_split,0.9,247,0.26720647773279355
ReplogleWeissman2022_K562_essential,ridge,dataset_heldout_split,0.9,3258,0.10896255371393493
ReplogleWeissman2022_K562_essential,ridge,random_split,0.9,181,0.580110497237569
ReplogleWeissman2022_K562_essential,ridge,unseen_perturbation_split,0.9,247,0.27530364372469635
ReplogleWeissman2022_rpe1,mean_global,dataset_heldout_split,0.9,1797,0.39454646633277685
ReplogleWeissman2022_rpe1,mean_global,random_split,0.9,112,0.5357142857142857
ReplogleWeissman2022_rpe1,mean_global,unseen_perturbation_split,0.9,36,0.4722222222222222
ReplogleWeissman2022_rpe1,mean_matching,dataset_heldout_split,0.9,1797,0.13244296048970505
ReplogleWeissman2022_rpe1,mean_matching,random_split,0.9,112,0.5178571428571429
ReplogleWeissman2022_rpe1,mean_matching,unseen_perturbation_split,0.9,36,0.25
ReplogleWeissman2022_rpe1,ridge,dataset_heldout_split,0.9,1797,0.011686143572621035
ReplogleWeissman2022_rpe1,ridge,random_split,0.9,112,0.5982142857142857
ReplogleWeissman2022_rpe1,ridge,unseen_perturbation_split,0.9,36,0.2222222222222222
