method,metric,estimate,ci_lower,ci_upper,n_resamples,n_valid,confidence,aggregation_level,baseline_method,resample_level,predictor,environment_id,split_family
isotonic,ftr_at_50,0.5624940662572038,0.5230016261701026,0.6051106030999449,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
isotonic,ftr_at_80,0.5471750349023813,0.5043508999247587,0.595437621513312,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
isotonic,log_loss,0.8021887483866766,0.7442655986608637,0.8555777000630049,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
isotonic,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
isotonic,risk_at_50,0.37212529523400334,0.3457060485156141,0.40154742183541964,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
isotonic,risk_at_80,0.36869253815358227,0.3403394524983927,0.3997983119859704,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
isotonic,spearman_predicted_risk_realized_risk,-0.05706572406060419,-0.11721955146884588,-0.0019926371274542063,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,auprc,0.46432375509946255,0.41600164022824987,0.5206958507759799,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,aurc,0.37777711238772044,0.34918844417899886,0.40834131317806854,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,auroc,0.44502416143153295,0.412960321884555,0.4776924475325307,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,brier,0.2778660105021721,0.2574890501639264,0.2952619919652881,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,excess_aurc,0.08070032960138439,0.07439811946432338,0.08670895301123678,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,ftr_at_50,0.569726037230368,0.5307123316214257,0.6233396607682333,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,ftr_at_80,0.5466774066631344,0.5050849369411916,0.5980024096865136,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,log_loss,0.7783825091576558,0.7322282860989824,0.8236913923708332,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,risk_at_50,0.3740585039137173,0.3458883839080153,0.40526612211038143,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,risk_at_80,0.36905378303873365,0.3409481197779606,0.40018896040636986,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
platt_logistic,spearman_predicted_risk_realized_risk,-0.10175682449197225,-0.15536129799845366,-0.05720436126635661,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,auprc,0.52411614367896,0.4694879270635138,0.5830642975044545,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,aurc,0.3642628793588641,0.3340177909827801,0.3949324056857202,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,auroc,0.5268956702449045,0.48764194018375734,0.5589202127202918,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,brier,0.22503821186651612,0.20886601966004903,0.24108000107125904,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,excess_aurc,0.06718609657252805,0.06106535447979841,0.07310117653328253,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,ftr_at_50,0.5355913178128414,0.48782709151246956,0.5890266173249399,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,ftr_at_80,0.5343275976510222,0.491239959474159,0.5835508892455036,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,log_loss,0.6636571476141039,0.6220060180478391,0.7200664101898354,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,risk_at_50,0.3670006485739291,0.3381669879056627,0.3984287490400228,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,risk_at_80,0.36615784525327527,0.3380508914400062,0.39730899938490266,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_context,spearman_predicted_risk_realized_risk,0.023432454830363686,-0.039374218767556333,0.0847195760609888,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,auprc,0.5293451928490173,0.47110800191454677,0.5846161887003669,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,aurc,0.36150797852778566,0.33261952873680634,0.39276472208040736,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,auroc,0.5480018293001604,0.5124751241801623,0.5825802553359707,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,brier,0.2094645550678028,0.1926802150168594,0.22577484677148862,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,excess_aurc,0.0644311957414496,0.05745735918515005,0.07164978316174497,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,ftr_at_50,0.5261497621769352,0.47207187332707584,0.5851964119253357,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,ftr_at_80,0.5282851509239355,0.48616836399186536,0.5766767832909857,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,log_loss,0.6242216643607115,0.578195549721554,0.6766510746985396,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,risk_at_50,0.3631701981244804,0.33393891204247983,0.3948480719059361,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,risk_at_80,0.3644762842766611,0.3365641463450842,0.3947387102726549,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_full_id,spearman_predicted_risk_realized_risk,0.05975144559624303,0.0054271558783589805,0.11873288812821287,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,auprc,0.5320011782021055,0.475874468394968,0.5912821984243468,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,aurc,0.36188204437900934,0.3315056272491358,0.39256526715503287,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,auroc,0.53753741627371,0.49885716302324673,0.5704329537929769,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,brier,0.22293596344683841,0.20942842768565803,0.23893175505888267,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,excess_aurc,0.06480526159267332,0.0592662168904238,0.07068671602249879,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,ftr_at_50,0.5272618141095071,0.4819255864736811,0.5821115752293142,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,ftr_at_80,0.5340842427514957,0.4906056656336496,0.5845105220671979,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,log_loss,0.6591580728866472,0.6249262799128658,0.7052845358395436,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,risk_at_50,0.3647951920462605,0.33584085989345663,0.39561511179251546,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,risk_at_80,0.36579024940102606,0.33812577903913943,0.3968108577713971,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_no_context,spearman_predicted_risk_realized_risk,0.050328862722256146,-0.005953568353616633,0.10592833708241453,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,auprc,0.6249395026306646,0.5567413161647286,0.6948623083266764,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,aurc,0.34759158609423607,0.31742317027816924,0.38251419211185494,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,auroc,0.6677781485971159,0.619998526054124,0.711150580082866,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,brier,0.1751472836738686,0.16112564135016222,0.1890286280364051,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,excess_aurc,0.05051480330790012,0.045202978157204775,0.05542164671435165,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,ftr_at_50,0.45122985914634733,0.389170416699706,0.5066982561325454,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,ftr_at_80,0.502399218542606,0.4491517493325623,0.5577377620668803,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,log_loss,0.5341240115090266,0.49146515647764116,0.5786747932915721,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
ptl_rf,n,851.3462962962964,702.575,1021.650925925926,200,200,0.95,paired_hierarchical_macro_ci,,environment_then_biological_instance,all_pilot_predictors,macro,macro
