prediction_id,environment_id,predictor,uq_quantile,fidelity_delta_cosine,support_cells,perturbation_novelty
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx3-tbx2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.40433648,140,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__plk4__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.18516207,12,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__slc6a9__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.20047931,69,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cnnm4__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.20448245,49,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.12730227,218,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__egr1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.34774795,38,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__meis1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.21859802,116,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx2__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.257697,76,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1b-cdkn1a__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.4383643,13,0.3779644730092272
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-prtg__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.30411285,64,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cbl-ptpn9__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,0.39443484,37,0.35355339059327373
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-elmsan1__mean-global__dataset-heldout-split__ensemble3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,7.2632190586841e-05,-0.29935774,74,0.35355339059327373
