aggregation_level,predictor,environment_id,split_family,method,n,aurc,excess_aurc,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,brier,log_loss,auroc,auprc,spearman_predicted_risk_realized_risk
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,raw_normalized_uq,1829.0,0.33702743120227246,0.07699463069314877,0.3346332829994597,0.3365156732313446,0.5300546448087431,0.5170765027322404,0.3407721515555074,0.930627145409362,0.4819087170678844,0.48381946184702,-0.017605579749631978
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,platt_logistic,1829.0,0.3408479393639345,0.08081513885481079,0.33709702438291905,0.3365156732313446,0.526775956284153,0.5170765027322404,0.29985870754777577,0.8057725207660184,0.47147856915594744,0.47172000386989277,-0.038124012817861194
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,isotonic,1829.0,0.3426515952100334,0.08261879470090971,0.3405591767832835,0.3365156732313446,0.53551912568306,0.5170765027322404,0.3197389361091702,0.8592433549362094,0.467122307837682,0.4695681517650564,-0.07052568582723273
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,support_novelty_only,1829.0,0.33322536105862893,0.07319256054950524,0.33418113528668136,0.3354473375585143,0.5136612021857924,0.5136612021857924,0.2863410448036322,0.7717654949662108,0.48662740210373207,0.48626668824094765,-0.012503704406058809
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_rf,1829.0,0.3366448361274915,0.07661203561836782,0.3389138043111908,0.335283354472118,0.5289617486338798,0.5088797814207651,0.28792407623626803,0.7760199803021163,0.48231180879338026,0.4813172731490281,-0.044478553125313715
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_rf_full_id,1829.0,0.3355292038905173,0.07549640338139363,0.3383827059526541,0.3347898786495897,0.5256830601092897,0.505464480874317,0.24887742695832174,0.690094648555547,0.48988203885469317,0.4847963200421428,-0.030537162619349367
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,gbdt_uncalibrated,1829.0,0.3367065454860142,0.0766737449768905,0.3357426174119232,0.3351503011959085,0.512568306010929,0.5081967213114754,0.28136993129869253,0.7603938509815812,0.4835731150976391,0.47752581871126343,-0.028122973742033285
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,gbdt_full_id,1829.0,0.3365524189010073,0.07651961839188359,0.335455645145683,0.33514762142938886,0.5114754098360657,0.5129781420765027,0.25363178514501283,0.6999285113992121,0.4833536274666941,0.47769706302238907,-0.023943658626469792
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_context,1829.0,0.3365139621352262,0.07648116162610252,0.3390322616356272,0.33519544905235915,0.5289617486338798,0.5136612021857924,0.28922880568388687,0.7789058152859275,0.4797509204127085,0.4793180105958668,-0.04037922087778207
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_full_id,1829.0,0.33791238518648004,0.07787958467735634,0.3397130937322521,0.3354473375585143,0.5311475409836066,0.5136612021857924,0.24988153892281675,0.6922655864005772,0.47637906410952613,0.47430005423097565,-0.04728337550196812
predictor_environment_split,mean_global,env__v~normanweissman2019%5Ffiltered__v~k562__v~rna__v~baseline,dataset_heldout_split,ptl_no_context,1829.0,0.33540942147814357,0.07537662096901987,0.33544234793927125,0.33519544905235915,0.5224043715846994,0.5136612021857924,0.26378279985263975,0.7209394123950571,0.4826634674500442,0.47815968522576247,-0.010272028856716459
