aggregation_level,predictor,environment_id,split_family,method,n,aurc,excess_aurc,risk_at_50,risk_at_80,ftr_at_50,ftr_at_80,brier,log_loss,auroc,auprc,spearman_continuous_risk
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,raw_normalized_uq,1829.0,0.33702743120227246,0.07699463069314877,0.3346332829994597,0.3365156732313446,0.5300546448087431,0.5170765027322404,0.3407721515555074,0.930627145409362,0.4819087170678844,0.48381946184702,-0.01630759922821946
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,platt_logistic,1829.0,0.3408479393639345,0.08081513885481079,0.33709702438291905,0.3365156732313446,0.526775956284153,0.5170765027322404,0.29985870754777577,0.8057725207660184,0.47147856915594744,0.47172000386989277,-0.030417427897795113
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,isotonic,1829.0,0.3426515952100334,0.08261879470090971,0.3405591767832835,0.3365156732313446,0.53551912568306,0.5170765027322404,0.3197389361091702,0.8592433549362094,0.467122307837682,0.4695681517650564,-0.06590592749336875
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,support_novelty_only,1829.0,0.3326077517042636,0.0725749511951399,0.33343674227018977,0.3354473375585143,0.5245901639344263,0.5136612021857924,0.2897852447960023,0.78012330974953,0.48877802205162924,0.48717194853702644,0.0009545211230471091
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,ptl_rf,1829.0,0.33661018399233034,0.07657738348320664,0.3389138043111908,0.335283354472118,0.5289617486338798,0.5088797814207651,0.2878672366020185,0.7759643209192684,0.4823237699721783,0.48176138175015226,-0.04778320009324724
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,gbdt_uncalibrated,1829.0,0.33736357226249714,0.07733077175337344,0.3360330774170815,0.33533535779563073,0.5147540983606558,0.5095628415300546,0.28154430476921766,0.7608063707303296,0.48095361694085675,0.4757568089188261,-0.03414918259707326
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,ptl_context,1829.0,0.33663704745181,0.0766042469426863,0.3390322616356272,0.33519544905235915,0.5289617486338798,0.5136612021857924,0.28322546075233285,0.7645616168146371,0.47974493982330946,0.4778332285694892,-0.0385804229871544
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,ptl_full,1829.0,0.3375985186210977,0.07756571811197399,0.3395443330230726,0.3354473375585143,0.5278688524590164,0.5136612021857924,0.2502688922138467,0.6929528939818473,0.47595205002643415,0.4741182610296638,-0.04610728182594975
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,dataset_heldout_split,ptl_no_id,1829.0,0.33478990404191544,0.07475710353279175,0.3354846828384961,0.33510007108099693,0.5224043715846994,0.5129781420765027,0.26028935363769323,0.7135186092518215,0.4844648209770369,0.48011606186354416,-0.00365941081529494
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,raw_normalized_uq,111.0,0.294483087868164,0.09942657883785283,0.2930866094455788,0.28650980608621507,0.3571428571428571,0.348314606741573,0.3363390678475405,1.3602858740597965,0.48023504273504275,0.631232224729088,-0.023683748683748684
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,platt_logistic,111.0,0.3099157563896269,0.11485924735931569,0.3034319086249785,0.29739418206736445,0.3571428571428571,0.3595505617977528,0.3057550192789785,0.8077163109013844,0.4709757834757835,0.6216442957612986,-0.09533169533169533
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,isotonic,111.0,0.303123278324298,0.10806676929398679,0.3024967855225051,0.29519646744024053,0.375,0.3595505617977528,0.2898735181078279,0.7741299819663102,0.4932336182336182,0.6493408070430445,-0.05974025974025974
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,support_novelty_only,111.0,0.27766892208364513,0.08261241305333394,0.2726434275557819,0.2766596101841816,0.2678571428571429,0.3033707865168539,0.29157341084696164,0.7808240814068208,0.6063034188034189,0.7312006711829859,0.19084766584766585
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,ptl_rf,111.0,0.2569349402542805,0.0618784312239693,0.26775574416387826,0.2878520252193544,0.2857142857142857,0.348314606741573,0.2208197715337867,0.6315464449977384,0.6020299145299145,0.7557271197781766,0.32449104949104945
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,gbdt_uncalibrated,111.0,0.28067004696429765,0.08561353793398646,0.2829968414651895,0.2962066208410045,0.3035714285714286,0.348314606741573,0.228597554838671,0.6497403885770554,0.5623219373219372,0.6944843195591828,0.1423920673920674
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,ptl_context,111.0,0.2580352707567433,0.06297876172643213,0.259736144649131,0.28663898581178504,0.2321428571428571,0.3258426966292135,0.22949251344923616,0.6516738465345774,0.6527777777777778,0.7732683273872577,0.31221481221481223
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,ptl_full,111.0,0.24810254595989018,0.05304603692957899,0.23832476206423184,0.27975245702781537,0.1607142857142857,0.3033707865168539,0.2235687980672054,0.6382274943536339,0.6883903133903134,0.8018890848004909,0.40130747630747626
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,random_split,ptl_no_id,111.0,0.2692727679652653,0.0742162589349541,0.25935540853866507,0.2811667437330307,0.2321428571428571,0.3146067415730337,0.2270051845092926,0.6463666255513817,0.6335470085470084,0.7257937810676178,0.2799578799578799
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,raw_normalized_uq,171.0,0.2491091504709577,0.08407359558861652,0.2445109932315211,0.2368221150670391,0.2093023255813954,0.1970802919708029,0.4438881247761105,1.2448430337955652,0.31802983539094654,0.7787184634617783,-0.38636570907432743
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,platt_logistic,171.0,0.2506909162361483,0.08565536135380714,0.2503645469889391,0.23613823856478625,0.2325581395348837,0.1970802919708029,0.45307584619816077,1.135371262361152,0.2784207818930041,0.7634690021828854,-0.4221014231886145
predictor_environment_split,mean_global,env__normanweissman2019-filtered__k562__rna__baseline,unseen_perturbation_split,isotonic,171.0,0.24626544186950006,0.08122988698715888,0.24705323936461016,0.22870804018674107,0.2325581395348837,0.16788321167883213,0.5001056584952422,1.2585748442886973,0.32381687242798357,0.7701062552440745,-0.3558931528547772
